chinese,pinyin,english,spanish,french,portuguese
解决,jiě jué,Solve,Resolver,Résoudre,Resolver
处理,chǔ lǐ,Deal with,Tratar con,Traiter avec,Lidar com
应对,yìng duì,Respond,Responder,Répondre,Responder
克服,kè fú,Overcome,Superar,Surmonter,Superar
办法,bàn fǎ,Approach,Enfoque,Approche,Abordagem
方法,fāng fǎ,Method,Método,Méthode,Método
措施,cuò shī,Measure,Medida,Mesurer,Medir
方案,fāng àn,Plan,Plano,Planifier,Planejar
对策,duì cè,Countermeasures,Contramedidas,Contre-mesures,Contramedidas
建议,jiàn yì,Suggestion,Sugerencia,Suggestions,Sugestão
改善,gǎi shàn,Improve,Mejorar,Améliorer,Melhorar
改进,gǎi jìn,Improvement,Mejora,Amélioration,Melhoria
优化,yōu huà,Optimization,Optimización,Optimisation,Otimização
调整,tiáo zhěng,Adjustment,Ajuste,Ajustement,Ajuste
补救,bǔ jiù,Remedy,Remedio,Remède,Remédio
策划,cè huà,Planning,Planificación,Planification,Planejamento
提议,tí yì,Suggestion,Sugerencia,Suggestions,Sugestão
解决问题,jiě jué wèn tí,Solve the problem,Resuelve el problema,Résoudre le problème,Resolva o problema
去解决,qù jiě jué,To solve,Para resolver,Pour résoudre,Para resolver
处理好,chǔ lǐ hǎo,Handle well,Manejar bien,Bien manipuler,Manuseie bem
去处理,qù chù lǐ,To deal with,Para lidiar con,Pour faire face à,Para lidar com
应对好,yìng duì hǎo,Cope well,Sobrellevarlo bien,Bien faire face,Lide bem
积极应对,jī jí yìng duì,Actively respond,Responder activamente,Répondre activement,Responder ativamente
战胜困难,zhàn shèng kùn nán,Overcome difficulties,Superar las dificultades,Surmonter les difficultés,Superar dificuldades
去克服,qù kè fú,To overcome,Para superar,Pour surmonter,Para superar
有办法,yǒu bàn fǎ,There are ways,Hay maneras,Il existe des moyens,Existem maneiras
想办法,xiǎng bàn fǎ,Find ways,Encuentra maneras,Trouver des moyens,Encontre maneiras
有方法,yǒu fāng fǎ,There are ways,Hay maneras,Il existe des moyens,Existem maneiras
找方法,zhǎo fāng fǎ,Find ways,Encuentra maneras,Trouver des moyens,Encontre maneiras
采取措施,cǎi qǔ cuò shī,Take measures,Tomar medidas,Prendre des mesures,Tomar medidas
有措施,yǒu cuò shī,Have measures,Tener medidas,Avoir des mesures,Tem medidas
制定方案,zhì dìng fāng àn,Make plans,Haz planes,Faire des projets,Faça planos
有方案,yǒu fāng àn,Have plans,Tener planes,Avoir des projets,Tenha planos
有对策,yǒu duì cè,Have countermeasures,Tener contramedidas,Avoir des contre-mesures,Tenha contramedidas
想对策,xiǎng duì cè,Think of countermeasures,Piense en contramedidas,Pensez aux contre-mesures,Pense em contramedidas
有建议,yǒu jiàn yì,Have suggestions,Tener sugerencias,Avoir des suggestions,Tem sugestões
提建议,tí jiàn yì,Make suggestions,Hacer sugerencias,Faire des suggestions,Faça sugestões
改善情况,gǎi shàn qíng kuàng,Improve the situation,Mejorar la situación,Améliorer la situation,Melhorar a situação
有改善,yǒu gǎi shàn,Have improvements,Tener mejoras,Avoir des améliorations,Tem melhorias
改进工作,gǎi jìn gōng zuò,Improve work,Mejorar el trabajo,Améliorer le travail,Melhorar o trabalho
有改进,yǒu gǎi jìn,Have improvements,Tener mejoras,Avoir des améliorations,Tem melhorias
优化流程,yōu huà liú chéng,Optimize processes,Optimizar procesos,Optimiser les processus,Otimizar processos
去优化,qù yōu huà,Go to optimization,Ir a optimización,Aller à l'optimisation,Vá para otimização
调整好,tiáo zhěng hǎo,Make adjustments,Hacer ajustes,Effectuer des ajustements,Faça ajustes
做调整,zuò tiáo zhěng,Make adjustments,Hacer ajustes,Effectuer des ajustements,Faça ajustes
补救措施,bǔ jiù cuò shī,Remedies,Remedios,Remèdes,Remédios
去补救,qù bǔ jiù,Go to remedies,Ir a remedios,Aller aux remèdes,Vá para remédios
策划活动,cè huà huó dòng,Plan activities,Planificar actividades,Planifier les activités,Planear atividades
去策划,qù cè huà,Go to plan,Ir al plano,Aller au plan,Vá para o plano
有提议,yǒu tí yì,Have suggestions,Tener sugerencias,Avoir des suggestions,Tem sugestões
提出提议,tí chū tí yì,Make suggestions,Hacer sugerencias,Faire des suggestions,Faça sugestões
