chinese,pinyin,english,spanish,french,portuguese
头,tóu,Head,Cabeza,Tête,Cabeça
脸,liǎn,Face,Cara,Visage,Cara
眼睛,yǎn jīng,Eyes,Ojos,Yeux,Olhos
鼻子,bí zi,Nose,Nariz,Nez,Nariz
嘴巴,zuǐ bā,Mouth,Boca,Bouche,Boca
耳朵,ěr duǒ,Ears,Orejas,Oreilles,Orelhas
手,shǒu,Hands,Manos,Mains,Mãos
脚,jiǎo,Feet,Pies,Pieds,Pés
身体,shēn tǐ,Body,Cuerpo,Corps,Corpo
头发,tóu fà,Hair,Cabello,Cheveux,Cabelo
牙齿,yá chǐ,Teeth,Dientes,Dents,Dentes
舌头,shé tou,Tongue,Lengua,Langue,Língua
脖子,bó zi,Neck,Cuello,Cou,Pescoço
肩膀,jiān bǎng,Shoulders,Hombros,Épaules,Ombros
胳膊,gē bó,Arms,Brazos,Bras,Braços
腿,tuǐ,Legs,Piernas,Jambes,Pernas
肚子,dǔ zi,Belly,Vientre,Ventre,Barriga
背,bèi,Back,Espalda,Dos,Costas
心脏,xīn zàng,Heart,Corazón,Coeur,Coração
叩头,kòu tóu,Kowtow,Postrarse,Se prosterner,Prostrar-se
摇头,yáo tóu,Shake head,Negar con la cabeza,Faire non de la tête,Balançar a cabeça
净面,jìng miàn,Wash face,Lavar la cara,Se laver le visage,Lavar o rosto
脸红,liǎn hóng,Blushing,Sonrojándose,Rougissant,Corando
眼睛大,yǎn jīng dà,Big eyes,Ojos grandes,De grands yeux,Olhos grandes
闭眼睛,bì yǎn jīng,Close eyes,Cerrar los ojos,Fermez les yeux,Feche os olhos
鼻子高,bí zi gāo,Prominent nose,Nariz prominente,Nez proéminent,Nariz proeminente
擤鼻子,xǐng bí zi,Blowing nose,Sonarse la nariz,Se moucher,Assoar o nariz
嘴巴大,zuǐ bā dà,Big mouth,Boca grande,Grande bouche,Boca grande
张嘴巴,zhāng zuǐ bā,Open mouth,Boca abierta,Bouche ouverte,Boca aberta
耳朵大,ěr duǒ dà,Big ears,Orejas grandes,Grandes oreilles,Orelhas grandes
竖耳朵,shù ěr duǒ,Perked-up ears,Orejas levantadas,Oreilles dressées,Orelhas levantadas
手大,shǒu dà,Big hands,Manos grandes,Grandes mains,Mãos grandes
净手,jìng shǒu,Wash hands,Lavar las manos,Laver les mains,Lavar as mãos
脚大,jiǎo dà,Big feet,Pies grandes,Gros pieds,Pés grandes
洗脚,xǐ jiǎo,Wash feet,Lavar los pies,Laver les pieds,Lavar os pés
身体好,shēn tǐ hǎo,Good health,Buena salud,Bonne santé,Boa saúde
锻炼身体,duàn liàn shēn tǐ,Exercise,Ejercicio,Exercice,Exercício
头发长,tóu fà zhǎng,Long hair,Pelo largo,Cheveux longs,Cabelo comprido
洗头发,xǐ tóu fā,Wash hair,Lavar el cabello,Laver les cheveux,Lavar o cabelo
牙齿白,yá chǐ bái,White teeth,Dientes blancos,Dents blanches,Dentes brancos
刷牙齿,shuā yá chǐ,Brush teeth,Cepillarse los dientes,Se brosser les dents,Escovar os dentes
舌头长,shé tou zhǎng,Long tongue,Lengua larga,Longue langue,Língua comprida
伸舌头,shēn shé tou,Stick out tongue,Sacar la lengua,Tirer la langue,Mostrar a língua
脖子长,bó zi zhǎng,Long neck,Cuello largo,Cou long,Pescoço longo
转脖子,zhuǎn bó zi,Turn neck,Girar el cuello,Tourner le cou,Virar pescoço
肩膀宽,jiān bǎng kuān,Broad shoulders,Hombros anchos,Épaules larges,Ombros largos
耸肩膀,sǒng jiān bǎng,Shrug shoulders,Encogerse de hombros,Hausser les épaules,Encolher os ombros
胳膊长,gē bó zhǎng,Long arms,Brazos largos,Bras longs,Braços longos
伸胳膊,shēn gē bó,Stretch arms,Estirar los brazos,Étirer les bras,Esticar os braços
腿长,tuǐ zhǎng,Long legs,Piernas largas,Longues jambes,Pernas longas
伸腿,shēn tuǐ,Stretch legs,Estirar las piernas,Étirer les jambes,Esticar as pernas
摸肚子,mō dǔ zi,Touch belly,Tocar el vientre,Toucher le ventre,Tocar barriga
拍肚子,pāi dǔ zi,Pat belly,Dar palmaditas en el vientre,Tapoter le ventre,Dar tapinhas na barriga
后背,hòu bèi,Back,Espalda,Dos,Costas
靠背,kào bèi,Backrest,Respaldo,Dossier,Encosto
心脏跳,xīn zàng tiào,Heartbeat,Latido del corazón,Battement de coeur,Batimento cardíaco
保护心脏,bǎo hù xīn zàng,Protect the heart,Protege el corazón,Protéger le coeur,Proteja o coração
