chinese,pinyin,english,spanish,french,portuguese
概念,gài niàn,Concepts,Conceptos,Concepts,Conceitos
观念,guān niàn,Concepts,Conceptos,Concepts,Conceitos
想法,xiǎng fǎ,Ideas,Ideas,Idées,Ideias
思想,sī xiǎng,Thoughts,Pensamientos,Pensées,Pensamentos
原则,yuán zé,Principles,Principios,Principes,Princípios
理念,lǐ niàn,Ideas,Ideas,Idées,Ideias
道理,dào lǐ,Principles,Principios,Principes,Princípios
意义,yì yì,Meaning,Significado,Signification,Significado
价值,jià zhí,Values,Valores,Valeurs,Valores
理想,lǐ xiǎng,Ideals,Ideales,Idéaux,Ideais
梦想,mèng xiǎng,Dreams,Sueños,Rêves,Sonhos
目标,mù biāo,Goals,Metas,Objectifs,Metas
信念,xìn niàn,Faith,Fe,Foi,Fé
精神,jīng shén,Spirit,Espíritu,Esprit,Espírito
真理,zhēn lǐ,Truth,Verdad,Vérité,Verdade
哲学,zhé xué,Philosophy,Filosofía,Philosophie,Filosofia
新概念,xīn gài niàn,New concepts,Nuevos conceptos,Nouveaux concepts,Novos conceitos
有概念,yǒu gài niàn,Concepts,Conceptos,Concepts,Conceitos
新观念,xīn guān niàn,New ideas,Nuevas ideas,Nouvelles idées,Novas ideias
转变观念,zhuǎn biàn guān niàn,Change concepts,Cambiar conceptos,Changer les concepts,Mudar conceitos
好想法,hǎo xiǎng fǎ,Good ideas,Buenas ideas,Bonnes idées,Boas ideias
有想法,yǒu xiǎng fǎ,Have ideas,Tener ideas,Avoir des idées,Tenha ideias
思想家,sī xiǎng jiā,Thinker,Pensador,Penseur,Pensador
有思想,yǒu sī xiǎng,Thoughtful,Pensativo,Réfléchi,Pensativo
原则上,yuán zé shàng,In principle,En principio,En principe,Em princípio
有原则,yǒu yuán zé,Principled,Con principios,Principe,Princípio
新理念,xīn lǐ niàn,New ideas,Nuevas ideas,Nouvelles idées,Novas ideias
有理念,yǒu lǐ niàn,Ideas,Ideas,Idées,Ideias
懂道理,dǒng dào lǐ,Understand the truth,Entiende la verdad,Comprendre la vérité,Entenda a verdade
讲道理,jiǎng dào lǐ,Reasonable,Razonable,Raisonnable,Razoável
有意义,yǒu yì yì,Meaningful,Significativo,Significatif,Significativo
没意义,méi yì yì,Meaningless,Sin sentido,Insignifiant,Sem sentido
有价值,yǒu jià zhí,Valuable,Valioso,Précieux,Valioso
没价值,méi jià zhí,No value,Sin valor,Aucune valeur,Sem valor
有理想,yǒu lǐ xiǎng,Idealistic,Idealista,Idéaliste,Idealista
追求理想,zhuī qiú lǐ xiǎng,Pursuit of ideals,Búsqueda de ideales,Poursuite des idéaux,Busca de ideais
有梦想,yǒu mèng xiǎng,Have dreams,Tener sueños,Faites des rêves,Tenha sonhos
实现梦想,shí xiàn mèng xiǎng,Realize dreams,Realizar sueños,Réaliser des rêves,Realize sonhos
有目标,yǒu mù biāo,Have goals,Tener metas,Avoir des objectifs,Tenha objetivos
定目标,dìng mù biāo,Set goals,Establecer objetivos,Fixer des objectifs,Estabeleça metas
有信念,yǒu xìn niàn,Have faith,Ten fe,Ayez foi,Tenha fé
坚定信念,jiān dìng xìn niàn,Firm belief,Creencia firme,Croyance ferme,Crença firme
精神好,jīng shén hǎo,Good spirit,Buen espíritu,Bon esprit,Bom espírito
有精神,yǒu jīng shén,Have spirit,Ten espíritu,Avoir de l'esprit,Tenha espírito
是真理,shì zhēn lǐ,Is the truth,Es la verdad,La vérité est-elle,É a verdade
追求真理,zhuī qiú zhēn lǐ,Pursue the truth,Persigue la verdad,Poursuivre la vérité,Perseguir a verdade
学哲学,xué zhé xué,Learn philosophy,Aprender filosofía,Apprendre la philosophie,Aprenda filosofia
讲哲学,jiǎng zhé xué,Speak philosophy,Hablar filosofía,Parler philosophie,Falar filosofia
