chinese,pinyin,english,spanish,french,portuguese
现在,xiàn zài,Now,Ahora,Maintenant,Agora
今天,jīn tiān,Today,Hoy,Aujourd'hui,Hoje
明天,míng tiān,Tomorrow,Mañana,Demain,Amanhã
昨天,zuó tiān,Yesterday,Ayer,Hier,Ontem
后天,hòu tiān,The day after tomorrow,Pasado mañana,Après-demain,Depois de amanhã
前天,qián tiān,The day before yesterday,Anteayer,Avant-hier,Anteontem
早上,zǎo shàng,Morning,Mañana,Matin,Manhã
中午,zhōng wǔ,Noon,Mediodía,Midi,Meio-dia
下午,xià wǔ,Afternoon,Tarde,Après-midi,Tarde
晚上,wǎn shàng,Evening,Noche,Soirée,Noite
时间,shí jiān,Time,Tiempo,Temps,Tempo
以前,yǐ qián,Before,Antes,Avant,Antes
以后,yǐ hòu,After,Después,Après,Depois
每天,měi tiān,Every day,Todos los días,Chaque jour,Todos os dias
刚才,gāng cái,Just now,Justo ahora,Tout à l'heure,Agora mesmo
马上,mǎ shàng,immediately,inmediatamente,immédiatement,imediatamente
一会儿,yī huì er,A while,Un rato,Un moment,Um momento
现在走,xiàn zài zǒu,Go now,Ir ahora,Allez-y maintenant,Vá agora
就现在,jiù xiàn zài,Right now,Ahora mismo,En ce moment,Agora
今天好,jīn tiān hǎo,Good today,Bueno hoy,Bien aujourd'hui,Bom hoje
就今天,jiù jīn tiān,Just today,Justo hoy,Juste aujourd'hui,Só hoje
明天见,míng tiān jiàn,See you tomorrow,Nos vemos mañana,A demain,Até amanhã
等明天,děng míng tiān,Waiting for tomorrow,Esperando mañana,En attendant demain,Esperando por amanhã
昨天去,zuó tiān qù,Went yesterday,Ir ayer,Allez-y hier,Vá ontem
在昨天,zài zuó tiān,Yesterday,En ayer,Hier,Ontem
后天来,hòu tiān lái,Come the day after tomorrow,Ven pasado mañana,Venez après-demain,Venha depois de amanhã
等后天,děng hòu tiān,Wait for the day after tomorrow,Espera a pasado mañana,Attendez après-demain,Espere até depois de amanhã
前天到,qián tiān dào,Arrive the day before yesterday,Llegue anteayer,Arrivée avant-hier,Chegue anteontem
在前天,zài qián tiān,The day before yesterday,Anteayer,Avant-hier,Anteontem
早上好,zǎo shàng hǎo,Good morning,Buenos días,Bonjour,Bom dia
在早上,zài zǎo shàng,In the morning,Por la mañana,Le matin,De manhã
中午吃,zhōng wǔ chī,Eat at noon,Comer al mediodía,Manger à midi,Comer ao meio-dia
到中午,dào zhōng wǔ,Until noon,Hasta el mediodía,Jusqu'à midi,Até meio-dia
下午见,xià wǔ jiàn,See you in the afternoon,Nos vemos por la tarde,Rendez-vous dans l'après-midi,Vejo vocês à tarde
在下午,zài xià wǔ,In the afternoon,Por la tarde,L'après-midi,À tarde
晚上好,wǎn shàng hǎo,Good evening,Buenas noches,Bonsoir,Boa noite
在晚上,zài wǎn shàng,In the evening,Por la tarde,Le soir,À noite
时间到,shí jiān dào,Time is up,Se acabó el tiempo,Le temps est écoulé,O tempo acabou
没时间,méi shí jiān,No time,No hay tiempo,Pas le temps,Sem tempo
以前好,yǐ qián hǎo,Good before,Bueno antes,Bon avant,Bom antes
在以前,zài yǐ qián,In the past,En el pasado,Dans le passé,No passado
以后说,yǐ hòu shuō,Say in the future,Di en el futuro,Dire dans le futur,Diga no futuro
在以后,zài yǐ hòu,In the future,En el futuro,Dans le futur,No futuro
每天都,měi tiān dōu,Every day,Todos los días,Chaque jour,Todos os dias
坚持每天,jiān chí měi tiān,Persistence every day,Persistencia todos los días,Persistance au quotidien,Persistência todos os dias
刚才说,gāng cái shuō,Just said,Acabo de decir,Je viens de dire,Acabei de dizer
就刚才,jiù gāng cái,Just now,Justo ahora,Tout à l'heure,Agora mesmo
马上到,mǎ shàng dào,Coming soon,Próximamente,À venir,Em breve
马上来,mǎ shàng lái,Coming right away,Vengo enseguida,J'arrive tout de suite,Já estou chegando
一会儿见,yī huì er jiàn,See you later,Hasta luego,À plus tard,Até logo
等一会儿,děng yī huì er,Wait a moment,Espera un momento,Attends un instant,Espere um momento
