chinese,pinyin,english,spanish,french,portuguese
成功,chéng gōng,Success,Éxito,Succès,Sucesso
成就,chéng jiù,Achievements,Logros,Réalisations,Conquistas
成果,chéng guǒ,Achievements,Logros,Réalisations,Conquistas
业绩,yè jì,Performance,Rendimiento,Performances,Desempenho
失败,shī bài,Failure,Fracaso,Échec,Falha
挫折,cuò zhé,Frustration,Frustración,Frustration,Frustração
进步,jìn bù,Progress,Progreso,Progrès,Progresso
突破,tū pò,Breakthrough,Avance,Percée,Avanço
收获,shōu huò,Harvest,Cosecha,Récolte,Colheita
成长,chéng zhǎng,Growth,Crecimiento,Croissance,Crescimento
奋斗,fèn dòu,Struggle,Lucha,Lutte,Luta
努力,nǔ lì,Effort,Esfuerzo,Effort,Esforço
效果,xiào guǒ,Effect,Efecto,Effet,Efeito
成效,chéng xiào,Effectiveness,Efectividad,Efficacité,Eficácia
战果,zhàn guǒ,Result,Resultado,Résultat,Resultado
建树,jiàn shù,Achievements,Logros,Réalisations,Conquistas
成功人士,chéng gōng rén shì,Successful people,Personas exitosas,Les gens qui réussissent,Pessoas de sucesso
走向成功,zǒu xiàng chéng gōng,Toward success,Hacia el éxito,Vers le succès,Rumo ao sucesso
成就感,chéng jiù gǎn,Sense of accomplishment,Sentido de logro,Sentiment d'accomplissement,Sensação de realização
一番成就,yī fān chéng jiù,An achievement,Un logro,Une réussite,Uma conquista
研究成果,yán jiū chéng guǒ,Research results,Resultados de la investigación,Résultats de la recherche,Resultados da investigação
丰硕成果,fēng shuò chéng guǒ,Fruitful results,Resultados fructíferos,Des résultats fructueux,Resultados frutíferos
销售业绩,xiāo shòu yè jì,Sales performance,Rendimiento de ventas,Performances commerciales,Desempenho de vendas
辉煌业绩,huī huáng yè jì,Brilliant performance,Brillante actuación,Des performances brillantes,Desempenho brilhante
失败是成功之母,shī bài shì chéng gōng zhī mǔ,Failure is the mother of success,El fracaso es la madre del éxito,L'échec est la mère du succès,O fracasso é a mãe do sucesso
经历失败,jīng lì shī bài,Experience failure,Experimentar el fracaso,Expérience d'échec,Falha na experiência
遭受挫折,zāo shòu cuò zhé,Suffer setbacks,Sufrir reveses,Subir des revers,Sofrer contratempos
挫折教育,cuò zhé jiào yù,Frustration education,Educación sobre la frustración,Éducation à la frustration,Educação sobre frustração
明显进步,míng xiǎn jìn bù,Significant progress,Progresos significativos,Des progrès significatifs,Progressos significativos
不断进步,bù duàn jìn bù,Continuous progress,Progreso continuo,Des progrès continus,Progresso contínuo
技术突破,jì shù tū pò,Technical breakthroughs,Avances técnicos,Percées techniques,Avanços técnicos
重大突破,zhòng dà tū pò,Major breakthroughs,Grandes avances,Des avancées majeures,Grandes avanços
满载收获,mǎn zài shōu huò,Full harvest,Cosecha completa,Récolte complète,Colheita completa
收获颇丰,shōu huò pǒ fēng,Rich harvest,Rica cosecha,Riche récolte,Rica colheita
成长经历,chéng zhǎng jīng lì,Growth experience,Experiencia de crecimiento,Expérience de croissance,Experiência de crescimento
茁壮成长,zhuó zhuàng chéng zhǎng,Thrive,Prosperar,Prospérer,Prosperar
艰苦奋斗,jiān kǔ fèn dòu,Hard work,Trabajo duro,Travail acharné,Trabalho duro
奋斗目标,fèn dòu mù biāo,Goal,Objetivo,Objectif,Meta
努力工作,nǔ lì gōng zuò,Hard work,Trabajo duro,Travail acharné,Trabalho duro
付出努力,fù chū nǔ lì,Make efforts,Hacer esfuerzos,Faire des efforts,Faça esforços
立竿见影效果,lì gān jiàn yǐng xiào guǒ,Immediate results,Resultados inmediatos,Résultats immédiats,Resultados imediatos
效果显著,xiào guǒ xiǎn zhù,Remarkable results,Resultados notables,Des résultats remarquables,Resultados notáveis ​​
卓有成效,zhuó yǒu chéng xiào,Effective,Efectivo,Efficace,Eficaz
初见成效,chū jiàn chéng xiào,Initial results,Resultados iniciales,Premiers résultats,Resultados iniciais
辉煌战果,huī huáng zhàn guǒ,Brilliant results,Resultados brillantes,Des résultats brillants,Resultados brilhantes
累累战果,lěi lěi zhàn guǒ,Plenty of results,Muchos resultados,Beaucoup de résultats,Muitos resultados
颇有建树,pǒ yǒu jiàn shù,Considerable achievements,Logros considerables,Des réalisations considérables,Realizações consideráveis ​​
学术建树,xué shù jiàn shù,Academic achievements,Logros académicos,Réalisations académiques,Conquistas acadêmicas
