chinese,pinyin,english,spanish,french,portuguese
教育,jiào yù,Education,Educación,Éducation,Educação
学习,xué xí,Learning,Aprendizaje,Apprentissage,Aprendizagem
培训,péi xùn,Training,Formación,Formation,Treinamento
研究,yán jiū,Research,Investigación,Recherche,Pesquisa
学问,xué wèn,Learning,Aprendizaje,Apprentissage,Aprendizagem
知识,zhī shí,Knowledge,Conocimiento,Connaissance,Conhecimento
能力,néng lì,Abilities,Habilidades,Capacités,Habilidades
技能,jì néng,Skills,Habilidades,Compétences,Habilidades
学历,xué lì,Education,Educación,Éducation,Educação
文凭,wén píng,Diploma,Diplomado,Diplôme,Diploma
学位,xué wèi,Degree,Grado,Diplôme,Grau
课程,kè chéng,Courses,Cursos,Cours,Cursos
专业,zhuān yè,Major,Mayor,Majeur,Maior
科目,kē mù,Subjects,Materias,Sujets,Assuntos
进修,jìn xiū,Continuing education,Educación continua,Formation continue,Educação continuada
自学,zì xué,Self-study,Autoestudio,Auto-apprentissage,Autoestudo
教育好,jiào yù hǎo,Good education,Buena educación,Bonne éducation,Boa educação
受教育,shòu jiào yù,Educated,Educado,Instruit,Educado
学习好,xué xí hǎo,Study well,Estudia bien,Bien étudier,Estude bem
爱学习,ài xué xí,Love learning,Me encanta aprender,Aime apprendre,Adoro aprender
参加培训,cān jiā péi xùn,Participate in training,Participar en la formación,Participer à une formation,Participe na formação
做培训,zuò péi xùn,Do training,Hacer entrenamiento,Faire une formation,Faça treinamento
做研究,zuò yán jiū,Do research,Investigar,Faites des recherches,Faça pesquisas
研究下,yán jiū xià,Study,Estudio,Étude,Estude
有学问,yǒu xué wèn,Be knowledgeable,Sea informado,Soyez bien informé,Tenha conhecimento
做学问,zuò xué wèn,Be knowledgeable,Sea informado,Soyez bien informé,Tenha conhecimento
有知识,yǒu zhī shí,Have knowledge,Tener conocimientos,Avoir des connaissances,Tenha conhecimento
学知识,xué zhī shí,Learn knowledge,Aprender conocimientos,Apprendre des connaissances,Aprenda conhecimento
有能力,yǒu néng lì,Be capable,Ser capaz,Être capable,Seja capaz
提高能力,tí gāo néng lì,Improve ability,Mejorar la capacidad,Améliorer la capacité,Melhorar a habilidade
有技能,yǒu jì néng,Have skills,Tener habilidades,Avoir des compétences,Tenha habilidades
学技能,xué jì néng,Learn skills,Aprender habilidades,Acquérir des compétences,Aprenda habilidades
学历高,xué lì gāo,High education,Educación superior,Enseignement supérieur,Ensino superior
看学历,kàn xué lì,See academic qualifications,Ver titulaciones académicas,Voir les diplômes universitaires,Ver habilitações académicas
有文凭,yǒu wén píng,Have a diploma,Tener un diploma,Avoir un diplôme,Ter um diploma
拿文凭,ná wén píng,Get a diploma,Obtener un diploma,Obtenir un diplôme,Obtenha um diploma
有学位,yǒu xué wèi,Have a degree,Tener un título,Avoir un diplôme,Ter um diploma
拿学位,ná xué wèi,Get a degree,Obtener un título,Obtenir un diplôme,Obter um diploma
上课程,shàng kè chéng,Take courses,Tomar cursos,Suivre des cours,Faça cursos
选课程,xuǎn kè chéng,Choose a course,Elige un curso,Choisissez un cours,Escolha um curso
学专业,xué zhuān yè,Learn a major,Aprende una especialidad,Apprendre une majeure,Aprenda uma especialização
选专业,xuǎn zhuān yè,Choose a major,Elige una especialidad,Choisissez une majeure,Escolha uma especialização
考科目,kǎo kē mù,Test subjects,Sujetos de prueba,Sujets de test,Cobaias
选科目,xuǎn kē mù,Select subjects,Seleccionar materias,Sélectionnez des sujets,Selecione os assuntos
去进修,qù jìn xiū,Go to study,Ir a estudiar,Aller étudier,Vá estudar
继续进修,jì xù jìn xiū,Continue to study,Continuar estudiando,Continuer à étudier,Continuar estudando
靠自学,kào zì xué,Rely on self-study,Depender del autoestudio,S'appuyer sur l'auto-apprentissage,Confie no auto-estudo
坚持自学,jiān chí zì xué,Persist in self-study,Persistir en el autoestudio,Persister dans l'auto-apprentissage,Persista no auto-estudo
