chinese,pinyin,english,spanish,french,portuguese
个,gè,general measure word,clasificador general,classificateur général,classificador geral
只,zhǐ,animal measure word,clasificador de animales,classificateur d'animaux,classificador de animais
条,tiáo,long object measure word,clasificador de objetos largos,classificateur d'objets longs,classificador de itens longos
张,zhāng,flat object measure word,clasificador de objetos planos,classificateur d'objets plats,clasificador de itens planos
件,jiàn,clothing measure word,clasificador de prendas,classificateur de vêtements,classificador de roupas
本,běn,book measure word,clasificador de libros,classificateur de livres,classificador de livros
杯,bēi,cup/glass,taza/vaso,tasse/verre,copo
瓶,píng,bottle,botella,bouteille,garrafa
块,kuài,piece,pedazo,morceau,pedaço
些,xiē,Some,Algunos,Certains,Alguns
次,cì,time/occasion,vez,fois,vez
位,wèi,polite person measure word,clasificador cortés de persona,classificateur poli de personne,classificador cortês de pessoa
双,shuāng,pair,par,paire,par
口,kǒu,mouthful,bocado,bouchée,bocado
套,tào,set,conjunto,ensemble,conjunto
种,zhǒng,kind/type,tipo,type,tipo
排,pái,row,fila,rangée,fila
群,qún,group,Grupo,Groupe,Grupo
副,fù,pair,par,paire,par
一个人,yí gè rén,One person,Una persona,Une personne,Uma pessoa
首个,shǒu gè,First,Primero,Premier,Primeiro
一只猫,yī zhī māo,One cat,Un gato,Un chat,Um gato
两只,liǎng zhǐ,Two,Dos,Deux,Dois
一条路,yī tiáo lù,One road,Un camino,Une route,Uma estrada
几条,jǐ tiáo,A few,Algunos,Quelques,Alguns
三张,sān zhāng,Three,Tres,Trois,Três
两张,liǎng zhāng,Two,Dos,Deux,Dois
一件事,yī jiàn shì,One thing,Una cosa,Une chose,Uma coisa
几件,jǐ jiàn,A few things,Algunas cosas,Quelques choses,Algumas coisas
一本书,yī běn shū,A book,Un libro,Un livre,Um livro
两本,liǎng běn,Two books,Dos libros,Deux livres,Dois livros
一杯水,yī bēi shuǐ,A glass of water,Un vaso de agua,Un verre d'eau,Um copo de água
几杯,jǐ bēi,A few glasses,Unos vasos,Quelques verres,Alguns copos
一瓶酒,yī píng jiǔ,A bottle of wine,Una botella de vino,Une bouteille de vin,Uma garrafa de vinho
两瓶,liǎng píng,Two bottles,Dos botellas,Deux bouteilles,Duas garrafas
一块钱,yī kuài qián,A dollar,Un dólar,Un dollar,Um dólar
几块,jǐ kuài,A few dollars,Unos pocos dólares,Quelques dollars,Alguns dólares
几些,jǐ xiē,A few,Algunos,Quelques,Alguns
好些,hǎo xiē,A few,Algunos,Quelques,Alguns
一次机会,yī cì jī huì,A chance,Una oportunidad,Une chance,Uma chance
几次,jǐ cì,A few times,Algunas veces,Quelques fois,Algumas vezes
一位老师,yī wèi lǎo shī,A teacher,Un maestro,Un enseignant,Uma professora
各位,gè wèi,Everyone,Todos,Tout le monde,Todos
一双鞋,yī shuāng xié,A pair of shoes,Un par de zapatos,Une paire de chaussures,Um par de sapatos
两双,liǎng shuāng,Two pairs,Dos pares,Deux paires,Dois pares
一口气,yì kǒu qì,One breath,Un suspiro,Un souffle,Uma respiração
几口,jǐ kǒu,A few mouthfuls,Unos bocados,Quelques bouchées,Algumas garfadas
一套房,yī tào fáng,A suite,Una suite,Une suite,Uma suíte
整套,zhěng tào,The whole set,Todo el conjunto,L'ensemble,Todo o conjunto
一种方法,yī zhǒng fāng fǎ,One way,Una manera,Une méthode,Uma maneira
几种,jǐ zhǒng,Several,Varios,Plusieurs,Vários
一排座位,yī pái zuò wèi,A row of seats,Una fila de asientos,Une rangée de sièges,Uma fileira de assentos
前排,qián pái,Front row,Primera fila,Première rangée,Primeira fila
一群人,yī qún rén,A group of people,Un grupo de personas,Un groupe de personnes,Um grupo de pessoas
成群,chéng qún,A group,Un grupo,Un groupe,Um grupo
一副眼镜,yī fù yǎn jìng,A pair of glasses,Un par de gafas,Une paire de lunettes,Um par de óculos
两副,liǎng fù,Two pairs,Dos pares,Deux paires,Dois pares
