chinese,pinyin,english,spanish,french,portuguese
救命,jiù mìng,Help,Ayuda,Aide,Ajuda
帮忙,bāng máng,Help,Ayuda,Aide,Ajuda
紧急,jǐn jí,Emergency,Emergencia,Urgence,Emergência
危险,wēi xiǎn,Danger,Peligro,Danger,Perigo
警察,jǐng chá,Police,Policía,Police,Polícia
消防,xiāo fáng,Fire,Fuego,Feu,Fogo
急救,jí jiù,First aid,Primeros auxilios,Premiers secours,Primeiros socorros
注意,zhù yì,Attention,Atención,Attention,Atenção
小心,xiǎo xīn,Caution,Precaución,Attention,Cuidado
医院,yī yuàn,Hospital,Hospital,Hôpital,Hospitalar
药房,yào fáng,Pharmacy,Farmacia,Pharmacie,Farmácia
厕所,cè suǒ,Toilet,Inodoro,Toilettes,Banheiro
出口,chū kǒu,Exit,Salir,Quitter,Sair
入口,rù kǒu,Entrance,Entrada,Entrée,Entrada
丢失,diū shī,Lost,Perdido,Perdu,Perdido
迷路,mí lù,Lost,Perdido,Perdu,Perdido
安全,ān quán,Safety,Seguridad,Sécurité,Segurança
求助,qiú zhù,Help,Ayuda,Aide,Ajuda
救命啊,jiù mìng a,Help,Ayuda,Aide,Ajuda
快救命,kuài jiù mìng,Help,Ayuda,Aide,Ajuda
帮忙啊,bāng máng a,Help,Ayuda,Aide,Ajuda
请帮忙,qǐng bāng máng,Please help,Por favor ayuda,"S'il vous plaît, aidez",Por favor ajude
紧急情况,jǐn jí qíng kuàng,Emergency,Emergencia,Urgence,Emergência
很紧急,hěn jǐn jí,Very urgent,Muy urgente,Très urgent,Muito urgente
危险啊,wēi xiǎn a,Danger,Peligro,Danger,Perigo
有危险,yǒu wēi xiǎn,Danger,Peligro,Danger,Perigo
警察来了,jǐng chá lái le,The police are coming,La policía viene,La police arrive,A polícia está chegando
叫警察,jiào jǐng chá,Call the police,Llama a la policía,Appelez la police,Chame a polícia
消防员,xiāo fáng yuán,Fireman,Bombero,Pompier,Bombeiro
消防车,xiāo fáng chē,Fire truck,Camión de bomberos,Camion de pompiers,Caminhão de bombeiros
急救箱,jí jiù xiāng,First aid kit,Botiquín de primeros auxilios,Trousse de premiers secours,Kit de primeiros socorros
做急救,zuò jí jiù,Give first aid,Dar primeros auxilios,Donner les premiers secours,Prestar primeiros socorros
注意安全,zhù yì ān quán,Pay attention to safety,Preste atención a la seguridad,Faites attention à la sécurité,Preste atenção à segurança
请注意,qǐng zhù yì,Please note,Tenga en cuenta,Veuillez noter,Observe
小心点,xiǎo xīn diǎn,Be careful,Ten cuidado,Soyez prudent,Tenha cuidado
请小心,qǐng xiǎo xīn,Please be careful,Por favor tenga cuidado,Soyez prudent,Tenha cuidado
去医院,qù yī yuàn,Go to the hospital,Ir al hospital,Aller à l'hôpital,Vá para o hospital
在医院,zài yī yuàn,In the hospital,En el hospital,À l'hôpital,No hospital
找药房,zhǎo yào fáng,Find the pharmacy,Encuentra la farmacia,Trouver la pharmacie,Encontre a farmácia
去药房,qù yào fáng,Go to the pharmacy,Ir a la farmacia,Aller à la pharmacie,Vá à farmácia
厕所在哪,cè suǒ zài nǎ,Where is the toilet,¿Dónde está el baño?,Où sont les toilettes,Onde fica o banheiro
找厕所,zhǎo cè suǒ,Find the toilet,Encuentra el baño,Trouver les toilettes,Encontre o banheiro
出口在哪,chū kǒu zài nǎ,Where is the exit,¿Dónde está la salida,Où est la sortie,Onde fica a saída
找出口,zhǎo chū kǒu,Find the exit,Encuentra la salida,Trouver la sortie,Encontre a saída
入口在哪,rù kǒu zài nǎ,Where is the entrance,¿Dónde está la entrada,Où est l'entrée,Onde fica a entrada
找入口,zhǎo rù kǒu,Find the entrance,Encuentra la entrada,Trouver l'entrée,Encontre a entrada
丢失了,diū shī le,Lost,Perdido,Perdu,Perdido
东西丢失,dōng xī diū shī,Something is lost,Algo se pierde,Quelque chose est perdu,Algo está perdido
迷路了,mí lù le,Lost,Perdido,Perdu,Perdido
我迷路,wǒ mí lù,I'm lost,Estoy perdido,Je suis perdu,Estou perdido
安全第一,ān quán dì yī,Safety first,La seguridad es lo primero,La sécurité avant tout,Segurança em primeiro lugar
很安全,hěn ān quán,Very safe,Muy seguro,Très sûr,Muito seguro
求助电话,qiú zhù diàn huà,Helpline,Línea de ayuda,Ligne d'assistance,Linha de apoio
向人求助,xiàng rén qiú zhù,Ask for help,Pide ayuda,Demander de l'aide,Peça ajuda
