chinese,pinyin,english,spanish,french,portuguese
打算,dǎ suàn,Plan,Planear,Prévoir,Planejar
计划,jì huà,Plan,Plan,Plan,Plano
准备,zhǔn bèi,Prepare,Preparar,Préparer,Preparar
决定,jué dìng,Decide,Decidir,Décider,Decidir
安排,ān pái,Arrange,Organizar,Organiser,Organizar
预定,yù dìng,Reserve,Reservar,Réserver,Reservar
取消,qǔ xiāo,Cancel,Cancelar,Annuler,Cancelar
推迟,tuī chí,Postpone,Posponer,Reporter,Adiar
提前,tí qián,Move up,Adelantar,Avancer,Antecipar
空闲,kòng xián,Free time,Tiempo libre,Temps libre,Tempo livre
有空,yǒu kòng,Have time,Tener tiempo,Avoir du temps,Ter tempo
见面,jiàn miàn,Meet,Encontrarse,Se rencontrer,Encontrar-se
约定,yuē dìng,Appointment,Acuerdo,Accord,Acordo
约会,yuē huì,Date,Cita,Rendez-vous,Encontro
排期,pái qī,Schedule,Calendario,Calendrier,Calendário
档期,dàng qī,Available time,Disponibilidad,Disponibilité,Disponibilidade
行程,xíng chéng,Itinerary,Itinerario,Itinéraire,Itinerário
打算去,dǎ suàn qù,Plan to go,Planear ir,Prévoir d'aller,Planejar ir
有打算,yǒu dǎ suàn,Have plans,Tener planes,Avoir des projets,Ter planos
计划好,jì huà hǎo,Plan well,Planear bien,Bien planifié,Planejado bem
做计划,zuò jì huà,Make a plan,Hacer un plan,Faire un plan,Fazer um plano
准备好,zhǔn bèi hǎo,Ready,Listo,Prêt,Pronto
做准备,zuò zhǔn bèi,Make preparations,Hacer preparativos,Faire des préparatifs,Fazer preparativos
决定了,jué dìng le,Decided,Decidido,Décidé,Decidido
做决定,zuò jué dìng,Make a decision,Tomar una decisión,Prendre une décision,Tomar uma decisão
安排好,ān pái hǎo,Arranged,Organizado,Organisé,Organizado
做安排,zuò ān pái,Make arrangements,Hacer arreglos,Faire des arrangements,Fazer arranjos
预定好,yù dìng hǎo,Reserved,Reservado,Réservé,Reservado
去预定,qù yù dìng,Go book,Ir a reservar,Aller réserver,Ir reservar
取消了,qǔ xiāo le,Canceled,Cancelado,Annulé,Cancelado
要取消,yào qǔ xiāo,Need to cancel,Necesito cancelar,Besoin d'annuler,Preciso cancelar
推迟了,tuī chí le,Postponed,Pospuesto,Reporté,Adiado
要推迟,yào tuī chí,Need to postpone,Necesito posponer,Besoin de reporter,Preciso adiar
提前到,tí qián dào,Arrive early,Llegar temprano,Arriver tôt,Chegar cedo
要提前,yào tí qián,Need to be early,Necesito adelantar,Besoin d'avancer,Preciso antecipar
有空闲,yǒu kòng xián,Have free time,Tener tiempo libre,Avoir du temps libre,Ter tempo livre
比较空闲,bǐ jiào kòng xián,Relatively free,Relativamente libre,Relativement libre,Relativamente livre
有空吗,yǒu kòng ma,Are you free,¿Estás libre?,Es-tu libre?,Você está livre?
没有空,méi yǒu kòng,Not free,No estoy libre,Pas libre,Não estou livre
见面吧,jiàn miàn ba,Let's meet,Encontrémonos,Rencontrons-nous,Vamos nos encontrar
去见面,qù jiàn miàn,Go meet,Ir a encontrarse,Aller se rencontrer,Ir encontrar-se
约定好,yuē dìng hǎo,Agreed,Acordado,Convenu,Acordado
有约定,yǒu yuē dìng,Have an agreement,Tener un acuerdo,Avoir un accord,Ter um acordo
约会吧,yuē huì ba,Let's go on a date,Vamos a una cita,Allons à un rendez-vous,Vamos a um encontro
去约会,qù yuē huì,Go on a date,Ir a una cita,Aller à un rendez-vous,Ir a um encontro
排期表,pái qī biǎo,Schedule,Calendario,Calendrier,Calendário
做排期,zuò pái qī,Make a schedule,Hacer un calendario,Faire un calendrier,Fazer um calendário
有档期,yǒu dàng qī,Have availability,Tener disponibilidad,Avoir de la disponibilité,Ter disponibilidade
看档期,kàn dàng qī,Check availability,Ver disponibilidad,Vérifier la disponibilité,Verificar disponibilidade
行程表,xíng chéng biǎo,Itinerary,Itinerario,Itinéraire,Itinerário
安排行程,ān pái xíng chéng,Arrange itinerary,Organizar itinerario,Organiser l'itinéraire,Organizar itinerário
