chinese,pinyin,english,spanish,french,portuguese
刚刚,gāng gāng,Just,Recién,Juste,Apenas
立刻,lì kè,Immediately,Inmediatamente,Immédiatement,Imediatamente
之前,zhī qián,Before,Antes,Avant,Antes
之后,zhī hòu,After,Después,Après,Depois
正在,zhèng zài,Currently,Actualmente,Actuellement,Atualmente
已经,yǐ jīng,Already,Ya,Déjà,Já
还没,hái méi,Not yet,Todavía no,Pas encore,Ainda não
终于,zhōng yú,Finally,Finalmente,Enfin,Finalmente
即时,jí shí,Immediately,Inmediatamente,Immédiatement,Imediatamente
瞬时,shùn shí,Instantaneous,Instantáneo,Instantané,Instantâneo
当即,dāng jí,Immediately,Inmediatamente,Immédiatement,Imediatamente
随即,suí jí,Then,Entonces,Puis,Então
旋即,xuán jí,Immediately,Inmediatamente,Immédiatement,Imediatamente
继而,jì ér,Then,Entonces,Puis,Então
尔后,ěr hòu,Later,Más tarde,Plus tard,Mais tarde
此刻,cǐ kè,At the moment,Por el momento,En ce moment,No momento
刚刚说,gāng gāng shuō,Just said,Acabo de decir,Je viens de dire,Acabei de dizer
刚刚到,gāng gāng dào,Just arrived,Recién llegado,Je viens d'arriver,Acabei de chegar
立刻去,lì kè qù,Go immediately,Ir inmediatamente,Allez-y immédiatement,Vá imediatamente
立刻做,lì kè zuò,Do it immediately,Hazlo inmediatamente,Faites-le immédiatement,Faça isso imediatamente
之前说,zhī qián shuō,Said before,Dicho antes,Dit avant,Disse antes
在之前,zài zhī qián,Before,Antes,Avant,Antes
之后说,zhī hòu shuō,Say later,Decir más tarde,Dire plus tard,Diga mais tarde
在之后,zài zhī hòu,After,Después,Après,Depois
正在做,zhèng zài zuò,Doing,Haciendo,Faire,Fazendo
正在吃,zhèng zài chī,Eating,Comer,Manger,Comer
已经到,yǐ jīng dào,Already arrived,Ya llegué,Déjà arrivé,Já chegou
已经走,yǐ jīng zǒu,Already gone,Ya se fue,Déjà parti,Já foi
还没到,hái méi dào,Not yet,Todavía no,Pas encore,Ainda não
还没吃,hái méi chī,Not eaten yet,Aún no comido,Pas encore mangé,Ainda não comi
终于到,zhōng yú dào,Finally arrived,Finalmente llegó,Enfin arrivé,Finalmente cheguei
终于完成,zhōng yú wán chéng,Finally completed,Finalmente completado,Enfin terminé,Finalmente concluído
即时通讯,jí shí tōng xùn,Instant messaging,Mensajería instantánea,Messagerie instantanée,Mensagens instantâneas
即时更新,jí shí gēng xīn,Instant updates,Actualizaciones instantáneas,Mises à jour instantanées,Atualizações instantâneas
瞬时速度,shùn shí sù dù,Instant speed,Velocidad instantánea,Vitesse instantanée,Velocidade instantânea
瞬时变化,shùn shí biàn huà,Instant changes,Cambios instantáneos,Modifications instantanées,Mudanças instantâneas
当即决定,dāng jí jué dìng,Decide immediately,Decide inmediatamente,Décidez immédiatement,Decida imediatamente
当即回复,dāng jí huí fù,Reply immediately,Responder inmediatamente,Répondez immédiatement,Responda imediatamente
随即离开,suí jí lí kāi,Leave immediately,Salir inmediatamente,Partez immédiatement,Saia imediatamente
随即出发,suí jí chū fā,Set off immediately,Partir inmediatamente,Partez immédiatement,Parta imediatamente
旋即返回,xuán jí fǎn huí,Return immediately,Regresar inmediatamente,Retour immédiatement,Retorne imediatamente
旋即消失,xuán jí xiāo shī,Disappear immediately,Desaparecer inmediatamente,Disparaître immédiatement,Desaparecer imediatamente
继而发展,jì ér fā zhǎn,Then develop,Luego desarrollar,Développez ensuite,"Em seguida, desenvolva"
继而出现,jì ér chū xiàn,Then appear,Entonces aparece,Apparaissent alors,Então aparece
尔后再说,ěr hòu zài shuō,Let’s talk later,Hablemos más tarde,Parlons plus tard,Conversamos mais tarde
尔后决定,ěr hòu jué dìng,Then decide,Entonces decide,Alors décidez,Então decida
此刻开始,cǐ kè kāi shǐ,Start now,Empezar ahora,Commencez maintenant,Comece agora
在此刻,zài cǐ kè,At this moment,en este momento,En ce moment,Neste momento
