chinese,pinyin,english,spanish,french,portuguese
如果,rú guǒ,if,si,si,se
假如,jiǎ rú,if,si,si,se
假设,jiǎ shè,suppose,suponer,supposons,suponha
假使,jiǎ shǐ,if,si,si,se
万一,wàn yī,if,si,si,se
除非,chú fēi,unless,a menos que,à moins que,a menos que
只要,zhǐ yào,only,sólo,seulement,apenas
只有,zhǐ yǒu,only,sólo,seulement,apenas
否则,fǒu zé,otherwise,de lo contrario,sinon,caso contrário
不然,bù rán,otherwise,de lo contrario,sinon,caso contrário
要不,yào bù,otherwise,de lo contrario,sinon,caso contrário
虽然,suī rán,although,aunque,bien que,embora
尽管,jǐn guǎn,although,aunque,bien que,embora
即使,jí shǐ,even,incluso,même,mesmo
哪怕,nǎ pà,even if,incluso si,même si,mesmo que
无论,wú lùn,regardless of,independientemente de,indépendamment de,independentemente de
如果是,rú guǒ shì,if,si,si,se
如果说,rú guǒ shuō,if say,si dices,si disons,se disser
假如是,jiǎ rú shì,if,si,si,se
假如说,jiǎ rú shuō,if say,si dices,si disons,se disser
假设是,jiǎ shè shì,suppose to be,se supone que es,supposé être,suponho que seja
假设说,jiǎ shè shuō,suppose to say,supongo que decir,supposons dire,suponho que diga
假使是,jiǎ shǐ shì,if yes,en caso afirmativo,si oui,se sim
假使如此,jiǎ shǐ rú cǐ,What if,¿Y si,Et si,E se
万一呢,wàn yī ne,What if,¿Y si,Et si,E se
万一是,wàn yī shì,Unless it is,A menos que sea,À moins que ce ne soit,A menos que seja
除非是,chú fēi shì,Unless you,A menos que tú,Sauf si vous,A menos que você
除非你,chú fēi nǐ,As long as it is,Mientras sea,Tant que c'est,Contanto que seja
只要是,zhǐ yào shì,As long as you,Mientras tú,Tant que vous,Contanto que você
只要你,zhǐ yào nǐ,Only you,Sólo tú,Seulement vous,Só você
只有你,zhǐ yǒu nǐ,Only this way,Sólo así,Seulement de cette façon,Só assim
只有这样,zhǐ yǒu zhè yàng,Otherwise,De lo contrario,Sinon,Caso contrário
否则会,fǒu zé huì,Otherwise,De lo contrario,Sinon,Caso contrário
否则就,fǒu zé jiù,Otherwise,De lo contrario,Sinon,Caso contrário
不然会,bù rán huì,Otherwise,De lo contrario,Sinon,Caso contrário
不然就,bù rán jiù,Otherwise,De lo contrario,Sinon,Caso contrário
要不然,yào bù rán,Even though it is,Aunque lo sea,Même si c'est,Mesmo que seja
要不就,yào bù jiù,Even though it is,Aunque lo sea,Même si c'est,Mesmo que seja
虽然是,suī rán shì,Even though it is,Aunque lo sea,Même si c'est,Mesmo que seja
虽然说,suī rán shuō,Even so,Aun así,Malgré tout,Mesmo assim
尽管是,jǐn guǎn shì,Even though it is,Aunque lo sea,Même si c'est,Mesmo que seja
尽管如此,jǐn guǎn rú cǐ,Even so,Aun así,Malgré tout,Mesmo assim
即使是,jí shǐ shì,Even if it’s,Incluso si es,Même si c'est,Mesmo que seja
即使这样,jí shǐ zhè yàng,Even if it’s just,Incluso si es solo,Même si c'est juste,Mesmo que seja apenas
哪怕是,nǎ pà shì,No matter what,No importa qué,Quoi qu’il arrive,Não importa o que aconteça
哪怕只有,nǎ pà zhǐ yǒu,Even if only,Incluso si solo,Même si seulement,Mesmo que apenas
无论是,wú lùn shì,Whether it is,Ya sea,Que ce soit,Seja
无论如何,wú lùn rú hé,No matter what,Pase lo que pase,Quoi qu'il en soit,Não importa o que
