chinese,pinyin,english,spanish,french,portuguese
就是,jiù shì,It is,Es,C'est,É
正是,zhèng shì,Exactly,Exactamente,Exactement,Exatamente
只是,zhǐ shì,Just,Solo,Juste,Apenas
仅仅,jǐn jǐn,Merely,Solamente,Seulement,Apenas
偏偏,piān piān,Unfortunately,Desafortunadamente,Malheureusement,Infelizmente
恰恰,qià qià,Exactly,Exactamente,Exactement,Exatamente
竟然,jìng rán,Unexpectedly,Inesperadamente,De façon inattendue,Inesperadamente
居然,jū rán,Surprisingly,Sorprendentemente,Étonnamment,Surpreendentemente
简直,jiǎn zhí,Simply,Simplemente,Simplement,Simplesmente
根本,gēn běn,Fundamentally,Fundamentalmente,Fondamentalement,Fundamentalmente
确实,què shí,Indeed,Efectivamente,En effet,De fato
的确,dí què,Indeed,Ciertamente,Certainement,Certamente
实在,shí zài,Really,Realmente,Vraiment,Realmente
究竟,jiū jìng,After all,Al fin y al cabo,Après tout,Afinal
到底,dào dǐ,In the end,Al final,À la fin,No final
果然,guǒ rán,As expected,Como se esperaba,Comme prévu,Como esperado
就是他,jiù shì tā,It's him,Es él,C'est lui,É ele
就是这样,jiù shì zhè yàng,That's how it is,Así es,C'est comme ça,É assim
正是他,zhèng shì tā,It's exactly him,Es exactamente él,C'est exactement lui,É exatamente ele
正是如此,zhèng shì rú cǐ,Exactly so,Exactamente así,Exactement ainsi,Exatamente assim
只是说,zhǐ shì shuō,Just saying,Solo digo,Je dis juste,Apenas dizendo
只是想,zhǐ shì xiǎng,Just thinking,Solo pienso,Je pense juste,Apenas pensando
仅仅是,jǐn jǐn shì,It's merely,Es solamente,C'est seulement,É apenas
仅仅因为,jǐn jǐn yīn wèi,Just because,Solo porque,Juste parce que,Só porque
偏偏是,piān piān shì,It happens to be,Resulta ser,Il se trouve que c'est,Acontece que é
偏偏要,piān piān yào,Insist on,Insistir en,Insister pour,Insistir em
恰恰相反,qià qià xiāng fǎn,On the contrary,Por el contrario,Au contraire,Pelo contrário
恰恰是,qià qià shì,It's exactly,Es exactamente,C'est exactement,É exatamente
竟然是,jìng rán shì,It turns out to be,Resulta que es,Il s'avère que c'est,Acontece que é
竟然会,jìng rán huì,Would actually,Realmente lo haría,Pourrait vraiment,Realmente faria
居然是,jū rán shì,It's surprisingly,Sorprendentemente es,C'est étonnamment,É surpreendentemente
居然会,jū rán huì,Would surprisingly,Sorprendentemente haría,Étonnamment ferait,Surpreendentemente faria
简直是,jiǎn zhí shì,It's simply,Es simplemente,C'est simplement,É simplesmente
简直不敢相信,jiǎn zhí bù gǎn xiāng xìn,Simply unbelievable,Simplemente increíble,Tout simplement incroyable,Simplesmente inacreditável
根本不,gēn běn bù,Not at all,En absoluto,Pas du tout,De jeito nenhum
根本没有,gēn běn méi yǒu,Don't have at all,No tiene en absoluto,N'a pas du tout,Não tem de jeito nenhum
确实是,què shí shì,It really is,Realmente es,C'est vraiment,Realmente é
确实好,què shí hǎo,Really good,Realmente bueno,Vraiment bien,Realmente bom
的确是,dí què shì,It certainly is,Ciertamente es,C'est certainement,É certamente
的确好,dí què hǎo,Certainly good,Ciertamente bueno,Certainement bien,Certamente bom
实在是,shí zài shì,It really is,Realmente es,C'est vraiment,Realmente é
实在太,shí zài tài,Really too,Realmente demasiado,Vraiment trop,Realmente demais
究竟是,jiū jìng shì,What exactly is,¿Qué es exactamente?,Qu'est-ce que c'est exactement,O que exatamente é
究竟怎么,jiū jìng zěn me,How exactly,¿Cómo exactamente?,Comment exactement,Como exatamente
到底是,dào dǐ shì,What on earth is,¿Qué diablos es?,Qu'est-ce que c'est donc,O que raio é
到底怎么,dào dǐ zěn me,How on earth,¿Cómo diablos?,Comment donc,Como raio
果然是,guǒ rán shì,It's as expected,Es como se esperaba,C'est comme prévu,É como esperado
果然如此,guǒ rán rú cǐ,Indeed so,Así es en efecto,En effet ainsi,De fato assim
