spanish,english,chinese,pinyin,portuguese
recomiendo,I recommend,我推荐,wǒ tuī jiàn,Eu recomendo
recomiendas,do you recommend,你推荐吗,nǐ tuī jiàn ma,você recomenda
recomienda,recommends,推荐,tuī jiàn,recomenda
recomendamos,we recommend,我们推荐,wǒ men tuī jiàn,recomendamos
recomendáis,do you recommend,你推荐吗,nǐ tuī jiàn ma,você recomenda
recomiendan,recommend,推荐,tuī jiàn,recomendo
recomendar,recommend,推荐,tuī jiàn,recomendo
recomendación,recommendation,推荐,tuī jiàn,recomendação
asesoramiento,advice,建议,jiàn yì,conselhos
yo recomiendo,I recommend,我推荐,wǒ tuī jiàn,Eu recomendo
te lo recomiendo,I recommend it,我推荐它,wǒ tuī jiàn tā,Eu recomendo
tú recomiendas,you recommend,你推荐,nǐ tuī jiàn,você recomenda
me lo recomiendas,do you recommend it,你推荐吗,nǐ tuī jiàn ma,você recomenda
él recomienda,he recommends,他推荐,tā tuī jiàn,ele recomenda
me lo recomienda,recommends it to me,推荐给我,tuī jiàn gěi wǒ,me recomenda
nosotros recomendamos,we recommend,我们推荐,wǒ men tuī jiàn,recomendamos
se lo recomendamos,we recommend it,我们推荐它,wǒ men tuī jiàn tā,recomendamos
vosotros recomendáis,you recommend,你推荐,nǐ tuī jiàn,você recomenda
me lo recomendáis,Do you recommend it to me,推荐给我吗,tuī jiàn gěi wǒ ma,Você me recomenda
ellos recomiendan,they recommend,他们推荐,tā men tuī jiàn,eles recomendam
me lo recomiendan,they recommend it to me,他们向我推荐它,tā men xiàng wǒ tuī jiàn tā,eles me recomendaram
quiero recomendar,I want to recommend,我要推荐,wǒ yào tuī jiàn,Quero recomendar
voy a recomendar,I will recommend,我会推荐,wǒ huì tuī jiàn,Vou recomendar
la recomendación,the recommendation,推荐,tuī jiàn,a recomendação
una recomendación,a recommendation,推荐,tuī jiàn,uma recomendação
el asesoramiento,the advice,建议,jiàn yì,o conselho
con asesoramiento,with advice,有建议,yǒu jiàn yì,com conselhos
