Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
spanish,33,Can & Able (poder),3,english,you can,you can (informal),Informal tú form needs annotation
spanish,33,Can & Able (poder),6,english,you can,you can (informal plural),Informal vosotros form needs annotation
spanish,33,Can & Able (poder),14,english,you can,you can (informal),Informal tú form needs annotation
spanish,33,Can & Able (poder),20,english,you can,you can (informal plural),Informal vosotros form needs annotation
spanish,34,Want & Desire (querer),3,english,you want,you want (informal),Informal tú form needs annotation
spanish,34,Want & Desire (querer),6,english,you want,you want (informal plural),Informal vosotros form needs annotation
spanish,34,Want & Desire (querer),14,english,you want,you want (informal),Informal tú form needs annotation
spanish,34,Want & Desire (querer),20,english,you want,you want (informal plural),Informal vosotros form needs annotation
spanish,35,School Supplies,15,english,teacher,teacher (masculine),Gender annotation for profesor
spanish,35,School Supplies,16,english,teacher,teacher (feminine),Gender annotation for profesora
spanish,35,School Supplies,48,english,the teacher,the teacher (masculine),Gender annotation for el profesor
spanish,35,School Supplies,50,english,the teacher,the teacher (feminine),Gender annotation for la profesora
spanish,36,Office & Work,2,english,boss,boss (masculine),Gender annotation for jefe
spanish,36,Office & Work,3,english,boss,boss (feminine),Gender annotation for jefa
spanish,36,Office & Work,4,english,employee,employee (masculine),Gender annotation for empleado
spanish,36,Office & Work,5,english,employee,employee (feminine),Gender annotation for empleada
spanish,36,Office & Work,6,english,coworker,coworker (masculine),Gender annotation for compañero
spanish,36,Office & Work,7,english,coworker,coworker (feminine),Gender annotation for compañera
spanish,36,Office & Work,7,chinese,伴侣,伙伴,伴侣 means spouse/partner not coworker
spanish,36,Office & Work,7,pinyin,bàn lǚ,huǒ bàn,Pinyin must match corrected Chinese
spanish,36,Office & Work,8,english,client,client (masculine),Gender annotation for cliente
spanish,36,Office & Work,9,english,client,client (feminine),Gender annotation for clienta
spanish,36,Office & Work,22,english,the boss,the boss (masculine),Gender annotation for el jefe
spanish,36,Office & Work,24,english,the boss,the boss (feminine),Gender annotation for la jefa
spanish,36,Office & Work,25,portuguese,meu chefe,minha chefe,Feminine form needed for mi jefa
spanish,36,Office & Work,26,english,the employee,the employee (masculine),Gender annotation for el empleado
spanish,36,Office & Work,28,english,the employee,the employee (feminine),Gender annotation for la empleada
spanish,36,Office & Work,34,english,the client,the client (masculine),Gender annotation for el cliente
spanish,36,Office & Work,36,english,the client,the client (feminine),Gender annotation for la clienta
spanish,37,Animals,50,chinese,蝮,毒蛇,蝮 only means viper - need 毒蛇 for venomous snake
spanish,37,Animals,50,pinyin,fù,dú shé,Pinyin must match corrected Chinese
spanish,38,Thinking (pensar),3,english,you think,you think (informal),Informal tú form needs annotation
spanish,38,Thinking (pensar),6,english,you think,you think (informal plural),Informal vosotros form needs annotation
spanish,38,Thinking (pensar),14,english,you think,you think (informal),Informal tú form needs annotation
spanish,38,Thinking (pensar),20,english,you think,you think (informal plural),Informal vosotros form needs annotation
spanish,39,Feeling (sentir),3,english,you feel,you feel (informal),Informal tú form needs annotation
spanish,39,Feeling (sentir),6,english,you feel,you feel (informal plural),Informal vosotros form needs annotation
spanish,39,Feeling (sentir),20,english,you feel,you feel (informal plural),Informal vosotros form needs annotation
spanish,42,Vegetables,38,chinese,一个辣椒,一个甜椒,辣椒 is hot pepper - 甜椒 is bell pepper
spanish,42,Vegetables,38,pinyin,yí gè là jiāo,yí gè tián jiāo,Pinyin must match corrected Chinese
spanish,44,Need & Necessity (necesitar),3,english,you need,you need (informal),Informal tú form needs annotation
spanish,44,Need & Necessity (necesitar),6,english,you need,you need (informal plural),Informal vosotros form needs annotation
