spanish,english,chinese,pinyin,portuguese
tengo,I have,我有,wǒ yǒu,Eu tenho
tienes,have,有,yǒu,tens
tiene,has,有,yǒu,tem
tenemos,have,有,yǒu,temos
tenéis,you have,你们有,nǐ men yǒu,você tem
tienen,have,有,yǒu,têm
tener,have,有,yǒu,ter
hambre,hunger,饥饿,jī è,fome
sed,thirst,口渴,kǒu kě,sede
sueño,sleepiness,困意,kùn yì,sonolência
miedo,fear,害怕,hài pà,temer
prisa,hurry,匆忙,cōng máng,pressa
razón,reason,原因,yuán yīn,razão
suerte,luck,运气,yùn qì,sorte
yo tengo,I have,我有,wǒ yǒu,Eu tenho
tengo que,I have to,我必须,wǒ bì xū,eu tenho que
tú tienes,you have,你有,nǐ yǒu,você tem
tienes razón,you're right,你说得对,nǐ shuō dé duì,você tem razão
él tiene,he has,他有,tā yǒu,ele tem
tiene sentido,it makes sense,这是有道理的,zhè shì yǒu dào lǐ de,faz sentido
nosotros tenemos,we have,我们有,wǒ men yǒu,nós temos
tenemos tiempo,we have time,我们有时间,wǒ men yǒu shí jiān,temos tempo
vosotros tenéis,you have,你们有,nǐ men yǒu,você tem
tenéis razón,you are right,你是对的,nǐ shì duì de,você está certo
ellos tienen,they have,他们有,tā men yǒu,Eles têm
tienen prisa,they are in a hurry,他们很着急,tā men hěn zháo jí,eles estão com pressa
hay que tener,you have to have,你必须有,nǐ bì xū yǒu,você tem que ter
puede tener,can have,可以有,kě yǐ yǒu,pode ter
tengo hambre,I'm hungry,我饿了,wǒ è le,estou com fome
mucha hambre,very hungry,很饿,hěn è,com muita fome
tengo sed,I'm thirsty,我渴了,wǒ kě le,Estou com sede
mucha sed,very thirsty,很渴,hěn kě,com muita sede
tengo sueño,I'm sleepy,我想睡觉,wǒ xiǎng shuì jiào,estou com sono
mucho sueño,very sleepy,大量睡眠,dà liàng shuì mián,muito sono
tengo miedo,I'm afraid,我害怕,wǒ hài pà,Estou com medo
mucho miedo,very afraid,非常害怕,fēi cháng hài pà,com muito medo
tengo prisa,I'm in a hurry,我很着急,wǒ hěn zháo jí,Estou com pressa
mucha prisa,in a hurry,匆忙,cōng máng,com pressa
tiene razón,you are right,你是对的,nǐ shì duì de,você está certo
con razón,no wonder,难怪,nán guài,justamente
buena suerte,good luck,祝你好运,zhù nǐ hǎo yùn,boa sorte
mucha suerte,good luck,祝你好运,zhù nǐ hǎo yùn,boa sorte
