spanish,english,chinese,pinyin,portuguese
cumplo,I fulfill,我履行,wǒ lǚ xíng,Eu cumpro
cumples,you fulfill,你履行,nǐ lǚ xíng,você cumpre
cumple,fulfills,履行,lǚ xíng,cumpre
cumplimos,we fulfill,我们遵守,wǒ men zūn shǒu,nós cumprimos
cumplís,you all fulfill,你遵守,nǐ zūn shǒu,vocês cumprem
cumplen,they fulfill,他们履行,tā men lǚ xíng,cumprem
cumplir,to fulfill,履行,lǚ xíng,cumprir
cumpleaños,birthday,生日,shēng rì,aniversário
cumplimiento,compliance,合规,hé guī,conformidade
celebración,celebration,庆典,qìng diǎn,celebração
yo cumplo,I fulfill,我履行,wǒ lǚ xíng,Eu cumpro
hoy cumplo,today I turn,今天我过生日,jīn tiān wǒ guò shēng rì,hoje eu faço aniversário
tú cumples,you fulfill,你履行,nǐ lǚ xíng,você cumpre
hoy cumples,today is your birthday,今天你生日,jīn tiān nǐ shēng rì,hoje é seu aniversário
él cumple,he fulfills,他履行,tā lǚ xíng,ele cumpre
hoy cumple,today is his birthday,今天是他的生日,jīn tiān shì tā de shēng rì,hoje é aniversário dele
nosotros cumplimos,we fulfill,我们履行,wǒ men lǚ xíng,nós cumprimos
hoy cumplimos,today is our birthday,我们今天过生日,wǒ men jīn tiān guò shēng rì,hoje fazemos aniversário
vosotros cumplís,you fulfill,你满足,nǐ mǎn zú,você cumpre
hoy cumplís,today you turn,今天你过生日,jīn tiān nǐ guò shēng rì,hoje vocês fazem aniversário
ellos cumplen,they fulfill,他们遵守,tā men zūn shǒu,eles cumprem
hoy cumplen,today they turn,今天他们过生日,jīn tiān tā men guò shēng rì,hoje eles fazem aniversário
quiero cumplir,I want to fulfill,我要履行,wǒ yào lǚ xíng,Quero cumprir
voy a cumplir,I will fulfill,我会履行,wǒ huì lǚ xíng,Vou cumprir
el cumpleaños,the birthday,生日,shēng rì,o aniversário
feliz cumpleaños,happy birthday,生日快乐,shēng rì kuài lè,feliz aniversário
el cumplimiento,compliance,合规,hé guī,conformidade
en cumplimiento,in compliance,遵守,zūn shǒu,em conformidade
la celebración,the celebration,庆祝活动,qìng zhù huó dòng,a celebração
una celebración,a celebration,庆祝活动,qìng zhù huó dòng,uma celebração
