spanish,english,chinese,pinyin,portuguese
agricultura,agriculture,农业,nóng yè,agricultura
campo,field,领域,lǐng yù,campo
granja,farm,农场,nóng chǎng,fazenda
granjero,farmer,农民,nóng mín,agricultor
granjera,farmer,农民,nóng mín,agricultor
agricultor,farmer,农民,nóng mín,agricultor
agricultora,farmer,农民,nóng mín,agricultor
cosecha,harvest,收获,shōu huò,colheita
sembrar,sow,播种,bō zhǒng,semear
cultivar,cultivate,培育,péi yù,cultivar
regar,water,水,shuǐ,água
cultivo,cultivation,栽培,zāi péi,cultivo
trigo,wheat,小麦,xiǎo mài,trigo
semilla,seed,种子,zhǒng zi,semente
tractor,tractor,拖拉机,tuō lā jī,trator
ganado,cattle,牛,niú,gado
arar,plow,犁,lí,arado
podar,prune,修剪,xiū jiǎn,podar
injertar,graft,嫁接,jià jiē,enxerto
abono,fertilizer,肥料,féi liào,fertilizante
la agricultura,agriculture,农业,nóng yè,agricultura
para la agricultura,for agriculture,用于农业,yòng yú nóng yè,para a agricultura
el campo,the field,领域,lǐng yù,o campo
en el campo,in the field,在现场,zài xiàn chǎng,no campo
la granja,the farm,农场,nóng chǎng,a fazenda
en la granja,on the farm,在农场,zài nóng chǎng,na fazenda
el granjero,the farmer,农民,nóng mín,o agricultor
un granjero,a farmer,一个农民,yí gè nóng mín,um agricultor
la granjera,the farmer,农民,nóng mín,o agricultor
una granjera,a farmer,一个农民,yí gè nóng mín,um agricultor
el agricultor,the farmer,农民,nóng mín,o agricultor
un agricultor,a farmer,一个农民,yí gè nóng mín,um agricultor
la agricultora,the farmer,农民,nóng mín,o agricultor
una agricultora,a farmer,一个农民,yí gè nóng mín,um agricultor
la cosecha,the harvest,收获,shōu huò,a colheita
una cosecha,a harvest,一份收获,yī fèn shōu huò,uma colheita
hay que sembrar,you have to plant,你必须种植,nǐ bì xū zhòng zhí,você tem que plantar
voy a sembrar,I'm going to plant,我要种,wǒ yào zhǒng,Vou plantar
hay que cultivar,you have to cultivate,你必须培养,nǐ bì xū péi yǎng,você tem que cultivar
voy a cultivar,I'm going to farm,我要去种田,wǒ yào qù zhòng tián,Vou cultivar
hay que regar,you have to water,你必须浇水,nǐ bì xū jiāo shuǐ,você tem que regar
voy a regar,I'm going to water,我去浇水,wǒ qù jiāo shuǐ,Vou regar
el cultivo,the cultivation,栽培,zāi péi,o cultivo
un cultivo,a crop,农作物,nóng zuò wù,uma colheita
el trigo,wheat,小麦,xiǎo mài,trigo
de trigo,wheat,小麦,xiǎo mài,trigo
la semilla,the seed,种子,zhǒng zi,a semente
una semilla,a seed,一粒种子,yī lì zhǒng zi,uma semente
el tractor,the tractor,拖拉机,tuō lā jī,o trator
un tractor,a tractor,拖拉机,tuō lā jī,um trator
el ganado,the cattle,牛,niú,o gado
ganado vacuno,cattle,牛,niú,gado
hay que arar,we have to plow,我们必须耕耘,wǒ men bì xū gēng yún,temos que arar
voy a arar,I'm going to plow,我要犁地,wǒ yào lí dì,Vou arar
hay que podar,you have to prune,你必须修剪,nǐ bì xū xiū jiǎn,você tem que podar
voy a podar,I'm going to prune,我要修剪,wǒ yào xiū jiǎn,Vou podar
hay que injertar,you have to graft,你必须嫁接,nǐ bì xū jià jiē,você tem que enxertar
voy a injertar,I'm going to graft,我要嫁接,wǒ yào jià jiē,Vou enxertar
el abono,the fertilizer,肥料,féi liào,o fertilizante
con abono,with fertilizer,带肥料,dài féi liào,com fertilizante
