spanish,english,chinese,pinyin,portuguese
escondo,I hide,我隐藏,wǒ yǐn cáng,Eu me escondo
escondes,you hide,你隐藏,nǐ yǐn cáng,você se esconde
esconde,hides,隐藏,yǐn cáng,esconder
escondemos,we hide,我们隐藏,wǒ men yǐn cáng,nos escondemos
escondéis,you hide,你隐藏,nǐ yǐn cáng,você se esconde
esconden,they hide,隐藏,yǐn cáng,esconder
esconder,hide,隐藏,yǐn cáng,esconder
esconderse,hide,隐藏,yǐn cáng,esconder
escondite,hiding place,藏身之处,cáng shēn zhī chù,esconderijo
ocultar,hide,隐藏,yǐn cáng,esconder
yo escondo,I hide,我隐藏,wǒ yǐn cáng,Eu me escondo
lo escondo,I hide it,我隐藏它,wǒ yǐn cáng tā,Eu escondo
tú escondes,you hide,你隐藏,nǐ yǐn cáng,você se esconde
lo escondes,you hide it,你隐藏它,nǐ yǐn cáng tā,você esconde
él esconde,he hides,他隐藏,tā yǐn cáng,ele se esconde
lo esconde,hides it,隐藏它,yǐn cáng tā,esconde
nosotros escondemos,we hide,我们隐藏,wǒ men yǐn cáng,nos escondemos
lo escondemos,we hide it,我们隐藏它,wǒ men yǐn cáng tā,nós escondemos
vosotros escondéis,you hide,你隐藏,nǐ yǐn cáng,você se esconde
lo escondéis,you hide it,你隐藏它,nǐ yǐn cáng tā,você esconde
ellos esconden,they hide,他们隐藏,tā men yǐn cáng,eles se escondem
lo esconden,they hide it,他们隐藏它,tā men yǐn cáng tā,eles escondem
quiero esconder,I want to hide,我想隐藏,wǒ xiǎng yǐn cáng,Eu quero me esconder
voy a esconder,I'm going to hide,我要隐藏,wǒ yào yǐn cáng,Vou me esconder
hay que esconderse,you have to hide,你必须隐藏,nǐ bì xū yǐn cáng,você tem que se esconder
para esconderse,to hide,隐藏,yǐn cáng,esconder
el escondite,the hiding place,藏身之处,cáng shēn zhī chù,o esconderijo
un escondite,a hiding place,一个藏身之处,yí gè cáng shēn zhī chù,um esconderijo
hay que ocultar,must be hidden,必须隐藏,bì xū yǐn cáng,deve estar oculto
voy a ocultar,I'm going to hide,我要躲起来,wǒ yào duǒ qǐ lái,eu vou me esconder
