spanish,english,chinese,pinyin,portuguese
empiezo,I start,我开始,wǒ kāi shǐ,eu começo
empiezas,you start,你开始,nǐ kāi shǐ,você começa
empieza,start,开始,kāi shǐ,começar
empezamos,we start,我们开始,wǒ men kāi shǐ,começamos
empezáis,you start,你们开始,nǐ men kāi shǐ,você começa
empiezan,start,开始,kāi shǐ,começar
empezar,start,开始,kāi shǐ,começar
comienzo,start,开始,kāi shǐ,começar
comenzar,start,开始,kāi shǐ,começar
inicio,beginning,开始,kāi shǐ,início
yo empiezo,I start,我开始,wǒ kāi shǐ,eu começo
empiezo ahora,I start now,我现在开始,wǒ xiàn zài kāi shǐ,Começo agora
tú empiezas,you start,你开始,nǐ kāi shǐ,você começa
cuándo empiezas,when do you start,你什么时候开始,nǐ shén me shí hòu kāi shǐ,quando você começa
él empieza,he starts,他开始,tā kāi shǐ,ele começa
empieza ya,start now,现在开始,xiàn zài kāi shǐ,comece agora
nosotros empezamos,we start,我们开始,wǒ men kāi shǐ,começamos
empezamos bien,we started well,我们开始得很好,wǒ men kāi shǐ dé hěn hǎo,começamos bem
vosotros empezáis,you start,你们开始,nǐ men kāi shǐ,vocês começam
cuándo empezáis,when do you start,你们什么时候开始,nǐ men shén me shí hòu kāi shǐ,quando vocês começam
ellos empiezan,they start,他们开始,tā men kāi shǐ,eles começam
empiezan pronto,they start soon,他们很快就开始了,tā men hěn kuài jiù kāi shǐ le,eles começam em breve
vamos a empezar,let's start,让我们开始,ràng wǒ men kāi shǐ,vamos começar
hay que empezar,we have to start,我们必须开始,wǒ men bì xū kāi shǐ,temos que começar
el comienzo,the beginning,开始,kāi shǐ,o começo
desde el comienzo,from the beginning,从一开始,cóng yī kāi shǐ,desde o início
vamos a comenzar,let's start,让我们开始,ràng wǒ men kāi shǐ,vamos começar
hay que comenzar,we have to start,我们必须开始,wǒ men bì xū kāi shǐ,temos que começar
el inicio,the beginning,开始,kāi shǐ,o começo
desde el inicio,from the beginning,从一开始,cóng yī kāi shǐ,desde o início
