spanish,english,chinese,pinyin,portuguese
reutilización,reuse,重用,zhòng yòng,reutilizar
compostaje,composting,堆肥,duī féi,compostagem
productos,products,产品,chǎn pǐn,produtos
alimentación,diet,饮食,yǐn shí,alimentação
reutilizar,reuse,重用,zhòng yòng,reutilizar
reciclar,recycle,回收,huí shōu,reciclar
compostar,compost,堆肥,duī féi,composto
permacultura,permaculture,永续农业,yǒng xù nóng yè,permacultura
ecológico,ecological,生态,shēng tài,ecológico
orgánico,organic,有机,yǒu jī,orgânico
biodegradable,biodegradable,可生物降解,kě shēng wù jiàng jiě,biodegradável
huella,footprint,足迹,zú jì,pegada
local,local,本地,běn dì,locais
consciente,conscious,有意识,yǒu yì shí,consciente
minimalismo,minimalism,极简主义,jí jiǎn zhǔ yì,minimalismo
estacional,seasonal,季节性,jì jié xìng,sazonal
cíclico,cyclic,循环,xún huán,cíclico
duradero,durable,耐用,nài yòng,durável
la reutilización,reuse,重用,zhòng yòng,reutilizar
con reutilización,with reuse,重复使用,chóng fù shǐ yòng,com reutilização
el compostaje,composting,堆肥,duī féi,compostagem
con compostaje,with composting,与堆肥,yǔ duī féi,com compostagem
los productos,the products,产品,chǎn pǐn,os produtos
estos productos,these products,这些产品,zhè xiē chǎn pǐn,esses produtos
la alimentación,food,饮食,yǐn shí,comida
mi alimentación,my diet,我的饮食,wǒ de yǐn shí,minha dieta
hay que reutilizar,you have to reuse,你必须重复使用,nǐ bì xū chóng fù shǐ yòng,você tem que reutilizar
voy a reutilizar,I'm going to reuse,我要重用,wǒ yào zhòng yòng,Vou reutilizar
hay que reciclar,we have to recycle,我们必须回收,wǒ men bì xū huí shōu,temos que reciclar
voy a reciclar,I'm going to recycle,我要回收,wǒ yào huí shōu,Vou reciclar
hay que compostar,you have to compost,你必须堆肥,nǐ bì xū duī féi,você tem que fazer compostagem
voy a compostar,I'm going to compost,我要去堆肥,wǒ yào qù duī féi,Vou compostar
la permacultura,permaculture,永续农业,yǒng xù nóng yè,permacultura
de permacultura,permaculture,永续农业,yǒng xù nóng yè,permacultura
es ecológico,it's ecological,这是生态的,zhè shì shēng tài de,é ecológico
muy ecológico,very ecological,非常生态,fēi cháng shēng tài,muito ecológico
es orgánico,It's organic,它是有机的,tā shì yǒu jī de,É orgânico
muy orgánico,very organic,非常有机,fēi cháng yǒu jī,muito orgânico
es biodegradable,is biodegradable,可生物降解,kě shēng wù jiàng jiě,é biodegradável
muy biodegradable,very biodegradable,非常可生物降解,fēi cháng kě shēng wù jiàng jiě,muito biodegradável
la huella,the footprint,足迹,zú jì,a pegada
mi huella,my footprint,我的足迹,wǒ de zú jì,minha pegada
es local,is local,是本地的,shì běn dì de,é local
producto local,local product,本地产品,běn dì chǎn pǐn,produto local
es consciente,is aware,知道,zhī dào,está ciente
muy consciente,very aware,非常清楚,fēi cháng qīng chǔ,muito consciente
el minimalismo,minimalism,极简主义,jí jiǎn zhǔ yì,minimalismo
con minimalismo,with minimalism,极简主义,jí jiǎn zhǔ yì,com minimalismo
es estacional,is seasonal,是季节性的,shì jì jié xìng de,é sazonal
producto estacional,seasonal product,季节性产品,jì jié xìng chǎn pǐn,produto sazonal
es cíclico,is cyclical,是周期性的,shì zhōu qī xìng de,é cíclico
muy cíclico,very cyclical,非常周期性,fēi cháng zhōu qī xìng,muito cíclico
es duradero,it is durable,它很耐用,tā hěn nài yòng,é durável
muy duradero,very durable,非常耐用,fēi cháng nài yòng,muito durável
