spanish,english,chinese,pinyin,portuguese
veo,I see,我看见,wǒ kàn jiàn,Entendo
ves,see,看见,kàn jiàn,veja
ve,he/she sees,看见,kàn jiàn,vê
vemos,we see,我们看到,wǒ men kàn dào,vemos
veis,you see,你看,nǐ kàn,você vê
ven,they see,看见,kàn jiàn,veem
vista,view,视野,shì yě,ver
mirar,look,看,kàn,olha
observar,observe,观察,guān chá,observar
visión,vision,视力,shì lì,visão
veo veo,I see I see,我看见我看见,wǒ kàn jiàn wǒ kàn jiàn,"Eu vejo, eu vejo"
no lo veo claro,I don't see it clearly,没看清楚,méi kàn qīng chǔ,Não vejo isso claramente
qué ves,what do you see,你看到了什么,nǐ kàn dào le shén me,o que você vê
no ves que,don't you see that,你没看到吗,nǐ méi kàn dào ma,você não vê isso
se ve bien,looks good,看起来不错,kàn qǐ lái bù cuò,parece bom
lo ve todo,sees everything,看到一切,kàn dào yī qiè,vê tudo
nos vemos,see you,再见,zài jiàn,vejo você
vemos la tele,we watch TV,我们看电视,wǒ men kàn diàn shì,assistimos TV
qué veis,what do you see,你看到了什么,nǐ kàn dào le shén me,o que você vê
lo veis todo,you see everything,你看到了一切,nǐ kàn dào le yī qiè,você vê tudo
ya lo ven,you see it,你看到了,nǐ kàn dào le,você vê
no ven nada,they don't see anything,他们什么也没看到,tā men shén me yě méi kàn dào,eles não veem nada
a primera vista,at first glance,乍一看,zhà yī kàn,à primeira vista
punto de vista,point of view,观点,guān diǎn,ponto de vista
mirar atrás,look back,回头看,huí tóu kàn,olhe para trás
mirar hacia adelante,look ahead,向前看,xiàng qián kàn,olhe para frente
observar el cielo,observe the sky,观察天空,guān chá tiān kōng,observe o céu
sin observar,unobserved,未被观察到,wèi bèi guān chá dào,não observado
visión de futuro,vision of the future,未来愿景,wèi lái yuàn jǐng,visão do futuro
campo de visión,field of vision,视野,shì yě,campo de visão
