spanish,english,chinese,pinyin,portuguese
camarero,waiter,服务员,fú wù yuán,garçom
camarera,waitress,女服务员,nǚ fú wù yuán,garçonete
menú,menu,菜单,cài dān,cardápio
carta,menu,菜单,cài dān,carta
plato,plate,盘子,pán zi,placa
vaso,glass,杯子,bēi zi,copo
copa,wine glass,杯子,bēi zi,xícara
cuchara,spoon,勺子,sháo zi,colher
cuchillo,knife,刀,dāo,faca
tenedor,fork,叉子,chā zi,garfo
servilleta,napkin,餐巾,cān jīn,guardanapo
comanda,order,订单,dìng dān,comando
propina,tip (gratuity),小费,xiǎo fèi,gorjeta
servir,serve,服务,fú wù,servir
reservar,reserve,预订,yù dìng,reservar
taza,cup,杯子,bēi zi,xícara
el camarero,the waiter,服务员,fú wù yuán,o garçom
un camarero,a waiter,服务员,fú wù yuán,um garçom
la camarera,the waitress,女服务员,nǚ fú wù yuán,a garçonete
una camarera,a waitress,女服务员,nǚ fú wù yuán,uma garçonete
el menú,the menu,菜单,cài dān,o cardápio
ver el menú,see the menu,看菜单,kàn cài dān,veja o cardápio
la carta,the menu,菜单,cài dān,a carta
ver la carta,see the menu,看菜单,kàn cài dān,veja a carta
el plato,the plate,盘子,pán zi,a placa
un plato,a plate,一盘,yī pán,um prato
el vaso,the glass,玻璃,bō lí,o vidro
un vaso,a glass,一杯,yī bēi,um copo
la copa,the wine glass,杯子,bēi zi,a xícara
una copa,a drink,喝一杯,hē yī bēi,uma bebida
la cuchara,the spoon,勺子,sháo zi,a colher
una cuchara,a spoon,勺子,sháo zi,uma colher
el cuchillo,the knife,刀,dāo,a faca
un cuchillo,a knife,一把刀,yī bǎ dāo,uma faca
el tenedor,the fork,叉子,chā zi,o garfo
un tenedor,a fork,叉子,chā zi,um garfo
la servilleta,the napkin,餐巾,cān jīn,o guardanapo
una servilleta,a napkin,餐巾纸,cān jīn zhǐ,um guardanapo
la comanda,the order,订单,dìng dān,o comando
tomar la comanda,take the order,记下订单,jì xià dìng dān,assumir o comando
la propina,the tip,小费,xiǎo fèi,a dica
dejar propina,tip,小费,xiǎo fèi,dica
voy a servir,I will serve,我将服务,wǒ jiāng fú wù,Eu servirei
puede servir,can serve,可以服务,kě yǐ fú wù,pode servir
voy a reservar,I'm going to reserve,我要预约,wǒ yào yù yuē,Vou reservar
quiero reservar,I want to reserve,我要预约,wǒ yào yù yuē,Quero reservar
la taza,the cup,杯子,bēi zi,a xícara
una taza,a cup,一个杯子,yí gè bēi zi,uma xícara
