spanish,english,chinese,pinyin,portuguese
vuelvo,I'll be back,我会回来的,wǒ huì huí lái de,Eu voltarei
vuelves,you come back,你回来,nǐ huí lái,você volta
vuelve,come back,回来,huí lái,volte
volvemos,we return,我们回来,wǒ men huí lái,voltamos
volvéis,you come back,你回来,nǐ huí lái,você volta
vuelven,they come back,他们回来了,tā men huí lái le,eles voltam
volver,return,返回,fǎn huí,retornar
regreso,return,返回,fǎn huí,retornar
regresar,return,返回,fǎn huí,retornar
retorno,return,返回,fǎn huí,retornar
yo vuelvo,I'm back,我回来了,wǒ huí lái le,Estou de volta
vuelvo pronto,I'll be back soon,我很快就会回来,wǒ hěn kuài jiù huì huí lái,Volto em breve
tú vuelves,you come back,你回来,nǐ huí lái,você volta
cuándo vuelves,when are you coming back,你什么时候回来,nǐ shén me shí hòu huí lái,quando você volta
él vuelve,he comes back,他回来了,tā huí lái le,ele volta
vuelve mañana,come back tomorrow,明天回来,míng tiān huí lái,volte amanhã
nosotros volvemos,we return,我们回来,wǒ men huí lái,voltamos
volvemos ahora,we're back now,我们回来了,wǒ men huí lái le,estamos de volta agora
vosotros volvéis,you come back,你回来,nǐ huí lái,você volta
cuándo volvéis,when are you coming back,你什么时候回来,nǐ shén me shí hòu huí lái,quando você volta
ellos vuelven,they come back,他们回来了,tā men huí lái le,eles voltam
ya vuelven,They're back,他们回来了,tā men huí lái le,Eles estão de volta
voy a volver,I'm going back,我要回去了,wǒ yào huí qù le,Eu vou voltar
quiero volver,I want to go back,我想回去,wǒ xiǎng huí qù,Eu quero voltar
el regreso,the return,返回,fǎn huí,o retorno
de regreso,back,返回,fǎn huí,voltar
voy a regresar,I'm going back,我要回去了,wǒ yào huí qù le,Eu vou voltar
hay que regresar,we have to go back,我们得回去,wǒ men dé huí qù,temos que voltar
el retorno,the return,返回,fǎn huí,o retorno
sin retorno,no return,没有回报,méi yǒu huí bào,sem retorno
