spanish,english,chinese,pinyin,portuguese
estar,to be,是,shì,estar
estoy,I'm,我是,wǒ shì,eu estou
estás,are,是,shì,são
está,is,是,shì,está
estamos,we are,我们是,wǒ men shì,nós somos
estáis,you are,你是,nǐ shì,você é
están,are,是,shì,são
ubicación,location,地点,dì diǎn,localização
condición,condition,状况,zhuàng kuàng,condição
ánimo,mood,心情,xīn qíng,ânimo
enfermo,sick,生病的,shēng bìng de,doente
ocupado,busy,忙碌的,máng lù de,ocupado
cansado,tired,疲劳的,pí láo de,cansado
abierto,open,打开,dǎ kāi,abrir
situado,located,位于的,wèi yú de,localizado
voy a estar,I will be,我会的,wǒ huì de,eu estarei
puede estar,may be,或许,huò xǔ,talvez
yo estoy,I'm,我是,wǒ shì,eu estou
estoy bien,I'm fine,我很好,wǒ hěn hǎo,estou bem
cómo estás,how are you,你好吗,nǐ hǎo ma,como vai
dónde estás,where are you,你在哪,nǐ zài nǎ,onde você está
aquí está,here it is,这里是,zhè lǐ shì,aqui está
cómo está,how are you,你好吗,nǐ hǎo ma,como vai
aquí estamos,here we are,我们在这里,wǒ men zài zhè lǐ,aqui estamos nós
estamos listos,we are ready,我们准备好了,wǒ men zhǔn bèi hǎo le,estamos prontos
cómo estáis,how are you,你好吗,nǐ hǎo ma,como vai
dónde estáis,where are you,你在哪,nǐ zài nǎ,onde você está
dónde están,where are they,他们在哪里,tā men zài nǎ lǐ,onde eles estão
cómo están,how are they,他们怎么样,tā men zěn me yàng,como eles estão
buena ubicación,good location,位置好,wèi zhì hǎo,boa localização
mi ubicación,my location,我的位置,wǒ de wèi zhì,minha localização
buena condición,good condition,状况良好,zhuàng kuàng liáng hǎo,bom estado
mala condición,bad condition,状况不好,zhuàng kuàng bù hǎo,mau estado
buen ánimo,good mood,好心情,hǎo xīn qíng,bom humor
estado de ánimo,mood,情绪,qíng xù,humor
estoy enfermo,I'm sick,我病了,wǒ bìng le,eu estou doente
muy enfermo,very sick,病得很重,bìng dé hěn zhòng,muito doente
estoy ocupado,I'm busy,我很忙,wǒ hěn máng,estou ocupado
muy ocupado,very busy,很忙,hěn máng,muito ocupado
estoy cansado,I'm tired,我累了,wǒ lèi le,estou cansado
muy cansado,very tired,很累,hěn lèi,muito cansado
está abierto,is open,已开放,yǐ kāi fàng,está aberto
todo abierto,all open,全部开放,quán bù kāi fàng,tudo aberto
bien situado,well located,位置优越,wèi zhì yōu yuè,bem localizado
está situado,is located,位于,wèi yú,está localizado
