spanish,english,chinese,pinyin,portuguese
hoy,today,今天,jīn tiān,hoje
ayer,yesterday,昨天,zuó tiān,ontem
mañana,tomorrow,明天,míng tiān,amanhã
ahora,now,现在,xiàn zài,agora
tarde,late,晚的,wǎn de,tarde
después,after,后,hòu,depois
antes,before,前,qián,antes
siempre,always,总是,zǒng shì,sempre
nunca,never,绝不,jué bù,nunca
a veces,sometimes,有时,yǒu shí,às vezes
todavía,still,仍然,réng rán,ainda
ya,already,已经,yǐ jīng,já
temprano,early,早期的,zǎo qī de,cedo
vez,time,时间,shí jiān,tempo
pronto,soon,很快,hěn kuài,breve
hoy mismo,today,今天,jīn tiān,hoje
para hoy,for today,今天,jīn tiān,por hoje
desde ayer,since yesterday,从昨天开始,cóng zuó tiān kāi shǐ,desde ontem
ayer mismo,just yesterday,就在昨天,jiù zài zuó tiān,ontem mesmo
pasado mañana,day after tomorrow,后天,hòu tiān,depois de amanhã
mañana mismo,tomorrow,明天,míng tiān,amanhã
ahora mismo,right now,现在,xiàn zài,agora mesmo
desde ahora,from now on,今后,jīn hòu,de agora em diante
más tarde,later,之后,zhī hòu,mais tarde
muy tarde,very late,很晚了,hěn wǎn le,muito tarde
después de,after,后,hòu,depois
justo después,right after,就在之后,jiù zài zhī hòu,logo depois
antes de,before,前,qián,antes
justo antes,just before,就在之前,jiù zài zhī qián,pouco antes
como siempre,as usual,照常,zhào cháng,como de costume
para siempre,forever,永远,yǒng yuǎn,para sempre
casi nunca,hardly ever,几乎没有,jī hū méi yǒu,quase nunca
nunca más,anymore,不再,bù zài,não mais
solo a veces,only sometimes,只是有时,zhǐ shì yǒu shí,só às vezes
pero a veces,but sometimes,但有时,dàn yǒu shí,mas às vezes
todavía no,not yet,还没有,hái méi yǒu,ainda não
todavía más,even more,更,gèng,ainda mais
ya está,that's it,就是这样,jiù shì zhè yàng,é isso
ya mismo,right now,现在,xiàn zài,agora mesmo
muy temprano,very early,很早,hěn zǎo,muito cedo
más temprano,earlier,早些时候,zǎo xiē shí hòu,mais cedo
otra vez,again,再次,zài cì,de novo
esta vez,this time,这次,zhè cì,desta vez
muy pronto,coming soon,即将推出,jí jiāng tuī chū,em breve
hasta pronto,see you soon,再见,zài jiàn,vejo você em breve
