spanish,english,chinese,pinyin,portuguese
he,I have,我有,wǒ yǒu,Eu tenho
has,have you,你有吗,nǐ yǒu ma,você tem
ha,has,有,yǒu,tem
hemos,we have,我们有,wǒ men yǒu,nós temos
habéis,have you,你有吗,nǐ yǒu ma,você tem
han,have,有,yǒu,tem
había,there was,有,yǒu,havia
habías,had,有,yǒu,tinha
habíamos,we had,我们有,wǒ men yǒu,tivemos
habíais,you had,你有,nǐ yǒu,você teve
habían,had,有,yǒu,tinha
habré,there will be,会有,huì yǒu,haverá
habrás,you will have,你将会有,nǐ jiāng huì yǒu,você terá
habrá,there will be,会有,huì yǒu,haverá
habremos,we will have,我们将会有,wǒ men jiāng huì yǒu,teremos
habréis,there will be,会有,huì yǒu,haverá
habrán,there will be,会有,huì yǒu,haverá
dicho,said,说,shuō,disse
yo he,I have,我有,wǒ yǒu,Eu tenho
he hecho,I have done,我已经做了,wǒ yǐ jīng zuò le,Eu fiz
tú has,you have,你有,nǐ yǒu,você tem
has hecho,have you done,你做完了吗,nǐ zuò wán le ma,você fez
él ha,he has,他有,tā yǒu,ele tem
ha hecho,has done,已经做了,yǐ jīng zuò le,fez
nosotros hemos,we have,我们有,wǒ men yǒu,nós temos
hemos hecho,we have done,我们已经做了,wǒ men yǐ jīng zuò le,nós fizemos
vosotros habéis,you have,你有,nǐ yǒu,você tem
habéis hecho,you have done,你已经完成了,nǐ yǐ jīng wán chéng le,você fez
ellos han,they have,他们有,tā men yǒu,eles têm
han hecho,have done,已经做了,yǐ jīng zuò le,fiz
yo había,I had,我有,wǒ yǒu,Eu tive
había hecho,had done,已经做了,yǐ jīng zuò le,tinha feito
tú habías,you had,你有,nǐ yǒu,você teve
habías hecho,you had done,你已经做了,nǐ yǐ jīng zuò le,você tinha feito
nosotros habíamos,we had,我们有,wǒ men yǒu,tivemos
habíamos hecho,we had done,我们已经做了,wǒ men yǐ jīng zuò le,tínhamos feito
vosotros habíais,you had,你有,nǐ yǒu,você teve
habíais hecho,you had done,你已经做了,nǐ yǐ jīng zuò le,você tinha feito
ellos habían,they had,他们有,tā men yǒu,eles tinham
habían hecho,had done,已经做了,yǐ jīng zuò le,tinha feito
yo habré,I will have,我会有,wǒ huì yǒu,Eu terei
habré hecho,I will have done,我会做,wǒ huì zuò,eu terei feito
tú habrás,you will have,你将会有,nǐ jiāng huì yǒu,você terá
habrás hecho,you will have done,你会做,nǐ huì zuò,você terá feito
él habrá,he will be,他将是,tā jiāng shì,ele será
habrá hecho,will have done,将会完成,jiāng huì wán chéng,terá feito
nosotros habremos,we will have,我们将会有,wǒ men jiāng huì yǒu,teremos
habremos hecho,we will have done,我们会做,wǒ men huì zuò,teremos feito
vosotros habréis,you will have,你将会有,nǐ jiāng huì yǒu,você terá
habréis hecho,you will have done,你会做,nǐ huì zuò,você terá feito
ellos habrán,they will have,他们将有,tā men jiāng yǒu,eles terão
habrán hecho,they will have done,他们会做,tā men huì zuò,eles terão feito
he dicho,I said,我说,wǒ shuō,Eu disse
había dicho,had said,说过,shuō guò,tinha dito
