spanish,english,chinese,pinyin,portuguese
hola,hello,你好,nǐ hǎo,olá
adiós,bye,再见,zài jiàn,tchau
buenos días,good morning,早上好,zǎo shàng hǎo,bom dia
buenas tardes,good afternoon,下午好,xià wǔ hǎo,boa tarde
buenas noches,good night,晚安,wǎn ān,boa noite
por favor,please,请,qǐng,por favor
gracias,thank you,谢谢,xiè xiè,obrigado
de nada,you are welcome,不客气,bú kè qì,de nada
perdón,sorry,对不起,duì bù qǐ,desculpe
disculpe,excuse me,打扰一下,dǎ rǎo yī xià,com licença
con permiso,excuse me,借过一下,jiè guò yī xià,com licença
hasta luego,see you later,稍后见,shāo hòu jiàn,até mais
hasta mañana,see you tomorrow,明天见,míng tiān jiàn,vejo você amanhã
bienvenido,welcome,欢迎,huān yíng,bem-vindo
bienvenida,welcome,欢迎,huān yíng,bem-vinda
hola amigo,hi friend,朋友你好,péng yǒu nǐ hǎo,oi amigo
hola a todos,hello everyone,大家好,dà jiā hǎo,olá pessoal
adiós amigos,goodbye friends,再见朋友,zài jiàn péng yǒu,adeus amigos
adiós mi amor,goodbye my love,再见我的爱人,zài jiàn wǒ de ài rén,adeus meu amor
muy buenos días,very good morning,早上好,zǎo shàng hǎo,muito bom dia
buenos días señor,good morning sir,早上好，先生,zǎo shàng hǎo， xiān shēng,bom dia senhor
muy buenas tardes,very good afternoon,下午好,xià wǔ hǎo,muito boa tarde
buenas tardes a todos,good afternoon everyone,大家下午好,dà jiā xià wǔ hǎo,boa tarde a todos
muy buenas noches,very good night,晚安,wǎn ān,muito boa noite
buenas noches queridos,"good night, my dears",晚安亲爱的,wǎn ān qīn ài de,boa noite queridos
por favor espera,please wait,请稍等,qǐng shāo děng,"por favor, aguarde"
ayúdame por favor,help me please,请帮助我,qǐng bāng zhù wǒ,me ajude por favor
muchas gracias,thank you so much,太感谢了,tài gǎn xiè le,muito obrigado
gracias por todo,thanks for everything,谢谢你所做的一切,xiè xiè nǐ suǒ zuò de yī qiè,obrigado por tudo
de nada amigo,you're welcome friend,不客气，朋友,bú kè qì， péng yǒu,de nada amigo
no hay de nada,you're welcome,不客气,bú kè qì,de nada
te pido perdón,I ask your forgiveness,我请求你的原谅,wǒ qǐng qiú nǐ de yuán liàng,peço seu perdão
perdón por la demora,sorry for the delay,抱歉耽搁了,bào qiàn dān gē le,desculpe pelo atraso
disculpe señor,excuse me sir,对不起，先生,duì bù qǐ， xiān shēng,desculpe-me senhor
disculpe la molestia,sorry for the inconvenience,带来不便敬请谅解,dài lái bù biàn jìng qǐng liàng jiě,Desculpe pela inconveniência
con permiso doctor,excuse me doctor,借过一下医生,jiè guò yī xià yī shēng,com licença doutor
con permiso señora,excuse me madam,借过一下女士,jiè guò yī xià nǚ shì,com licença senhora
hasta luego amigo,see you later friend,再见朋友,zài jiàn péng yǒu,até mais tarde amigo
nos vemos hasta luego,see you later,稍后见,shāo hòu jiàn,até mais
hasta mañana entonces,see you tomorrow then,那明天见吧,nà míng tiān jiàn ba,até amanhã então
nos vemos hasta mañana,see you tomorrow,明天见,míng tiān jiàn,vejo você até amanhã
bienvenido a casa,welcome home,欢迎回家,huān yíng huí jiā,bem-vindo ao lar
muy bienvenido aquí,very welcome here,非常欢迎来到这里,fēi cháng huān yíng lái dào zhè lǐ,muito bem-vindo aqui
bienvenida a la fiesta,welcome to the party,欢迎参加聚会,huān yíng cān jiā jù huì,bem-vinda à festa
muy bienvenida aquí,very welcome here,非常欢迎来到这里,fēi cháng huān yíng lái dào zhè lǐ,muito bem-vinda aqui
