spanish,english,chinese,pinyin,portuguese
envío,shipping,运输,yùn shū,envio
envías,you send,你发送,nǐ fā sòng,você envia
envía,send,发送,fā sòng,enviar
enviamos,we send,我们发送,wǒ men fā sòng,enviamos
enviáis,you send,你发送,nǐ fā sòng,você envia
envían,send,发送,fā sòng,enviar
enviar,send,发送,fā sòng,enviar
mandar,send,发送,fā sòng,enviar
remitir,send,发送,fā sòng,enviar
yo envío,I send,我发送,wǒ fā sòng,Eu envio
te envío,I send you,我发给你,wǒ fā gěi nǐ,Eu te envio
tú envías,you send,你发送,nǐ fā sòng,você envia
me envías,you send me,你发给我,nǐ fā gěi wǒ,você me envia
él envía,he sends,他发送,tā fā sòng,ele manda
lo envía,sends it,发送,fā sòng,envia
nosotros enviamos,we send,我们发送,wǒ men fā sòng,enviamos
lo enviamos,we send it,我们发送它,wǒ men fā sòng tā,nós enviamos
vosotros enviáis,you send,你发送,nǐ fā sòng,você envia
lo enviáis,you send it,你发送它,nǐ fā sòng tā,você envia
ellos envían,they send,他们发送,tā men fā sòng,eles enviam
lo envían,they send it,他们发送,tā men fā sòng,eles mandam
quiero enviar,I want to send,我要发送,wǒ yào fā sòng,Quero enviar
voy a enviar,I will send,我会发送,wǒ huì fā sòng,Vou enviar
hay que mandar,you have to send,你必须发送,nǐ bì xū fà sòng,você tem que enviar
voy a mandar,I'm going to send,我要发送,wǒ yào fā sòng,Vou enviar
hay que remitir,must be sent,必须发送,bì xū fà sòng,deve ser enviado
voy a remitir,I will forward,我会转发,wǒ huì zhuǎn fā,vou encaminhar
