spanish,english,chinese,pinyin,portuguese
mido,I measure,我测量,wǒ cè liáng,Eu meço
mides,you measure,你测量,nǐ cè liáng,você mede
mide,measures,测量,cè liáng,medidas
medimos,we measure,我们测量,wǒ men cè liáng,medimos
medís,measures,测量,cè liáng,medidas
miden,measure,测量,cè liáng,medir
medir,measure,测量,cè liáng,medir
medida,measure,测量,cè liáng,medir
medición,measurement,测量,cè liáng,medição
yo mido,I measure,我测量,wǒ cè liáng,Eu meço
lo mido,I measure it,我测量一下,wǒ cè liáng yī xià,Eu meço
tú mides,you measure,你测量,nǐ cè liáng,você mede
lo mides,you measure it,你测量一下,nǐ cè liáng yī xià,você mede
él mide,he measures,他测量,tā cè liáng,ele mede
lo mide,measures it,测量它,cè liáng tā,mede
nosotros medimos,we measure,我们测量,wǒ men cè liáng,medimos
lo medimos,we measure it,我们测量它,wǒ men cè liáng tā,nós medimos
vosotros medís,you measure,你测量,nǐ cè liáng,você mede
lo medís,you measure it,你测量一下,nǐ cè liáng yī xià,você mede
ellos miden,they measure,他们测量,tā men cè liáng,eles medem
lo miden,they measure it,他们测量它,tā men cè liáng tā,eles medem
quiero medir,I want to measure,我想测量,wǒ xiǎng cè liáng,Quero medir
voy a medir,I'm going to measure,我要测量,wǒ yào cè liáng,Vou medir
la medida,the measure,措施,cuò shī,a medida
una medida,a measure,一项措施,yī xiàng cuò shī,uma medida
la medición,measurement,测量,cè liáng,medição
una medición,a measurement,测量,cè liáng,uma medida
