spanish,english,chinese,pinyin,portuguese
empujo,I push,推,tuī,empurrar
empujas,you push,你推,nǐ tuī,você empurra
empuja,pushes,推,tuī,empurrar
empujamos,we push,我们推动,wǒ men tuī dòng,nós empurramos
empujáis,you push,你推,nǐ tuī,você empurra
empujan,they push,推,tuī,empurrar
empujar,push,推,tuī,empurrar
empujón,shove,推搡,tuī sǎng,empurrar
impulso,impulse,冲动,chōng dòng,impulso
presión,pressure,压力,yā lì,pressão
yo empujo,I push,我推,wǒ tuī,Eu empurro
lo empujo,I push him,我推他,wǒ tuī tā,Eu empurro ele
tú empujas,you push,你推,nǐ tuī,você empurra
lo empujas,you push it,你推它,nǐ tuī tā,você empurra
él empuja,he pushes,他推,tā tuī,ele empurra
lo empuja,pushes it,推动它,tuī dòng tā,empurra
nosotros empujamos,we push,我们推动,wǒ men tuī dòng,nós empurramos
lo empujamos,we push it,我们推动它,wǒ men tuī dòng tā,nós empurramos
vosotros empujáis,you push,你推,nǐ tuī,você empurra
lo empujáis,you push it,你推它,nǐ tuī tā,você empurra
ellos empujan,they push,他们推动,tā men tuī dòng,eles empurram
lo empujan,they push him,他们推他,tā men tuī tā,eles o empurram
quiero empujar,I want to push,我想推,wǒ xiǎng tuī,Eu quero empurrar
voy a empujar,I'm going to push,我要推,wǒ yào tuī,Vou empurrar
el empujón,the push,推动,tuī dòng,o empurrão
un empujón,a push,一推,yī tuī,um empurrão
el impulso,the impulse,冲动,chōng dòng,o impulso
un impulso,an impulse,冲动,chōng dòng,um impulso
la presión,the pressure,压力,yā lì,a pressão
con presión,with pressure,有压力,yǒu yā lì,com pressão
