spanish,english,chinese,pinyin,portuguese
acupuntura,acupuncture,针灸,zhēn jiǔ,acupuntura
homeopatía,homeopathy,顺势疗法,shùn shì liáo fǎ,homeopatia
naturopatía,naturopathy,自然疗法,zì rán liáo fǎ,naturopatia
reiki,reiki,灵气,líng qì,reiki
aromaterapia,aromatherapy,芳香疗法,fāng xiāng liáo fǎ,aromaterapia
hierbas,herbs,草药,cǎo yào,ervas
yoga,yoga,瑜伽,yú jiā,ioga
meditación,meditation,冥想,míng xiǎng,meditação
ayurveda,ayurveda,阿育吠陀,ā yù fèi tuó,ayurvédica
quiropráctica,chiropractic,脊椎按摩疗法,jǐ zhuī àn mó liáo fǎ,quiropraxia
masaje,massage,按摩,àn mó,massagem
equilibrar,to balance,平衡,píng héng,equilíbrio
chakras,chakras,脉轮,mài lún,chacras
reflexología,reflexology,反射疗法,fǎn shè liáo fǎ,reflexologia
holístico,holistic,整体,zhěng tǐ,holístico
bienestar,well-being,幸福,xìng fú,bem-estar
energético,energetic,充满活力,chōng mǎn huó lì,energético
espiritual,spiritual,精神,jīng shén,espiritual
natural,natural,天然,tiān rán,natural
la acupuntura,acupuncture,针灸,zhēn jiǔ,acupuntura
con acupuntura,with acupuncture,针灸,zhēn jiǔ,com acupuntura
la homeopatía,homeopathy,顺势疗法,shùn shì liáo fǎ,homeopatia
de homeopatía,of homeopathy,顺势疗法,shùn shì liáo fǎ,da homeopatia
la naturopatía,naturopathy,自然疗法,zì rán liáo fǎ,naturopatia
de naturopatía,of naturopathy,自然疗法,zì rán liáo fǎ,da naturopatia
el reiki,reiki,灵气,líng qì,reiki
con reiki,with reiki,与灵气,yǔ líng qì,com reiki
la aromaterapia,aromatherapy,芳香疗法,fāng xiāng liáo fǎ,aromaterapia
con aromaterapia,with aromatherapy,芳香疗法,fāng xiāng liáo fǎ,com aromaterapia
las hierbas,the herbs,草药,cǎo yào,as ervas
con hierbas,with herbs,与草药,yǔ cǎo yào,com ervas
el yoga,yoga,瑜伽,yú jiā,ioga
practicar yoga,practice yoga,练习瑜伽,liàn xí yú jiā,praticar ioga
la meditación,meditation,冥想,míng xiǎng,meditação
con meditación,with meditation,与冥想,yǔ míng xiǎng,com meditação
el ayurveda,Ayurveda,阿育吠陀,ā yù fèi tuó,Ayurveda
de ayurveda,of ayurveda,阿育吠陀,ā yù fèi tuó,da ayurveda
la quiropráctica,chiropractic,脊椎按摩疗法,jǐ zhuī àn mó liáo fǎ,quiropraxia
de quiropráctica,chiropractic,脊椎按摩疗法,jǐ zhuī àn mó liáo fǎ,quiropraxia
el masaje,the massage,按摩,àn mó,a massagem
un masaje,a massage,按摩,àn mó,uma massagem
hay que equilibrar,you have to balance,你必须平衡,nǐ bì xū píng héng,você tem que equilibrar
voy a equilibrar,I'm going to balance,我要平衡,wǒ yào píng héng,Vou equilibrar
los chakras,the chakras,脉轮,mài lún,os chacras
mis chakras,my chakras,我的脉轮,wǒ de mài lún,meus chakras
la reflexología,reflexology,反射疗法,fǎn shè liáo fǎ,reflexologia
de reflexología,reflexology,反射疗法,fǎn shè liáo fǎ,reflexologia
es holístico,It's holistic,这是整体的,zhè shì zhěng tǐ de,É holístico
enfoque holístico,holistic approach,整体方法,zhěng tǐ fāng fǎ,abordagem holística
el bienestar,well-being,幸福,xìng fú,bem-estar
para bienestar,for well-being,为了幸福,wèi le xìng fú,para o bem-estar
es energético,it's energetic,充满活力,chōng mǎn huó lì,é energético
muy energético,very energetic,非常有活力,fēi cháng yǒu huó lì,muito enérgico
es espiritual,is spiritual,是有灵性的,shì yǒu líng xìng de,é espiritual
muy espiritual,very spiritual,很有灵性,hěn yǒu líng xìng,muito espiritual
es natural,it's natural,这是自然的,zhè shì zì rán de,é natural
muy natural,very natural,非常自然,fēi cháng zì rán,muito natural
