spanish,english,chinese,pinyin,portuguese
correr,run,跑,pǎo,correr
saltar,jump,跳,tiào,pular
bailar,dance,跳舞,tiào wǔ,dançar
nadar,swim,游泳,yóu yǒng,nadar
volar,fly,飞,fēi,voar
sentar,sit,坐,zuò,sentar
acostar,lay down,躺下,tǎng xià,deitar-se
despertar,wake up,醒来,xǐng lái,despertar
respirar,breathe,呼吸,hū xī,respirar
arrastrar,drag,拖动,tuō dòng,arrastar
patear,kick,踢,tī,chute
golpear,hit,打,dǎ,acertar
agarrar,grab,抢,qiǎng,agarrar
rodar,roll,滚动,gǔn dòng,rolar
gatear,crawl,爬行,pá xíng,rastejar
salir a correr,go for a run,去跑步,qù pǎo bù,ir correr
correr riesgo,take risk,冒险,mào xiǎn,arriscar
saltar de alegría,jump for joy,高兴得跳起来,gāo xìng dé tiào qǐ lái,pule de alegria
saltar la cuerda,jump rope,跳绳,tiào shéng,pular corda
bailar bien,dance well,舞跳得好,wǔ tiào dé hǎo,dançar bem
sacar a bailar,take out to dance,出去跳舞,chū qù tiào wǔ,levar para dançar
saber nadar,know how to swim,会游泳,huì yóu yǒng,sabe nadar
nadar bien,swim well,游得好,yóu dé hǎo,nade bem
volar alto,fly high,飞得高,fēi dé gāo,voar alto
dejar volar,let fly,放飞,fàng fēi,deixe voar
sentar bien,suit well,坐好,zuò hǎo,sente-se bem
sentar mal,not suit,坐得不好,zuò dé bù hǎo,sente-se mal
acostar al bebé,put the baby to bed,把宝宝放到床上,bǎ bǎo bǎo fàng dào chuáng shàng,colocar o bebê na cama
hora de acostar,bedtime,就寝时间,jiù qǐn shí jiān,hora de dormir
despertar interés,spark interest,激发兴趣,jī fā xìng qù,despertar interesse
despertar temprano,wake up early,早起,zǎo qǐ,acorde cedo
respirar hondo,take a deep breath,深呼吸,shēn hū xī,respire fundo
respirar aire fresco,breathe fresh air,呼吸新鲜空气,hū xī xīn xiān kōng qì,respirar ar puro
arrastrar los pies,drag your feet,拖你的脚,tuō nǐ de jiǎo,arraste os pés
dejarse arrastrar,get dragged,被拖拽,bèi tuō zhuāi,ser arrastado
patear el balón,kick the ball,踢球,tī qiú,chutar a bola
patear la calle,walk the streets,逛街,guàng jiē,andar pelas ruas
golpear la puerta,hit the door,撞门,zhuàng mén,bateu na porta
golpear la mesa,hit the table,敲桌子,qiāo zhuō zi,bateu na mesa
agarrar la mano,grab the hand,抓住手,zhuā zhù shǒu,pegue a mão
agarrar fuerte,hold tight,抓紧,zhuā jǐn,segure firme
rodar por el suelo,roll on the ground,在地上打滚,zài dì shàng dǎ gǔn,rolar no chão
dejar rodar,let roll,让它滚,ràng tā gǔn,vamos rolar
aprender a gatear,learn to crawl,学习爬行,xué xí pá xíng,aprenda a engatinhar
empezar a gatear,start crawling,开始爬行,kāi shǐ pá xíng,comece a rastejar
