spanish,english,chinese,pinyin,portuguese
estúpido,stupid,愚蠢,yú chǔn,estúpido
cruel,cruel,残酷,cán kù,cruel
generoso,generous,慷慨,kāng kǎi,generoso
tacaño,stingy,小气,xiǎo qì,mesquinho
mentiroso,liar,骗子,piàn zi,mentiroso
perezoso,lazy,懒惰,lǎn duò,preguiçoso
responsable,responsible,负责,fù zé,responsável
irresponsable,irresponsible,不负责任,bù fù zé rèn,irresponsável
impaciente,impatient,不耐烦,bù nài fán,impaciente
valiente,brave,勇敢,yǒng gǎn,corajoso
cobarde,coward,胆小鬼,dǎn xiǎo guǐ,covarde
antipático,unfriendly,不友好,bù yǒu hǎo,hostil
optimista,optimistic,乐观,lè guān,otimista
pesimista,pessimistic,悲观,bēi guān,pessimista
humilde,humble,谦虚,qiān xū,humilde
orgulloso,proud,骄傲,jiāo ào,orgulhoso
modesto,modest,谦虚,qiān xū,modesto
vanidoso,vain,虚荣,xū róng,vão
sincero,sincere,真诚,zhēn chéng,sincero
leal,loyal,忠诚,zhōng chéng,leal
qué estúpido,how stupid,多么愚蠢,duō me yú chǔn,que estúpido
error estúpido,stupid mistake,愚蠢的错误,yú chǔn de cuò wù,erro estúpido
castigo cruel,cruel punishment,残酷的惩罚,cán kù de chéng fá,punição cruel
destino cruel,cruel fate,残酷的命运,cán kù de mìng yùn,destino cruel
gesto generoso,generous gesture,慷慨的姿态,kāng kǎi de zī tài,gesto generoso
regalo generoso,generous gift,慷慨的礼物,kāng kǎi de lǐ wù,presente generoso
demasiado tacaño,too stingy,太小气了,tài xiǎo qì le,muito mesquinho
tan tacaño,so stingy,这么小气,zhè me xiǎo qì,tão mesquinho
eres mentiroso,you are a liar,你是个骗子,nǐ shì gè piàn zi,você é um mentiroso
mentiroso compulsivo,compulsive liar,强迫性说谎者,qiǎng pò xìng shuō huǎng zhě,mentiroso compulsivo
domingo perezoso,lazy sunday,慵懒的周日,yōng lǎn de zhōu rì,domingo preguiçoso
gato perezoso,lazy cat,懒猫,lǎn māo,gato preguiçoso
persona responsable,responsible person,负责人,fù zé rén,pessoa responsável
ciudadano responsable,responsible citizen,负责任的公民,fù zé rèn de gōng mín,cidadão responsável
conductor irresponsable,irresponsible driver,不负责任的司机,bù fù zé rèn de sī jī,motorista irresponsável
comportamiento irresponsable,irresponsible behavior,不负责任的行为,bù fù zé rèn de xíng wéi,comportamento irresponsável
estoy impaciente,I'm impatient,我不耐烦了,wǒ bù nài fán le,Estou impaciente
me pone impaciente,makes me impatient,让我不耐烦,ràng wǒ bù nài fán,me deixa impaciente
soldado valiente,brave soldier,勇敢的士兵,yǒng gǎn dī shì bīng,bravo soldado
decisión valiente,brave decision,勇敢的决定,yǒng gǎn de jué dìng,decisão corajosa
no seas cobarde,don't be a coward,别做胆小鬼,bié zuò dǎn xiǎo guǐ,não seja covarde
acto cobarde,cowardly act,懦弱的行为,nuò ruò de xíng wéi,ato covarde
parece antipático,seems unfriendly,看起来不友好,kàn qǐ lái bù yǒu hǎo,parece hostil
me cae antipático,I dislike him,我不喜欢他,wǒ bù xǐ huān tā,Eu não gosto dele
soy optimista,I am optimistic,我很乐观,wǒ hěn lè guān,Estou otimista
visión optimista,optimistic view,乐观的看法,lè guān de kàn fǎ,visão otimista
no seas pesimista,don't be pessimistic,不要悲观,bú yào bēi guān,não seja pessimista
pronóstico pesimista,pessimistic forecast,悲观预测,bēi guān yù cè,previsão pessimista
origen humilde,humble origin,出身卑微,chū shēn bēi wēi,origem humilde
casa humilde,humble house,简陋的房子,jiǎn lòu de fáng zi,casa humilde
estoy orgulloso de ti,I'm proud of you,我为你感到骄傲,wǒ wèi nǐ gǎn dào jiāo ào,Estou orgulhoso de você
padre orgulloso,proud father,骄傲的父亲,jiāo ào de fù qīn,pai orgulhoso
sueldo modesto,modest salary,工资微薄,gōng zī wēi bó,salário modesto
precio modesto,modest price,价格适中,jià gé shì zhōng,preço modesto
demasiado vanidoso,too vain,太虚荣,tài xū róng,muito vaidoso
tan vanidoso,so vain,如此虚荣,rú cǐ xū róng,tão vaidoso
sé sincero,be honest,说实话,shuō shí huà,seja honesto
consejo sincero,sincere advice,真诚的建议,zhēn chéng de jiàn yì,conselho sincero
amigo leal,loyal friend,忠实的朋友,zhōng shí de péng yǒu,amigo leal
cliente leal,loyal customer,忠实顾客,zhōng shí gù kè,cliente fiel
