spanish,english,chinese,pinyin,portuguese
conozco,I know (am familiar with),我认识,wǒ rèn shí,Eu sei
conoces,you know (are familiar with),你认识,nǐ rèn shí,você sabe
conoce,he/she knows (is familiar with),他认识,tā rèn shí,conhece
conocemos,we know (are familiar with),我们认识,wǒ men rèn shí,nós sabemos
conocéis,you (plural) know (are familiar with),你们认识,nǐ men rèn shí,vocês conhecem
conocen,they know (are familiar with),他们认识,tā men rèn shí,eles conhecem
conocer,to know/meet,认识,rèn shí,conhecer
conocido,known,已知,yǐ zhī,conhecido
desconocido,unknown,未知,wèi zhī,desconhecido
yo conozco,I know,我认识,wǒ rèn shí,Eu sei
te conozco,I know you,我认识你,wǒ rèn shí nǐ,Eu conheço você
tú conoces,you know,你认识,nǐ rèn shí,você sabe
lo conoces,you know him,你认识他,nǐ rèn shí tā,você o conhece
él conoce,he knows,他认识,tā rèn shí,ele sabe
la conoce,he knows her,认识她,rèn shí tā,a conhece
nosotros conocemos,we know,我们认识,wǒ men rèn shí,nós sabemos
ya conocemos,we already know,我们已经认识,wǒ men yǐ jīng rèn shí,já sabemos
vosotros conocéis,you (plural) know,你们认识,nǐ men rèn shí,vocês conhecem
lo conocéis,you know him,你认识他,nǐ rèn shí tā,você o conhece
ellos conocen,they know,他们认识,tā men rèn shí,eles sabem
se conocen,they know each other,他们彼此认识,tā men bǐ cǐ rèn shí,eles se conhecem
quiero conocer,I want to meet/get to know,我想认识,wǒ xiǎng rèn shí,Quero conhecer
vamos a conocer,let's get to know,让我们来认识一下,ràng wǒ men lái rèn shí yī xià,vamos conhecer
un conocido,an acquaintance,一个熟人,yí gè shú rén,um conhecido
muy conocido,very well known,非常出名,fēi cháng chū míng,muito conhecido
un desconocido,a stranger,一个陌生人,yí gè mò shēng rén,um estranho
número desconocido,unknown number,未知号码,wèi zhī hào mǎ,número desconhecido
