spanish,english,chinese,pinyin,portuguese
comprar,buy,购买,gòu mǎi,comprar
vender,sell,卖,mài,vender
pagar,pay,支付,zhī fù,pagar
costar,cost,花费,huā fèi,custo
precio,price,价格,jià gé,preço
barato,cheap,便宜,pián yi,barato
caro,expensive,昂贵,áng guì,caro
oferta,offer,优惠,yōu huì,oferta
descuento,discount,折扣,zhé kòu,desconto
factura,invoice,发票,fā piào,fatura
tarjeta,card,卡,kǎ,cartão
efectivo,cash,现金,xiàn jīn,dinheiro
caja,checkout,收银台,shōu yín tái,caixa
cajero,cashier,收银员,shōu yín yuán,caixa
moneda,coin,货币,huò bì,moeda
billete,bill,纸币,zhǐ bì,nota
carrito,cart,购物车,gòu wù chē,carrinho
devolución,return,退货,tuì huò,retornar
garantía,guarantee,保修,bǎo xiū,garantia
voy a comprar,I'm going to buy,我要买,wǒ yào mǎi,Vou comprar
quiero comprar,I want to buy,我要买,wǒ yào mǎi,Quero comprar
hay que vender,you have to sell,你必须卖,nǐ bì xū mài,você tem que vender
quiero vender,I want to sell,我要卖,wǒ yào mài,Quero vender
hay que pagar,you have to pay,你必须支付,nǐ bì xū zhī fù,você tem que pagar
voy a pagar,I will pay,我会付钱,wǒ huì fù qián,Eu vou pagar
puede costar,can cost,可以花费,kě yǐ huā fèi,pode custar
cuánto va a costar,how much will it cost,需要多少钱,xū yào duō shǎo qián,quanto vai custar
el precio,the price,价格,jià gé,o preço
buen precio,good price,价格好,jià gé hǎo,bom preço
muy barato,very cheap,很便宜,hěn pián yi,muito barato
más barato,cheaper,更便宜,gèng pián yi,mais barato
muy caro,very expensive,很贵,hěn guì,muito caro
demasiado caro,too expensive,太贵了,tài guì le,muito caro
en oferta,on sale,特价,tè jià,à venda
buena oferta,good offer,好报价,hǎo bào jià,boa oferta
con descuento,with discount,有折扣,yǒu zhé kòu,com desconto
buen descuento,good discount,好折扣,hǎo zhé kòu,bom desconto
la factura,the invoice,发票,fā piào,a fatura
mi factura,my bill,我的账单,wǒ de zhàng dān,minha conta
la tarjeta,the card,卡,kǎ,o cartão
con tarjeta,with card,带卡,dài kǎ,com cartão
en efectivo,in cash,现金,xiàn jīn,em dinheiro
pagar en efectivo,pay in cash,现金支付,xiàn jīn zhī fù,pagar em dinheiro
la caja,the checkout,收银台,shōu yín tái,a caixa
en la caja,at the checkout,在收银台,zài shōu yín tái,na caixa
el cajero,the cashier,收银员,shōu yín yuán,o caixa
un cajero,a cashier,收银员,shōu yín yuán,um caixa
la moneda,the coin,硬币,yìng bì,a moeda
una moneda,a coin,一枚硬币,yī méi yìng bì,uma moeda
el billete,the bill,纸币,zhǐ bì,a nota
un billete,a bill,一张纸币,yī zhāng zhǐ bì,uma nota
el carrito,the cart,购物车,gòu wù chē,o carrinho
un carrito,a cart,一辆购物车,yī liàng gòu wù chē,um carrinho
la devolución,the return,退货,tuì huò,o retorno
hacer devolución,make return,退货,tuì huò,fazer retorno
la garantía,the guarantee,保证,bǎo zhèng,a garantia
con garantía,with guarantee,有保证,yǒu bǎo zhèng,com garantia
