spanish,english,chinese,pinyin,portuguese
concluyo,I conclude,我的结论是,wǒ de jié lùn shì,Concluo
concluyes,you conclude,你得出结论,nǐ dé chū jié lùn,você conclui
concluye,concludes,结论,jié lùn,conclui
concluimos,we conclude,我们得出结论,wǒ men dé chū jié lùn,concluímos
concluís,you conclude,你得出结论,nǐ dé chū jié lùn,você conclui
concluyen,conclude,总结,zǒng jié,concluir
concluir,conclude,总结,zǒng jié,concluir
clausura,closure,闭幕,bì mù,encerramento
desenlace,outcome,结果,jié guǒ,resultado
epílogo,epilogue,结语,jié yǔ,epílogo
yo concluyo,I conclude,我的结论是,wǒ de jié lùn shì,Concluo
lo concluyo,I conclude it,我总结一下,wǒ zǒng jié yī xià,Eu concluo
tú concluyes,you conclude,你得出结论,nǐ dé chū jié lùn,você conclui
lo concluyes,you conclude it,你得出结论,nǐ dé chū jié lùn,você conclui
él concluye,he concludes,他的结论是,tā de jié lùn shì,ele conclui
lo concluye,concludes it,结论是,jié lùn shì,conclui
nosotros concluimos,we conclude,我们得出结论,wǒ men dé chū jié lùn,concluímos
lo concluimos,we conclude it,我们得出结论,wǒ men dé chū jié lùn,concluímos
vosotros concluís,you conclude,你得出结论,nǐ dé chū jié lùn,você conclui
lo concluís,you conclude it,你得出结论,nǐ dé chū jié lùn,você conclui
ellos concluyen,they conclude,他们得出结论,tā men dé chū jié lùn,eles concluem
lo concluyen,they conclude it,他们得出结论,tā men dé chū jié lùn,eles concluem
quiero concluir,I want to conclude,我想得出结论,wǒ xiǎng dé chū jié lùn,Quero concluir
voy a concluir,I will conclude,我总结一下,wǒ zǒng jié yī xià,Vou concluir
la clausura,the closure,闭幕式,bì mù shì,o fechamento
una clausura,a closure,一个闭幕式,yí gè bì mù shì,um fechamento
el desenlace,the outcome,结果,jié guǒ,o resultado
un desenlace,an outcome,结果,jié guǒ,um resultado
el epílogo,the epilogue,尾声,wěi shēng,o epílogo
un epílogo,an epilogue,尾声,wěi shēng,um epílogo
