spanish,english,chinese,pinyin,portuguese
noto,I notice,我注意到,wǒ zhù yì dào,Eu noto
notas,you notice,你注意到,nǐ zhù yì dào,notas
nota,note,注意,zhù yì,nota
notamos,we notice,我们注意到,wǒ men zhù yì dào,notamos
notáis,you notice,你注意到,nǐ zhù yì dào,você percebe
notan,notice,注意,zhù yì,aviso
notar,notice,注意,zhù yì,aviso
percepción,perception,感知,gǎn zhī,percepção
percibir,perceive,感知,gǎn zhī,perceber
yo noto,I notice,我注意到,wǒ zhù yì dào,Eu noto
lo noto,I notice it,我注意到了,wǒ zhù yì dào le,Eu notei isso
tú notas,you note,你注意到,nǐ zhù yì dào,você nota
lo notas,you notice it,你注意到了,nǐ zhù yì dào le,você percebe
él nota,he notices,他注意到,tā zhù yì dào,ele percebe
lo nota,notice it,注意它,zhù yì tā,perceba
nosotros notamos,we notice,我们注意到,wǒ men zhù yì dào,notamos
lo notamos,we notice it,我们注意到它,wǒ men zhù yì dào tā,notamos isso
vosotros notáis,you notice,你注意到,nǐ zhù yì dào,você percebe
lo notáis,you notice it,你注意到了,nǐ zhù yì dào le,você percebe
ellos notan,they notice,他们注意到,tā men zhù yì dào,eles percebem
lo notan,they notice it,他们注意到了,tā men zhù yì dào le,eles percebem
puedo notar,I can notice,我可以注意到,wǒ kě yǐ zhù yì dào,Eu posso notar
voy a notar,I'm going to notice,我会注意到,wǒ huì zhù yì dào,Vou notar
la percepción,perception,感知,gǎn zhī,percepção
una percepción,a perception,一种看法,yī zhǒng kàn fǎ,uma percepção
hay que percibir,you have to perceive,你必须感知,nǐ bì xū gǎn zhī,você tem que perceber
voy a percibir,I will perceive,我会察觉,wǒ huì chá jué,eu perceberei
