spanish,english,chinese,pinyin,portuguese
tiro,I pull,我拉,wǒ lā,tiro
tiras,you pull,你拉,nǐ lā,tiras
tira,pulls,拉,lā,tira
tiramos,we pull,我们拉,wǒ men lā,puxamos
tiráis,you pull,你拉,nǐ lā,você puxa
tiran,they pull,他们拉,tā men lā,eles puxam
tirar,pull,拉,lā,puxar
tirón,pull,拉,lā,puxar
jalar,pull,拉,lā,puxar
tracción,traction,牵引力,qiān yǐn lì,tração
yo tiro,I pull,我拉,wǒ lā,Eu puxo
lo tiro,I pull it,我拉它,wǒ lā tā,Eu puxo
tú tiras,you pull,你拉,nǐ lā,você puxa
lo tiras,you pull it,你拉它,nǐ lā tā,você puxa
él tira,he pulls,他拉,tā lā,ele puxa
lo tira,pulls it,拉它,lā tā,puxa
nosotros tiramos,we pull,我们拉,wǒ men lā,puxamos
lo tiramos,we pull it,我们拉它,wǒ men lā tā,puxamos
vosotros tiráis,you pull,你拉,nǐ lā,você puxa
lo tiráis,you pull it,你拉它,nǐ lā tā,você puxa
ellos tiran,they pull,他们拉,tā men lā,eles puxam
lo tiran,they pull it,他们拉它,tā men lā tā,eles puxam
quiero tirar,I want to pull,我想拉,wǒ xiǎng lā,Eu quero puxar
voy a tirar,I'm going to pull,我要拉,wǒ yào lā,Vou puxar
el tirón,the pull,拉力,lā lì,a atração
un tirón,a pull,一拉,yī lā,um puxão
hay que jalar,you have to pull,你必须拉,nǐ bì xū lā,você tem que puxar
voy a jalar,I'm going to pull,我要拉,wǒ yào lā,Vou puxar
la tracción,traction,牵引力,qiān yǐn lì,tração
con tracción,with traction,有牵引力,yǒu qiān yǐn lì,com tração
