spanish,english,chinese,pinyin,portuguese
salud,health,健康,jiàn kāng,saúde
médico,doctor (masculine),医生,yī shēng,médico
médica,doctor (feminine),女医生,nǚ yī shēng,médica
enfermero,nurse (masculine),护士,hù shì,enfermeiro
enfermera,nurse (feminine),护士,hù shì,enfermeira
paciente,patient,病人,bìng rén,paciente
medicina,medicine,药物,yào wù,medicina
pastilla,pill,丸,wán,pílula
receta,prescription,处方,chǔ fāng,receita
dolor,pain,疼痛,téng tòng,dor
fiebre,fever,发烧,fā shāo,febre
tos,cough,咳嗽,ké sòu,tosse
resfriado,cold,感冒,gǎn mào,resfriado
gripe,flu,流感,liú gǎn,gripe
clínica,clinic,诊所,zhěn suǒ,clínica
consulta,consultation,就诊,jiù zhěn,consulta
enfermedad,illness,疾病,jí bìng,doença
urgencias,emergencies,紧急情况,jǐn jí qíng kuàng,emergências
sala,room,房间,fáng jiān,sala
camilla,stretcher,担架,dān jià,maca
buena salud,good health,身体健康,shēn tǐ jiàn kāng,boa saúde
tu salud,your health,你的健康,nǐ de jiàn kāng,sua saúde
el médico,the doctor (masculine),医生,yī shēng,o médico
al médico,to the doctor,去看医生,qù kàn yī shēng,ao médico
la médica,the doctor (feminine),医生,yī shēng,a médica
una médica,a doctor,医生,yī shēng,uma médica
el enfermero,the nurse (masculine),护士,hù shì,o enfermeiro
un enfermero,a nurse,护士,hù shì,um enfermeiro
la enfermera,the nurse (feminine),护士,hù shì,a enfermeira
una enfermera,a nurse,护士,hù shì,uma enfermeira
el paciente,the patient,病人,bìng rén,o paciente
un paciente,a patient,一个病人,yí gè bìng rén,um paciente
la medicina,medicine,药物,yào wù,medicina
tomar medicina,take medicine,吃药,chī yào,tomar remédio
una pastilla,a pill,一颗药丸,yī kē yào wán,uma pílula
tomar la pastilla,take the pill,吃药,chī yào,tome a pílula
la receta,the prescription,处方,chǔ fāng,a receita
con receta,with prescription,有处方,yǒu chǔ fāng,com prescrição médica
tengo dolor,I have pain,我好痛,wǒ hǎo tòng,Estou com dor
sin dolor,painless,无痛,wú tòng,indolor
tengo fiebre,I have a fever,我发烧了,wǒ fā shāo le,Estou com febre
con fiebre,with fever,发烧,fā shāo,com febre
tengo tos,I have a cough,我咳嗽,wǒ ké sòu,Estou com tosse
mucha tos,a lot of cough,咳嗽很多,ké sòu hěn duō,muita tosse
un resfriado,a cold,感冒,gǎn mào,um resfriado
tengo resfriado,I have a cold,我感冒了,wǒ gǎn mào le,Estou resfriado
la gripe,the flu,流感,liú gǎn,a gripe
tengo gripe,I have the flu,我得了流感,wǒ dé le liú gǎn,Estou gripado
la clínica,the clinic,诊所,zhěn suǒ,a clínica
en la clínica,at the clinic,在诊所,zài zhěn suǒ,na clínica
una consulta,an appointment,就诊,jiù zhěn,uma consulta
la consulta,the appointment,就诊,jiù zhěn,a consulta
una enfermedad,a disease,一种疾病,yī zhǒng jí bìng,uma doença
la enfermedad,the disease,这种疾病,zhè zhǒng jí bìng,a doença
a urgencias,to the emergency room,去急诊室,qù jí zhěn shì,para o pronto-socorro
en urgencias,in emergencies,在急诊室,zài jí zhěn shì,em emergências
la sala,the room,房间,fáng jiān,a sala
en la sala,in the room,在房间里,zài fáng jiān lǐ,na sala
una camilla,a stretcher,担架,dān jià,uma maca
en la camilla,on the stretcher,在担架上,zài dān jià shàng,na maca
