spanish,english,chinese,pinyin,portuguese
herramienta,tool,工具,gōng jù,ferramenta
martillo,hammer,锤子,chuí zi,martelo
clavo,nail,钉子,dīng zi,prego
tornillo,screw,螺丝,luó sī,parafuso
destornillador,screwdriver,螺丝刀,luó sī dāo,chave de fenda
llave,key,钥匙,yào shi,chave
tijeras,scissors,剪刀,jiǎn dāo,tesoura
sierra,saw,锯,jù,serra
taladro,drill,钻,zuān,perfurar
escalera,ladder,梯子,tī zi,escada
cinta,tape,胶带,jiāo dài,fita
pegamento,glue,胶水,jiāo shuǐ,cola
cuerda,rope,绳子,shéng zi,corda
alambre,wire,铁丝,tiě sī,fio
construir,build,构建,gòu jiàn,construir
reparar,repair,修复,xiū fù,reparar
arreglar,fix,修复,xiū fù,consertar
máquina,machine,机器,jī qì,máquina
motor,engine,发动机,fā dòng jī,motor
lijar,to sand,打磨,dǎ mó,lixar
la herramienta,the tool,该工具,gāi gōng jù,a ferramenta
una herramienta,a tool,一个工具,yí gè gōng jù,uma ferramenta
el martillo,the hammer,锤子,chuí zi,o martelo
un martillo,a hammer,一把锤子,yī bǎ chuí zi,um martelo
el clavo,the nail,钉子,dīng zi,o prego
un clavo,a nail,一颗钉子,yī kē dīng zi,um prego
el tornillo,the screw,螺丝,luó sī,o parafuso
un tornillo,a screw,一颗螺丝,yī kē luó sī,um parafuso
el destornillador,the screwdriver,螺丝刀,luó sī dāo,a chave de fenda
un destornillador,a screwdriver,螺丝刀,luó sī dāo,uma chave de fenda
la llave,the key,关键,guān jiàn,a chave
una llave,a key,一把钥匙,yī bǎ yào shi,uma chave
las tijeras,the scissors,剪刀,jiǎn dāo,a tesoura
unas tijeras,some scissors,一些剪刀,yī xiē jiǎn dāo,uma tesoura
la sierra,the saw,锯,jù,a serra
una sierra,a saw,一把锯,yī bǎ jù,uma serra
el taladro,the drill,钻头,zuàn tóu,a broca
un taladro,a drill,钻头,zuàn tóu,uma broca
la escalera,the ladder,梯子,tī zi,a escada
una escalera,a ladder,梯子,tī zi,uma escada
la cinta,the tape,胶带,jiāo dài,a fita
una cinta,a tape,一卷胶带,yī juǎn jiāo dài,uma fita
el pegamento,the glue,胶水,jiāo shuǐ,a cola
con pegamento,with glue,用胶水,yòng jiāo shuǐ,com cola
la cuerda,the rope,绳子,shéng zi,a corda
una cuerda,a rope,一根绳子,yī gēn shéng zi,uma corda
el alambre,the wire,电线,diàn xiàn,o fio
un alambre,a wire,一根电线,yī gēn diàn xiàn,um fio
hay que construir,must be built,必须建造,bì xū jiàn zào,deve ser construído
voy a construir,I'm going to build,我要建造,wǒ yào jiàn zào,Vou construir
hay que reparar,needs to be repaired,需要修复,xū yào xiū fù,precisa ser reparado
voy a reparar,I'm going to repair,我要修理,wǒ yào xiū lǐ,Vou consertar
hay que arreglar,needs to be fixed,需要修复,xū yào xiū fù,precisa ser consertado
voy a arreglar,I'll fix,我会修复,wǒ huì xiū fù,Eu vou consertar
la máquina,the machine,机器,jī qì,a máquina
una máquina,a machine,一台机器,yī tái jī qì,uma máquina
el motor,the engine,发动机,fā dòng jī,o motor
un motor,an engine,发动机,fā dòng jī,um motor
hay que lijar,you have to sand,你必须打磨,nǐ bì xū dǎ mó,você tem que lixar
voy a lijar,I'm going to sand,我要打磨,wǒ yào dǎ mó,vou lixar
