spanish,english,chinese,pinyin,portuguese
doy,I give,我给,wǒ gěi,eu dou
das,you give,你给,nǐ gěi,você dá
da,gives,给出,gěi chū,dá
damos,we give,我们给,wǒ men gěi,nós damos
dais,you give,你们给,nǐ men gěi,vocês dão
dan,they give,给,gěi,eles dão
dar,give,给,gěi,dar
regalo,gift,礼物,lǐ wù,presente
donación,donation,捐赠,juān zèng,doação
ofrenda,offering,供品,gòng pǐn,oferta
te doy las gracias,I thank you,我谢谢你,wǒ xiè xiè nǐ,Eu te agradeço
doy un paseo,I take a walk,我散步,wǒ sàn bù,Eu dou uma volta
me das miedo,you scare me,你吓到我了,nǐ xià dào wǒ le,você me assusta
no das una,you can't get anything right,不要给,bú yào gěi,você não acerta uma
me da igual,I don't care,我不在乎,wǒ bù zài hū,Eu não me importo
da la vuelta,turn around,转身,zhuǎn shēn,virar
damos un paseo,we take a walk,我们散步,wǒ men sàn bù,vamos dar um passeio
nos damos cuenta,we realize,我们意识到,wǒ men yì shí dào,percebemos
nos dais permiso,you give us permission,你给了我们许可,nǐ gěi le wǒ men xǔ kě,vocês nos dão permissão
dais lo mejor,you give your best,你竭尽全力,nǐ jié jìn quán lì,vocês dão o melhor
dan ganas,makes you want,让你想要,ràng nǐ xiǎng yào,dá vontade
dan las gracias,they give thanks,谢谢,xiè xiè,eles agradecem
dar a luz,give birth,生下,shēng xià,dar à luz
dar la bienvenida,to welcome,欢迎,huān yíng,dar as boas-vindas
regalo de cumpleaños,birthday gift,生日礼物,shēng rì lǐ wù,presente de aniversário
hacer un regalo,give a gift,做一份礼物,zuò yī fèn lǐ wù,dar um presente
donación de sangre,blood donation,献血,xiàn xiě,doação de sangue
hacer una donación,make a donation,捐款,juān kuǎn,fazer uma doação
ofrenda floral,floral offering,鲜花供品,xiān huā gòng pǐn,oferenda floral
dejar una ofrenda,leave an offering,留下奉献,liú xià fèng xiàn,deixe uma oferta
