spanish,english,chinese,pinyin,portuguese
pertenezco,I belong,我属于,wǒ shǔ yú,Eu pertenço
perteneces,you belong,你属于,nǐ shǔ yú,você pertence
pertenece,belongs,属于,shǔ yú,pertence
pertenecemos,we belong,我们属于,wǒ men shǔ yú,nós pertencemos
pertenecéis,you belong,你属于,nǐ shǔ yú,você pertence
pertenecen,belong,属于,shǔ yú,pertencer
pertenecer,belong,属于,shǔ yú,pertencer
pertenencia,belonging,归属感,guī shǔ gǎn,pertencimento
propiedad,property,财产,cái chǎn,propriedade
miembro,member,会员,huì yuán,membro
yo pertenezco,I belong,我属于,wǒ shǔ yú,Eu pertenço
le pertenezco,I belong to him,我属于他,wǒ shǔ yú tā,Eu pertenço a ele
tú perteneces,you belong,你属于,nǐ shǔ yú,você pertence
le perteneces,you belong to him,你属于他,nǐ shǔ yú tā,você pertence a ele
él pertenece,he belongs,他属于,tā shǔ yú,ele pertence
le pertenece,belongs to him,属于他,shǔ yú tā,pertence a ele
nosotros pertenecemos,we belong,我们属于,wǒ men shǔ yú,nós pertencemos
le pertenecemos,we belong to him,我们属于他,wǒ men shǔ yú tā,nós pertencemos a ele
vosotros pertenecéis,you belong,你属于,nǐ shǔ yú,você pertence
le pertenecéis,you belong to him,你属于他,nǐ shǔ yú tā,você pertence a ele
ellos pertenecen,they belong,他们属于,tā men shǔ yú,eles pertencem
le pertenecen,belong to him,属于他,shǔ yú tā,pertence a ele
quiero pertenecer,I want to belong,我想要属于,wǒ xiǎng yào shǔ yú,Eu quero pertencer
voy a pertenecer,I will belong,我会属于,wǒ huì shǔ yú,Eu pertencerei
la pertenencia,belonging,归属,guī shǔ,o pertencimento
con pertenencia,with belonging,拥有归属感,yōng yǒu guī shǔ gǎn,com pertencimento
la propiedad,the property,财产,cái chǎn,a propriedade
una propiedad,a property,财产,cái chǎn,uma propriedade
el miembro,the member,会员,huì yuán,o membro
un miembro,a member,会员,huì yuán,um membro
