spanish,english,chinese,pinyin,portuguese
sé,I know,我知道,wǒ zhī dào,Eu sei
sabes,you know,你知道,nǐ zhī dào,você sabe
sabe,he/she knows,知道,zhī dào,sabe
sabemos,we know,我们知道,wǒ men zhī dào,nós sabemos
sabéis,you (plural) know,你知道,nǐ zhī dào,vocês sabem
saben,they know,他们知道,tā men zhī dào,eles sabem
saber,to know,知道,zhī dào,saber
sabiduría,wisdom,智慧,zhì huì,sabedoria
conocimiento,knowledge,知识,zhī shí,conhecimento
ignorancia,ignorance,无知,wú zhī,ignorância
yo sé,I know,我知道,wǒ zhī dào,Eu sei
no sé,I don't know,我不知道,wǒ bù zhī dào,Não sei
tú sabes,you know,你知道,nǐ zhī dào,você sabe
ya sabes,you know,你知道,nǐ zhī dào,você sabe
él sabe,he knows,他知道,tā zhī dào,ele sabe
ella sabe,she knows,她知道,tā zhī dào,ela sabe
nosotros sabemos,we know,我们知道,wǒ men zhī dào,nós sabemos
lo sabemos,we know,我们知道,wǒ men zhī dào,nós sabemos
vosotros sabéis,you (plural) know,你知道,nǐ zhī dào,vocês sabem
ya sabéis,you already know,你已经知道了,nǐ yǐ jīng zhī dào le,você já sabe
ellos saben,they know,他们知道,tā men zhī dào,eles sabem
no saben,they don't know,他们不知道,tā men bù zhī dào,eles não sabem
quiero saber,I want to know,我想知道,wǒ xiǎng zhī dào,Eu quero saber
hay que saber,you have to know,你必须知道,nǐ bì xū zhī dào,você tem que saber
mucha sabiduría,much wisdom,多智慧,duō zhì huì,muita sabedoria
con sabiduría,with wisdom,用智慧,yòng zhì huì,com sabedoria
el conocimiento,knowledge,知识,zhī shí,conhecimento
sin conocimiento,without knowledge,没有知识,méi yǒu zhī shí,sem conhecimento
la ignorancia,ignorance,无知,wú zhī,ignorância
pura ignorancia,pure ignorance,纯粹的无知,chún cuì de wú zhī,pura ignorância
