spanish,english,chinese,pinyin,portuguese
llevo,I wear,我穿,wǒ chuān,Eu uso
llevas,you wear,你穿,nǐ chuān,você veste
lleva,carries,携带,xié dài,carrega
llevamos,we carry,我们携带,wǒ men xié dài,nós carregamos
lleváis,you carry,你携带,nǐ xié dài,você carrega
llevan,they carry,他们携带,tā men xié dài,eles carregam
llevar,carry,携带,xié dài,carregar
puesto,position,位置,wèi zhì,posição
portar,carry,携带,xié dài,carregar
sostener,hold,保持,bǎo chí,segure
yo llevo,I carry,我带着,wǒ dài zhe,Eu carrego
lo llevo,I take it,我接受,wǒ jiē shòu,Eu aceito
tú llevas,you carry,你携带,nǐ xié dài,você carrega
qué llevas,what are you wearing,你穿什么衣服,nǐ chuān shén me yī fú,o que você está vestindo
él lleva,he carries,他带着,tā dài zhe,ele carrega
lo lleva,takes it,接受它,jiē shòu tā,pega
nosotros llevamos,we carry,我们携带,wǒ men xié dài,nós carregamos
lo llevamos,we carry it,我们携带它,wǒ men xié dài tā,nós carregamos
vosotros lleváis,you carry,你携带,nǐ xié dài,você carrega
qué lleváis,what are you wearing,你穿什么衣服,nǐ chuān shén me yī fú,o que você está vestindo
ellos llevan,they carry,他们携带,tā men xié dài,eles carregam
lo llevan,they carry it,他们携带它,tā men xié dài tā,eles carregam
voy a llevar,I'm going to take,我要带,wǒ yào dài,Eu vou pegar
hay que llevar,you have to carry,你必须携带,nǐ bì xū xié dài,você tem que carregar
lo tengo puesto,I have it on,我有它,wǒ yǒu tā,Eu estou com ele
llevo puesto,I'm wearing,我穿着,wǒ chuān zhe,Estou usando
hay que portar,you have to carry,你必须携带,nǐ bì xū xié dài,você tem que carregar
voy a portar,I'm going to carry,我要带,wǒ yào dài,Vou carregar
hay que sostener,you have to hold,你必须握住,nǐ bì xū wò zhù,você tem que segurar
voy a sostener,I will hold,我会握住,wǒ huì wò zhù,eu vou segurar
