spanish,english,chinese,pinyin,portuguese
norte,n,n,n,n
sur,south,南,nán,sul
este,this,这个,zhè ge,isso
oeste,west,西,xī,oeste
arriba,up,上,shàng,para cima
abajo,down,下,xià,para baixo
derecha,right,对,duì,certo
izquierda,left,左,zuǒ,esquerda
recto,straight,直,zhí,direto
cerca,close,关闭,guān bì,fechar
lejos,away,离开,lí kāi,longe
lado,side,侧面,cè miàn,lado
enfrente,opposite,对面,duì miàn,oposto
detrás,behind,后面,hòu miàn,atrás
delante,front,前面,qián miàn,frente
el norte,the north,北方,běi fāng,o norte
hacia el norte,towards the north,向北,xiàng běi,em direção ao norte
el sur,the south,南方,nán fāng,o sul
hacia el sur,towards the south,向南,xiàng nán,em direção ao sul
el este,the east,东方,dōng fāng,o leste
hacia el este,towards the east,向东,xiàng dōng,em direção ao leste
el oeste,the west,西方,xī fāng,o oeste
hacia el oeste,towards the west,向西,xiàng xī,em direção ao oeste
ahí arriba,up there,上面,shàng miàn,lá em cima
más arriba,above,上面,shàng miàn,acima
ahí abajo,down there,在那儿,zài nà ér,lá embaixo
más abajo,below,下面,xià miàn,abaixo
a la derecha,to the right,向右,xiàng yòu,para a direita
por la derecha,on the right,在右边,zài yòu biān,à direita
a la izquierda,to the left,向左,xiàng zuǒ,para a esquerda
por la izquierda,on the left,在左边,zài zuǒ biān,à esquerda
todo recto,straight ahead,一直向前,yì zhí xiàng qián,sempre em frente
sigue recto,go straight,直走,zhí zǒu,siga em frente
muy cerca,very close,非常接近,fēi cháng jiē jìn,muito perto
aquí cerca,here nearby,这里附近,zhè lǐ fù jìn,aqui perto
muy lejos,very far,很远,hěn yuǎn,muito longe
bastante lejos,quite far,相当远,xiāng dāng yuǎn,bem longe
al lado,next to it,旁边,páng biān,ao lado
a un lado,aside,放在一边,fàng zài yī biān,à parte
ahí enfrente,there in front,前面有,qián miàn yǒu,ali na frente
justo enfrente,right in front,就在前面,jiù zài qián miàn,bem na frente
por detrás,from behind,从后面,cóng hòu miàn,por trás
ahí detrás,back there,回到那里,huí dào nà lǐ,lá atrás
por delante,ahead,前进,qián jìn,à frente
ahí delante,there in front,前面有,qián miàn yǒu,lá na frente
