spanish,english,chinese,pinyin,portuguese
automotriz,automotive,汽车,qì chē,automotivo
automóvil,automobile,汽车,qì chē,automóvel
carro,car,汽车,qì chē,carro
vehículo,vehicle,车辆,chē liàng,veículo
rueda,wheel,轮,lún,roda
neumático,tire,轮胎,lún tāi,pneu
freno,brake,刹车,shā chē,freio
acelerador,accelerator,油门,yóu mén,acelerador
volante,steering wheel,方向盘,fāng xiàng pán,volante
gasolina,gasoline,汽油,qì yóu,gasolina
diesel,diesel,柴油,chái yóu,gasóleo
taller,workshop,修理厂,xiū lǐ chǎng,oficina
mecánico,mechanic,机械师,jī xiè shī,mecânico
mecánica,mechanical,机械,jī xiè,mecânica
revisar,to inspect,检查,jiǎn chá,revisar
aparcar,to park,停车,tíng chē,estacionar
transmisión,transmission,变速器,biàn sù qì,transmissão
embrague,clutch,离合器,lí hé qì,embreagem
radiador,radiator,散热器,sàn rè qì,radiador
alternador,alternator,交流发电机,jiāo liú fā diàn jī,alternador
la automotriz,the automotive,汽车,qì chē,o automotivo
industria automotriz,automotive industry,汽车工业,qì chē gōng yè,indústria automotiva
el automóvil,the car,汽车,qì chē,o carro
un automóvil,a car,一辆车,yī liàng chē,um carro
el carro,the car,汽车,qì chē,o carro
un carro,a car,一辆车,yī liàng chē,um carro
el vehículo,the vehicle,车辆,chē liàng,o veículo
un vehículo,a vehicle,车辆,chē liàng,um veículo
la rueda,the wheel,轮子,lún zi,a roda
una rueda,a wheel,一个轮子,yí gè lún zi,uma roda
el neumático,the tire,轮胎,lún tāi,o pneu
un neumático,a tire,轮胎,lún tāi,um pneu
el freno,the brake,刹车,shā chē,o freio
un freno,a brake,刹车,shā chē,um freio
el acelerador,the accelerator,油门,yóu mén,o acelerador
un acelerador,an accelerator,油门,yóu mén,um acelerador
el volante,the steering wheel,方向盘,fāng xiàng pán,o volante
un volante,a steering wheel,方向盘,fāng xiàng pán,um volante
la gasolina,gasoline,汽油,qì yóu,gasolina
sin gasolina,without gasoline,没有汽油,méi yǒu qì yóu,sem gasolina
el diesel,the diesel,柴油,chái yóu,o diesel
con diesel,with diesel,用柴油,yòng chái yóu,com gasóleo
el taller,the repair shop,修理厂,xiū lǐ chǎng,a oficina
un taller,a repair shop,修理厂,xiū lǐ chǎng,uma oficina
el mecánico,the mechanic,机械师,jī xiè shī,o mecânico
un mecánico,a mechanic,机械师,jī xiè shī,um mecânico
la mecánica,the mechanics,机械学,jī xiè xué,a mecânica
una mecánica,a mechanic,机械师,jī xiè shī,um mecânico
hay que revisar,must be reviewed,必须检查,bì xū jiǎn chá,deve ser revisto
voy a revisar,I'll check,我会检查,wǒ huì jiǎn chá,Vou verificar
hay que aparcar,you have to park,你必须停车,nǐ bì xū tíng chē,você tem que estacionar
voy a aparcar,I'm going to park,我要去停车,wǒ yào qù tíng chē,Vou estacionar
la transmisión,the transmission,变速器,biàn sù qì,a transmissão
una transmisión,a transmission,变速器,biàn sù qì,uma transmissão
el embrague,the clutch,离合器,lí hé qì,a embreagem
un embrague,a clutch,离合器,lí hé qì,uma embreagem
el radiador,the radiator,散热器,sàn rè qì,o radiador
un radiador,a radiator,散热器,sàn rè qì,um radiador
el alternador,the alternator,交流发电机,jiāo liú fā diàn jī,o alternador
un alternador,an alternator,交流发电机,jiāo liú fā diàn jī,um alternador
