spanish,english,chinese,pinyin,portuguese
cierro,I close,我关闭,wǒ guān bì,Eu fecho
cierras,you close,你关闭,nǐ guān bì,você fecha
cierra,closes,关闭,guān bì,fecha
cerramos,we close,我们关闭,wǒ men guān bì,fechamos
cerráis,you close,你关闭,nǐ guān bì,você fecha
cierran,they close,他们关闭,tā men guān bì,eles fecham
cerrar,close,关闭,guān bì,fechar
cierre,closure,关闭,guān bì,encerramento
cerrado,closed,已关闭,yǐ guān bì,fechado
cerradura,lock,锁,suǒ,fechadura
yo cierro,I close,我关闭,wǒ guān bì,Eu fecho
lo cierro,I close it,我关闭它,wǒ guān bì tā,Eu fecho
tú cierras,you close,你关闭,nǐ guān bì,você fecha
lo cierras,you close it,你关闭它,nǐ guān bì tā,você fecha
él cierra,he closes,他关闭,tā guān bì,ele fecha
lo cierra,closes it,关闭它,guān bì tā,fecha
nosotros cerramos,we close,我们关闭,wǒ men guān bì,fechamos
lo cerramos,we close it,我们关闭它,wǒ men guān bì tā,fechamos
vosotros cerráis,you close,你关闭,nǐ guān bì,você fecha
lo cerráis,you close it,你关闭它,nǐ guān bì tā,você fecha
ellos cierran,they close,他们关闭,tā men guān bì,eles fecham
lo cierran,they close it,他们关闭它,tā men guān bì tā,eles fecham
quiero cerrar,I want to close,我想关闭,wǒ xiǎng guān bì,Quero fechar
voy a cerrar,I'm going to close,我要关闭,wǒ yào guān bì,Vou encerrar
el cierre,the closure,关闭,guān bì,o fechamento
hora de cierre,closing time,关闭时间,guān bì shí jiān,hora de fechamento
está cerrado,is closed,已关闭,yǐ guān bì,está fechado
ya está cerrado,is already closed,已经关闭,yǐ jīng guān bì,já está fechado
la cerradura,the lock,锁,suǒ,a fechadura
una cerradura,a lock,一把锁,yī bǎ suǒ,uma fechadura
