spanish,english,chinese,pinyin,portuguese
protejo,I protect,我保护,wǒ bǎo hù,Eu protejo
proteges,you protect,你保护,nǐ bǎo hù,você protege
protege,protects,保护,bǎo hù,protege
protegemos,we protect,我们保护,wǒ men bǎo hù,nós protegemos
protegéis,you protect,你保护,nǐ bǎo hù,você protege
protegen,protect,保护,bǎo hù,proteger
proteger,protect,保护,bǎo hù,proteger
protección,protection,保护,bǎo hù,proteção
resguardo,shelter,庇护所,bì hù suǒ,abrigo
salvaguardar,safeguard,保障,bǎo zhàng,salvaguardar
yo protejo,I protect,我保护,wǒ bǎo hù,Eu protejo
lo protejo,I protect it,我保护它,wǒ bǎo hù tā,Eu protejo isso
tú proteges,you protect,你保护,nǐ bǎo hù,você protege
lo proteges,you protect it,你保护它,nǐ bǎo hù tā,você o protege
él protege,he protects,他保护,tā bǎo hù,ele protege
lo protege,protects him,保护他,bǎo hù tā,protege ele
nosotros protegemos,we protect,我们保护,wǒ men bǎo hù,nós protegemos
lo protegemos,we protect it,我们保护它,wǒ men bǎo hù tā,nós protegemos
vosotros protegéis,you protect,你保护,nǐ bǎo hù,você protege
lo protegéis,you protect it,你保护它,nǐ bǎo hù tā,você o protege
ellos protegen,they protect,他们保护,tā men bǎo hù,eles protegem
lo protegen,they protect it,他们保护它,tā men bǎo hù tā,eles protegem
quiero proteger,I want to protect,我要保护,wǒ yào bǎo hù,Eu quero proteger
voy a proteger,I will protect,我会保护,wǒ huì bǎo hù,Eu protegerei
la protección,protection,保护,bǎo hù,proteção
con protección,with protection,有保护,yǒu bǎo hù,com proteção
el resguardo,the safeguard,保障,bǎo zhàng,a reserva
un resguardo,a safeguard,保障,bǎo zhàng,uma salvaguarda
hay que salvaguardar,must be safeguarded,必须受到保护,bì xū shòu dào bǎo hù,deve ser salvaguardado
voy a salvaguardar,I will safeguard,我会守护,wǒ huì shǒu hù,eu salvaguardarei
