spanish,english,chinese,pinyin,portuguese
logro,achievement,成就,chéng jiù,conquista
logras,you achieve,你实现,nǐ shí xiàn,você consegue
logra,achieves,达到,dá dào,alcança
logramos,we achieved,我们取得了,wǒ men qǔ dé le,conseguimos
lográis,you achieve,你实现,nǐ shí xiàn,você consegue
logran,they achieve,他们实现了,tā men shí xiàn le,eles alcançam
lograr,achieve,实现,shí xiàn,alcançar
éxito,success,成功,chéng gōng,sucesso
obtención,obtaining,获得,huò dé,obtenção
yo logro,I achieve,我实现了,wǒ shí xiàn le,Eu consigo
lo logro,I achieve it,我实现了,wǒ shí xiàn le,Eu consigo
tú logras,you achieve,你实现,nǐ shí xiàn,você consegue
lo logras,you make it,你做到了,nǐ zuò dào le,você consegue
él logra,he achieves,他实现了,tā shí xiàn le,ele consegue
lo logra,achieves it,实现它,shí xiàn tā,consegue
nosotros logramos,we achieve,我们实现,wǒ men shí xiàn,conseguimos
lo logramos,we made it,我们做到了,wǒ men zuò dào le,nós conseguimos
vosotros lográis,you achieve,你实现,nǐ shí xiàn,você consegue
lo lográis,you make it,你做到了,nǐ zuò dào le,você consegue
ellos logran,they achieve,他们实现了,tā men shí xiàn le,eles alcançam
lo logran,they make it,他们做到了,tā men zuò dào le,eles conseguem
quiero lograr,I want to achieve,我想实现,wǒ xiǎng shí xiàn,Eu quero alcançar
voy a lograr,I will achieve,我会实现,wǒ huì shí xiàn,Eu vou conseguir
el éxito,success,成功,chéng gōng,sucesso
con éxito,successfully,成功,chéng gōng,com sucesso
la obtención,obtaining,获得,huò dé,obtenção
para obtención,to obtain,获得,huò dé,para obter
