spanish,english,chinese,pinyin,portuguese
compruebo,I check,我检查,wǒ jiǎn chá,Eu verifico
compruebas,you check,你检查,nǐ jiǎn chá,você verifica
comprueba,check,检查,jiǎn chá,verificar
comprobamos,we check,我们检查,wǒ men jiǎn chá,nós verificamos
comprobáis,you check,你检查,nǐ jiǎn chá,você verifica
comprueban,they check,他们检查,tā men jiǎn chá,eles verificam
comprobar,check,检查,jiǎn chá,verificar
comprobación,check,检查,jiǎn chá,verificar
verificación,verification,验证,yàn zhèng,verificação
revisión,review,检查,jiǎn chá,revisão
yo compruebo,I check,我检查,wǒ jiǎn chá,Eu verifico
lo compruebo,I check it,我检查一下,wǒ jiǎn chá yī xià,Eu verifico
tú compruebas,you check,你检查,nǐ jiǎn chá,você verifica
lo compruebas,you check it,你检查一下,nǐ jiǎn chá yī xià,você confere
él comprueba,he checks,他检查,tā jiǎn chá,ele verifica
lo comprueba,checks it,检查一下,jiǎn chá yī xià,verifica
nosotros comprobamos,we check,我们检查,wǒ men jiǎn chá,nós verificamos
lo comprobamos,we check it,我们检查一下,wǒ men jiǎn chá yī xià,nós verificamos
vosotros comprobáis,you check,你检查,nǐ jiǎn chá,você verifica
lo comprobáis,you check it,你检查一下,nǐ jiǎn chá yī xià,você confere
ellos comprueban,they check,他们检查,tā men jiǎn chá,eles verificam
lo comprueban,they check it,他们检查了,tā men jiǎn chá le,eles verificam
quiero comprobar,I want to check,我想检查,wǒ xiǎng jiǎn chá,Quero verificar
voy a comprobar,I'll check,我会检查,wǒ huì jiǎn chá,Vou verificar
la comprobación,checking,检查,jiǎn chá,verificando
una comprobación,a check,一次核验,yī cì hé yàn,um cheque
la verificación,verification,验证,yàn zhèng,verificação
una verificación,a verification,验证,yàn zhèng,uma verificação
la revisión,the review,检查,jiǎn chá,a revisão
una revisión,a review,检查,jiǎn chá,uma revisão
