spanish,english,chinese,pinyin,portuguese
mantengo,I maintain,我维持,wǒ wéi chí,Eu mantenho
mantienes,you keep,你保留,nǐ bǎo liú,você continua
mantiene,keeps,保持,bǎo chí,mantém
mantenemos,we keep,我们保留,wǒ men bǎo liú,mantemos
mantenéis,you keep,你保留,nǐ bǎo liú,você continua
mantienen,maintain,维持,wéi chí,manter
mantener,keep,保留,bǎo liú,manter
mantenimiento,maintenance,维护,wéi hù,manutenção
conservación,conservation,保护,bǎo hù,conservação
preservación,preservation,保存,bǎo cún,preservação
yo mantengo,I maintain,我维持,wǒ wéi chí,Eu mantenho
lo mantengo,I keep it,我保留它,wǒ bǎo liú tā,Eu guardo
tú mantienes,you maintain,你维持,nǐ wéi chí,você mantém
lo mantienes,you keep it,你保留它,nǐ bǎo liú tā,você fica com ele
él mantiene,he keeps,他保持,tā bǎo chí,ele mantém
lo mantiene,keeps it,保留它,bǎo liú tā,mantém
nosotros mantenemos,we maintain,我们维持,wǒ men wéi chí,mantemos
lo mantenemos,we keep it,我们保留它,wǒ men bǎo liú tā,nós mantemos
vosotros mantenéis,you maintain,你维持,nǐ wéi chí,você mantém
lo mantenéis,you keep it,你保留它,nǐ bǎo liú tā,você fica com ele
ellos mantienen,they maintain,他们维持,tā men wéi chí,eles mantêm
lo mantienen,they keep it,他们保留它,tā men bǎo liú tā,eles ficam com isso
quiero mantener,I want to keep,我想保留,wǒ xiǎng bǎo liú,Eu quero manter
voy a mantener,I will keep,我会保留,wǒ huì bǎo liú,Eu vou continuar
el mantenimiento,maintenance,维护,wéi hù,manutenção
sin mantenimiento,maintenance free,免维护,miǎn wéi hù,livre de manutenção
la conservación,conservation,保护,bǎo hù,conservação
en conservación,in conservation,保护,bǎo hù,em conservação
la preservación,preservation,保存,bǎo cún,preservação
para preservación,for preservation,用于保存,yòng yú bǎo cún,para preservação
