spanish,english,chinese,pinyin,portuguese
defiendo,I defend,我捍卫,wǒ hàn wèi,Eu defendo
defiendes,you defend,你捍卫,nǐ hàn wèi,você defende
defiende,defend,捍卫,hàn wèi,defender
defendemos,we defend,我们捍卫,wǒ men hàn wèi,defendemos
defendéis,you defend,你捍卫,nǐ hàn wèi,você defende
defienden,defend,捍卫,hàn wèi,defender
defender,defend,捍卫,hàn wèi,defender
defensa,defense,防御,fáng yù,defesa
defensor,defender,后卫,hòu wèi,defensor
custodio,custodian,托管人,tuō guǎn rén,custodiante
yo defiendo,I defend,我捍卫,wǒ hàn wèi,Eu defendo
lo defiendo,I defend it,我捍卫它,wǒ hàn wèi tā,Eu defendo
tú defiendes,you defend,你捍卫,nǐ hàn wèi,você defende
lo defiendes,you defend it,你捍卫它,nǐ hàn wèi tā,você defende isso
él defiende,he defends,他捍卫,tā hàn wèi,ele defende
lo defiende,defends it,捍卫它,hàn wèi tā,defende
nosotros defendemos,we defend,我们捍卫,wǒ men hàn wèi,defendemos
lo defendemos,we defend it,我们捍卫它,wǒ men hàn wèi tā,nós defendemos
vosotros defendéis,you defend,你捍卫,nǐ hàn wèi,você defende
lo defendéis,you defend it,你捍卫它,nǐ hàn wèi tā,você defende isso
ellos defienden,they defend,他们捍卫,tā men hàn wèi,eles defendem
lo defienden,they defend it,他们捍卫它,tā men hàn wèi tā,eles defendem
quiero defender,I want to defend,我要捍卫,wǒ yào hàn wèi,Eu quero defender
voy a defender,I will defend,我会捍卫,wǒ huì hàn wèi,Eu defenderei
la defensa,the defense,防守,fáng shǒu,a defesa
en defensa,in defense,防守,fáng shǒu,na defesa
el defensor,the defender,防守者,fáng shǒu zhě,o defensor
un defensor,a defender,后卫,hòu wèi,um defensor
el custodio,the custodian,保管人,bǎo guǎn rén,o guardião
un custodio,a custodian,托管人,tuō guǎn rén,um guardião
