spanish,english,chinese,pinyin,portuguese
gustar,like,喜欢,xǐ huān,gostar
encantar,love,爱,ài,adorar
interesar,interest,兴趣,xìng qù,interessar
molestar,annoy,惹恼,rě nǎo,irritar
importar,matter,事情,shì qíng,importar
aburrir,bore,使厌烦,shǐ yàn fán,entediar
fascinar,fascinate,吸引,xī yǐn,fascinar
preocupar,worry,担心,dān xīn,preocupar
sobrar,be left over,剩下的,shèng xià de,sobrar
caer bien,be likable,讨人喜欢,tǎo rén xǐ huān,cair bem
doler,hurt,痛,tòng,doer
bastar,be enough,足够了,zú gòu le,bastar
te va a gustar,you will like it,你会喜欢的,nǐ huì xǐ huān de,você vai gostar
puede gustar a todos,everyone can like it,每个人都可以喜欢它,měi gè rén dōu kě yǐ xǐ huān tā,todo mundo pode gostar
te va a encantar,you will love it,你会喜欢它的,nǐ huì xǐ huān tā de,você vai adorar
va a encantar a todos,everyone will love it,每个人都会喜欢它,měi gè rén dū huì xǐ huān tā,todo mundo vai adorar
te va a interesar,you will be interested,你会感兴趣的,nǐ huì gǎn xìng qù de,você vai se interessar
puede interesar mucho,can be very interesting,可能会很有趣,kě néng huì hěn yǒu qù,pode ser muito interessante
perdón por molestar,sorry for bothering,抱歉打扰,bào qiàn dǎ rǎo,desculpe por incomodar
no quiero molestar,I don't want to bother,我不想打扰,wǒ bù xiǎng dǎ rǎo,Não quero incomodar
debería importar más,should matter more,应该更重要,yīng gāi gèng zhòng yào,deveria importar mais
puede importar mucho,can matter a lot,可能很重要,kě néng hěn zhòng yào,pode importar muito
no quiero aburrir,I don't want to bore,我不想无聊,wǒ bù xiǎng wú liáo,eu não quero entediar
puede aburrir a veces,can be boring sometimes,有时可能很无聊,yǒu shí kě néng hěn wú liáo,pode ser chato às vezes
te va a fascinar,it will fascinate you,它会让你着迷,tā huì ràng nǐ zháo mí,isso vai te fascinar
puede fascinar a todos,can fascinate everyone,可以让所有人着迷,kě yǐ ràng suǒ yǒu rén zháo mí,pode fascinar a todos
no hay que preocupar,no need to worry,无需担心,wú xū dān xīn,não precisa se preocupar
sin querer preocupar,without wanting to worry,不想担心,bù xiǎng dān xīn,sem querer se preocupar
va a sobrar comida,there will be leftover food,会有剩余食物,huì yǒu shèng yú shí wù,haverá sobras de comida
puede sobrar tiempo,there may be time left over,可能有时间,kě néng yǒu shí jiān,pode sobrar tempo
te va a caer bien,you're going to like it,你会喜欢的,nǐ huì xǐ huān de,você vai gostar
suele caer bien a todos,everyone usually likes him,通常大家都喜欢他,tōng cháng dà jiā dōu xǐ huān tā,todo mundo geralmente gosta dele
puede doler mucho,it can hurt a lot,会很痛,huì hěn tòng,pode doer muito
va a doler un poco,it's going to hurt a little,会有点痛,huì yǒu diǎn tòng,vai doer um pouco
debería bastar así,that should suffice,那应该足够了,nà yīng gāi zú gòu le,isso deveria bastar
puede bastar con eso,that can be enough,这就足够了,zhè jiù zú gòu le,isso pode ser suficiente
