spanish,english,chinese,pinyin,portuguese
material,material,材质,cái zhì,materiais
madera,wood,木,mù,madeira
metal,metal,金属,jīn shǔ,metálica
hierro,iron,铁,tiě,ferro
acero,steel,钢,gāng,aço
aluminio,aluminum,铝,lǚ,alumínio
cobre,copper,铜,tóng,cobre
oro,gold,黄金,huáng jīn,ouro
plata,silver,银,yín,prata
cristal,crystal,水晶,shuǐ jīng,cristal
goma,rubber,橡胶,xiàng jiāo,borracha
tela,fabric,面料,miàn liào,tecido
algodón,cotton,棉,mián,algodão
lana,wool,羊毛,yáng máo,lã
seda,silk,丝绸,sī chóu,seda
cuero,leather,皮革,pí gé,couro
cemento,cement,水泥,shuǐ ní,cimento
piedra,stone,石头,shí tou,pedra
bronce,bronze,青铜,qīng tóng,bronze
latón,brass,黄铜,huáng tóng,latão
material escolar,school supplies,学校用品,xué xiào yòng pǐn,material escolar
material de construcción,construction material,建筑材料,jiàn zhù cái liào,material de construção
mesa de madera,wooden table,木桌,mù zhuō,mesa de madeira
olor a madera,wood smell,木头味,mù tou wèi,cheiro de madeira
detector de metal,metal detector,金属探测器,jīn shǔ tàn cè qì,detector de metais
música metal,metal music,金属音乐,jīn shǔ yīn yuè,música metálica
puño de hierro,iron fist,铁拳,tiě quán,punho de ferro
voluntad de hierro,iron will,钢铁意志,gāng tiě yì zhì,vontade de ferro
acero inoxidable,stainless steel,不锈钢,bù xiù gāng,aço inoxidável
nervios de acero,nerves of steel,钢铁般的意志,gāng tiě bān de yì zhì,nervos de aço
papel de aluminio,aluminum foil,铝箔,lǚ bó,folha de alumínio
lata de aluminio,aluminum can,铝罐,lǚ guàn,lata de alumínio
moneda de cobre,copper coin,铜币,tóng bì,moeda de cobre
cable de cobre,copper wire,铜线,tóng xiàn,fio de cobre
medalla de oro,gold medal,金牌,jīn pái,medalha de ouro
corazón de oro,heart of gold,金子般的心,jīn zi bān de xīn,coração de ouro
medalla de plata,silver medal,银牌,yín pái,medalha de prata
cubiertos de plata,silver cutlery,银餐具,yín cān jù,talheres de prata
bola de cristal,crystal ball,水晶球,shuǐ jīng qiú,bola de cristal
vidrio y cristal,glass and crystal,玻璃和水晶,bō lí hé shuǐ jīng,vidro e cristal
goma de borrar,eraser,橡皮,xiàng pí,borracha
banda de goma,rubber band,橡皮筋,xiàng pí jīn,elástico
tela de araña,spider web,蜘蛛网,zhī zhū wǎng,teia de aranha
cortar tela,cut fabric,裁剪布料,cái jiǎn bù liào,cortar tecido
nube de algodón,cotton cloud,棉花云,mián huā yún,nuvem de algodão
camiseta de algodón,cotton t-shirt,棉质T恤,mián zhì T xù,camiseta de algodão
suéter de lana,wool sweater,羊毛毛衣,yáng máo máo yī,suéter de lã
hilo de lana,wool thread,羊毛线,yáng máo xiàn,fio de lã
camino de seda,silk road,丝绸之路,sī chóu zhī lù,rota da seda
piel de seda,silk skin,丝滑肌肤,sī huá jī fū,pele de seda
zapatos de cuero,leather shoes,皮鞋,pí xié,sapatos de couro
cinturón de cuero,leather belt,皮带,pí dài,cinto de couro
piso de cemento,cement floor,水泥地面,shuǐ ní dì miàn,piso de cimento
mezcla de cemento,cement mix,水泥混合料,shuǐ ní hùn hé liào,mistura de cimento
corazón de piedra,heart of stone,铁石心肠,tiě shí xīn cháng,coração de pedra
edad de piedra,stone age,石器时代,shí qì shí dài,idade da pedra
medalla de bronce,bronze medal,铜牌,tóng pái,medalha de bronze
edad de bronce,bronze age,青铜时代,qīng tóng shí dài,idade do bronze
instrumento de latón,brass instrument,铜管乐器,tóng guǎn yuè qì,instrumento de sopro
candado de latón,brass padlock,黄铜挂锁,huáng tóng guà suǒ,cadeado de latão
