spanish,english,chinese,pinyin,portuguese
puedo,I can,我可以,wǒ kě yǐ,Eu posso
puedes,you can (informal),能,néng,você pode
puede,he/she can,能,néng,pode
podemos,we can,能,néng,podemos
podéis,you can (informal plural),你可以,nǐ kě yǐ,vocês podem
pueden,they can,他们可以,tā men kě yǐ,eles podem
poder,to be able to,能,néng,poder
posible,possible,可能的,kě néng de,possível
imposible,impossible,不可能的,bù kě néng de,impossível
capaz,able,有能力的,yǒu néng lì de,capaz
yo puedo,I can,我可以,wǒ kě yǐ,Eu posso
no puedo,I can't,我不能,wǒ bù néng,Não posso
tú puedes,you can (informal),能,néng,você pode
no puedes,you can't,你不能,nǐ bù néng,você não pode
puede que sí,maybe yes,也许是的,yě xǔ shì de,talvez sim
puede que,maybe,或许,huò xǔ,talvez
nosotros podemos,we can,我们可以,wǒ men kě yǐ,podemos
no podemos,we can't,我们不能,wǒ men bù néng,não podemos
vosotros podéis,you can (informal plural),你们可以,nǐ men kě yǐ,vocês podem
no podéis,you can't,你们不能,nǐ men bù néng,vocês não podem
ellos pueden,they can,他们可以,tā men kě yǐ,eles podem
no pueden,they can't,他们不能,tā men bù néng,eles não podem
el poder,the power,力量,lì liàng,o poder
sin poder,without power,无能为力,wú néng wéi lì,sem poder
es posible,it is possible,是否可以,shì fǒu kě yǐ,É possível
si es posible,if possible,如果可能的话,rú guǒ kě néng de huà,se possível
es imposible,it's impossible,这是不可能的,zhè shì bù kě néng de,é impossível
casi imposible,almost impossible,几乎不可能,jī hū bù kě néng,quase impossível
soy capaz,I am capable,我有能力,wǒ yǒu néng lì,eu sou capaz
es capaz,is capable,有能力,yǒu néng lì,é capaz
