spanish,english,chinese,pinyin,portuguese
haz,do,做,zuò,faça
di,say,说,shuō,diga
pon,put,把,bǎ,colocar
ten,have,有,yǒu,tem
toma,take,采取,cǎi qǔ,pegar
mira,look,看看,kàn kàn,olha
escucha,listen,听,tīng,ouça
habla,speaks,说话,shuō huà,fala
come,eat,吃,chī,comer
bebe,baby,宝贝,bǎo bèi,bebê
siéntate,sit down,坐下,zuò xià,sente-se
levántate,get up,起来,qǐ lái,levante-se
cállate,shut up,闭嘴,bì zuǐ,cale a boca
párte,part,部分,bù fèn,parte
dame,give me,给我,gěi wǒ,me dê
dime,tell me,告诉我,gào sù wǒ,me diga
ponte,put on,穿上,chuān shàng,colocar
hazlo,do it,做吧,zuò ba,faça isso
vete,go away,走开,zǒu kāi,vá embora
quédate,stay,留下,liú xià,fique
haz eso,do that,这样做,zhè yàng zuò,faça isso
haz algo,do something,做某事,zuò mǒu shì,faça alguma coisa
di algo,say something,说点什么,shuō diǎn shén me,diga alguma coisa
di la verdad,tell the truth,说实话,shuō shí huà,diga a verdade
pon aquí,put here,放在这里,fàng zài zhè lǐ,coloque aqui
pon eso,put that,把那个,bǎ nà ge,coloque isso
ten cuidado,be careful,小心点,xiǎo xīn diǎn,tenha cuidado
ten paciencia,be patient,要有耐心,yào yǒu nài xīn,seja paciente
toma esto,take this,拿这个,ná zhè ge,pegue isso
toma agua,drink water,喝水,hē shuǐ,beba água
mira esto,look at this,看看这个,kàn kàn zhè ge,olha isso
mira aquí,look here,看这里,kàn zhè lǐ,olha aqui
escucha bien,listen well,好好听,hǎo hǎo tīng,ouça bem
escucha esto,listen to this,听听这个,tīng tīng zhè ge,ouça isso
habla claro,speak clearly,说清楚,shuō qīng chǔ,fale claramente
habla despacio,speak slowly,慢慢说,màn màn shuō,fale devagar
come bien,eat well,吃得好,chī dé hǎo,coma bem
come esto,eat this,吃这个,chī zhè ge,coma isso
bebe agua,drink water,喝水,hē shuǐ,beba água
bebe esto,drink this,喝这个,hē zhè ge,beba isso
siéntate aquí,sit here,坐在这里,zuò zài zhè lǐ,sente aqui
siéntate bien,sit tight,坐稳,zuò wěn,fique quieto
levántate ya,get up now,现在起床,xiàn zài qǐ chuáng,levante agora
levántate ahora,get up now,现在起床,xiàn zài qǐ chuáng,levante agora
cállate ya,shut up now,现在闭嘴,xiàn zài bì zuǐ,cale a boca agora
cállate por favor,please shut up,请闭嘴,qǐng bì zuǐ,por favor cale a boca
párte ahí,go there,去那里,qù nà lǐ,vai lá
párte ya,leave now,现在离开,xiàn zài lí kāi,saia agora
dame eso,give me that,给我那个,gěi wǒ nà ge,me dê isso
dame uno,give me one,给我一个,gěi wǒ yí gè,me dê um
dime algo,tell me something,告诉我一些事,gào sù wǒ yī xiē shì,me diga uma coisa
dime la verdad,tell me the truth,告诉我真相,gào sù wǒ zhēn xiàng,me conte a verdade
ponte esto,put this on,把这个放在,bǎ zhè ge fàng zài,coloque isso
ponte de pie,stand up,上站起来,shàng zhàn qǐ lái,levante-se
hazlo ya,do it now,现在就做,xiàn zài jiù zuò,faça isso agora
hazlo bien,do it right,做对了,zuò duì le,faça certo
vete ya,go now,现在就去,xiàn zài jiù qù,vá agora
vete de aquí,get out of here,离开这里,lí kāi zhè lǐ,sai daqui
quédate aquí,stay here,留在这里,liú zài zhè lǐ,fique aqui
quédate conmigo,stay with me,留在我身边,liú zài wǒ shēn biān,fique comigo
