spanish,english,chinese,pinyin,portuguese
asegurar,ensure,确保,què bǎo,garantir
póliza,policy,保单,bǎo dān,apólice
siniestro,accident,事故,shì gù,sinistro
indemnización,compensation,补偿,bǔ cháng,compensação
beneficiario,beneficiary,受益人,shòu yì rén,beneficiário
aseguradora,insurer,保险公司,bǎo xiǎn gōng sī,seguradora
agente,agent,代理,dài lǐ,agente
cubrir,to cover,承保,chéng bǎo,cobrir
reclamar,claim,索赔,suǒ péi,reivindicação
riesgo,risk,风险,fēng xiǎn,risco
responsabilidad,responsibility,责任,zé rèn,responsabilidade
deducible,deductible,免赔额,miǎn péi é,franquia
renovar,renew,更新,gēng xīn,renovar
asegurado,insured,受保,shòu bǎo,segurado
beneficio,benefit,好处,hǎo chù,benefício
contingencia,contingency,意外事件,yì wài shì jiàn,contingência
siniestralidad,accident rate,事故率,shì gù lǜ,taxa de acidentes
franquicia,deductible,免赔额,miǎn péi é,franquia
exclusión,exclusion,排除,pái chú,exclusão
hay que asegurar,must be ensured,必须保证,bì xū bǎo zhèng,deve ser garantido
voy a asegurar,I will ensure,我会保证,wǒ huì bǎo zhèng,Eu garantirei
la póliza,the policy,保单,bǎo dān,a apólice
una póliza,a policy,保单,bǎo dān,uma apólice
el siniestro,the accident,事故,shì gù,o acidente
un siniestro,an accident,事故,shì gù,um sinistro
la indemnización,compensation,补偿,bǔ cháng,compensação
una indemnización,compensation,补偿,bǔ cháng,compensação
el beneficiario,the beneficiary,受益人,shòu yì rén,o beneficiário
un beneficiario,a beneficiary,受益人,shòu yì rén,um beneficiário
la aseguradora,the insurer,保险公司,bǎo xiǎn gōng sī,a seguradora
una aseguradora,an insurer,保险公司,bǎo xiǎn gōng sī,uma seguradora
el agente,the agent,代理,dài lǐ,o agente
un agente,an agent,代理,dài lǐ,um agente
hay que cubrir,must be covered,必须承保,bì xū chéng bǎo,deve ser coberto
voy a cubrir,I'll cover,我会承保,wǒ huì chéng bǎo,Eu vou cobrir
hay que reclamar,you have to claim,你必须索赔,nǐ bì xū suǒ péi,você tem que reivindicar
voy a reclamar,I'm going to claim,我要索赔,wǒ yào suǒ péi,Vou reivindicar
el riesgo,the risk,风险,fēng xiǎn,o risco
un riesgo,a risk,风险,fēng xiǎn,um risco
la responsabilidad,responsibility,责任,zé rèn,responsabilidade
sin responsabilidad,no responsibility,没有责任,méi yǒu zé rèn,sem responsabilidade
el deducible,the deductible,免赔额,miǎn péi é,a franquia
un deducible,a deductible,免赔额,miǎn péi é,uma franquia
hay que renovar,must be renewed,必须续订,bì xū xù dìng,deve ser renovado
voy a renovar,I'm going to renew,我要续订,wǒ yào xù dìng,Vou renovar
el asegurado,the insured,被保险人,bèi bǎo xiǎn rén,o segurado
un asegurado,an insured,被保险人,bèi bǎo xiǎn rén,um segurado
el beneficio,the benefit,好处,hǎo chù,o benefício
un beneficio,a benefit,一个好处,yí gè hǎo chù,um benefício
la contingencia,the contingency,意外事件,yì wài shì jiàn,a contingência
una contingencia,a contingency,意外事件,yì wài shì jiàn,uma contingência
la siniestralidad,the accident rate,事故率,shì gù lǜ,a taxa de acidentes
sin siniestralidad,without accidents,无意外,wú yì wài,sem acidentes
la franquicia,the deductible,免赔额,miǎn péi é,a franquia
una franquicia,a deductible,免赔额,miǎn péi é,uma franquia
la exclusión,exclusion,排除,pái chú,exclusão
una exclusión,an exclusion,排除,pái chú,uma exclusão
