spanish,english,chinese,pinyin,portuguese
confío,I trust,我相信,wǒ xiāng xìn,Eu confio
confías,do you trust,你相信吗,nǐ xiāng xìn ma,você confia
confía,trust,信任,xìn rèn,confiança
confiamos,we trust,我们相信,wǒ men xiāng xìn,nós confiamos
confiáis,do you trust,你相信吗,nǐ xiāng xìn ma,você confia
confían,trust,信任,xìn rèn,confiança
confiar,trust,信任,xìn rèn,confiança
confianza,trust,信任,xìn rèn,confiança
fiar,to trust on credit,赊账,shē zhàng,legítimo
entregar,deliver,交付,jiāo fù,entregar
yo confío,I trust,我相信,wǒ xiāng xìn,Eu confio
en ti confío,I trust in you,我相信你,wǒ xiāng xìn nǐ,Eu confio em você
tú confías,you trust,你信任,nǐ xìn rèn,você confia
en mí confías,you trust me,你相信我,nǐ xiāng xìn wǒ,você confia em mim
él confía,he trusts,他信任,tā xìn rèn,ele confia
en mí confía,trust me,相信我,xiāng xìn wǒ,confie em mim
nosotros confiamos,we trust,我们相信,wǒ men xiāng xìn,nós confiamos
en ti confiamos,we trust in you,我们相信你,wǒ men xiāng xìn nǐ,confiamos em você
vosotros confiáis,you trust,你信任,nǐ xìn rèn,você confia
en mí confiáis,you trust in me,你信任我,nǐ xìn rèn wǒ,você confia em mim
ellos confían,they trust,他们信任,tā men xìn rèn,eles confiam
en mí confían,they trust me,他们信任我,tā men xìn rèn wǒ,eles confiam em mim
quiero confiar,I want to trust,我想相信,wǒ xiǎng xiāng xìn,Quero confiar
voy a confiar,I will trust,我会相信,wǒ huì xiāng xìn,Vou confiar
la confianza,trust,信任,xìn rèn,confiança
con confianza,with confidence,充满信心,chōng mǎn xìn xīn,com confiança
hay que fiar,you have to trust,你必须相信,nǐ bì xū xiāng xìn,você tem que confiar
no hay que fiar,not to be trusted,不值得信任,bù zhí dé xìn rèn,não é confiável
hay que entregar,must be delivered,必须交付,bì xū jiāo fù,deve ser entregue
voy a entregar,I will deliver,我会送货,wǒ huì sòng huò,eu vou entregar
