spanish,english,chinese,pinyin,portuguese
evito,I avoid,我避免,wǒ bì miǎn,Eu evito
evitas,you avoid,你避免,nǐ bì miǎn,você evita
evita,he/she avoids,避免,bì miǎn,evitar
evitamos,we avoid,我们避免,wǒ men bì miǎn,evitamos
evitáis,you avoid,你避免,nǐ bì miǎn,você evita
evitan,they avoid,避免,bì miǎn,evitar
evitar,to avoid,避免,bì miǎn,evitar
prevenir,to prevent,防止,fáng zhǐ,prevenir
prevención,prevention,预防,yù fáng,prevenção
evasión,evasion,逃避,táo bì,evasão
yo evito,I avoid,我避免,wǒ bì miǎn,Eu evito
lo evito,I avoid it,我避免它,wǒ bì miǎn tā,Eu evito
tú evitas,you avoid,你避免,nǐ bì miǎn,você evita
lo evitas,you avoid it,你避免它,nǐ bì miǎn tā,você evita
él evita,he avoids,他避免,tā bì miǎn,ele evita
lo evita,he/she avoids it,避免它,bì miǎn tā,evita
nosotros evitamos,we avoid,我们避免,wǒ men bì miǎn,evitamos
lo evitamos,we avoid it,我们避免它,wǒ men bì miǎn tā,nós evitamos isso
vosotros evitáis,you avoid,你避免,nǐ bì miǎn,você evita
lo evitáis,you avoid it,你避免它,nǐ bì miǎn tā,você evita
ellos evitan,they avoid,他们避免,tā men bì miǎn,eles evitam
lo evitan,they avoid it,他们避免它,tā men bì miǎn tā,eles evitam
quiero evitar,I want to avoid,我想避免,wǒ xiǎng bì miǎn,Eu quero evitar
voy a evitar,I will avoid,我会避免,wǒ huì bì miǎn,Vou evitar
hay que prevenir,we must prevent,我们必须防止,wǒ men bì xū fáng zhǐ,devemos prevenir
voy a prevenir,I will prevent,我会阻止,wǒ huì zǔ zhǐ,Vou prevenir
la prevención,prevention,预防,yù fáng,prevenção
con prevención,with prevention,预防,yù fáng,com prevenção
la evasión,evasion,逃避,táo bì,evasão
una evasión,an escape,一种逃避,yī zhǒng táo bì,uma fuga
