spanish,english,chinese,pinyin,portuguese
crezco,I grow,我成长,wǒ chéng zhǎng,Eu cresço
creces,you grow,你成长,nǐ chéng zhǎng,você cresce
crece,grows,成长,chéng zhǎng,cresce
crecemos,we grow,我们成长,wǒ men chéng zhǎng,nós crescemos
crecéis,you grow,你成长,nǐ chéng zhǎng,você cresce
crecen,they grow,成长,chéng zhǎng,crescer
crecer,grow,成长,chéng zhǎng,crescer
crecimiento,growth,成长,chéng zhǎng,crescimento
maduración,maturation,成熟,chéng shú,maturação
brote,sprout,嫩芽,nèn yá,broto
yo crezco,I grow,我成长,wǒ chéng zhǎng,Eu cresço
todavía crezco,I'm still growing,我还在成长,wǒ hái zài chéng zhǎng,Ainda estou crescendo
tú creces,you grow,你成长,nǐ chéng zhǎng,você cresce
siempre creces,you always grow,你总是在成长,nǐ zǒng shì zài chéng zhǎng,você sempre cresce
él crece,he grows,他成长,tā chéng zhǎng,ele cresce
siempre crece,always grows,永远成长,yǒng yuǎn chéng zhǎng,sempre cresce
nosotros crecemos,we grow,我们成长,wǒ men chéng zhǎng,nós crescemos
siempre crecemos,we always grow,我们一直在成长,wǒ men yì zhí zài chéng zhǎng,crescemos sempre
vosotros crecéis,you grow,你成长,nǐ chéng zhǎng,você cresce
siempre crecéis,you always grow,你总是在成长,nǐ zǒng shì zài chéng zhǎng,você sempre cresce
ellos crecen,they grow,他们成长,tā men chéng zhǎng,eles crescem
siempre crecen,they always grow,他们总是成长,tā men zǒng shì chéng zhǎng,eles sempre crescem
quiero crecer,I want to grow,我要成长,wǒ yào chéng zhǎng,Eu quero crescer
voy a crecer,I'm going to grow,我要成长,wǒ yào chéng zhǎng,Vou crescer
el crecimiento,growth,成长,chéng zhǎng,crescimento
un crecimiento,a growth,成长,chéng zhǎng,um crescimento
la maduración,maturation,成熟,chéng shú,maturação
una maduración,a maturation,成熟,chéng shú,um amadurecimento
el brote,the sprout,萌芽,méng yá,o surto
un brote,a sprout,一个嫩芽,yí gè nèn yá,um broto
