spanish,english,chinese,pinyin,portuguese
continúo,I continue,我继续,wǒ jì xù,Eu continuo
continúas,you continue,你继续,nǐ jì xù,você continua
continúa,he/she continues,继续,jì xù,ele/ela continua
continuamos,we continue,我们继续,wǒ men jì xù,continuamos
continuáis,you continue,继续,jì xù,vocês continuam
continúan,they continue,继续,jì xù,eles continuam
continuar,to continue,继续,jì xù,continuar
continuación,continuation,继续,jì xù,continuação
proseguir,to continue,继续,jì xù,continuar
persistir,to persist,坚持,jiān chí,persistir
yo continúo,I continue,我继续,wǒ jì xù,Eu continuo
lo continúo,I continue it,我继续,wǒ jì xù,Eu continuo
tú continúas,you continue,你继续,nǐ jì xù,você continua
lo continúas,you continue it,你继续吧,nǐ jì xù ba,você continua
él continúa,he continues,他继续,tā jì xù,ele continua
lo continúa,he/she continues it,继续,jì xù,ele/ela continua
nosotros continuamos,we continue,我们继续,wǒ men jì xù,continuamos
lo continuamos,we continue it,我们继续吧,wǒ men jì xù ba,continuamos
vosotros continuáis,you continue,你继续,nǐ jì xù,vocês continuam
lo continuáis,you continue it,你继续吧,nǐ jì xù ba,vocês continuam
ellos continúan,they continue,他们继续,tā men jì xù,eles continuam
lo continúan,they continue it,他们继续,tā men jì xù,eles continuam
quiero continuar,I want to continue,我想继续,wǒ xiǎng jì xù,Quero continuar
voy a continuar,I will continue,我会继续,wǒ huì jì xù,Vou continuar
a continuación,next,下面,xià miàn,abaixo
la continuación,the continuation,延续,yán xù,a continuação
hay que proseguir,we must continue,我们必须继续,wǒ men bì xū jì xù,devemos continuar
voy a proseguir,I will continue,我会继续,wǒ huì jì xù,Vou continuar
hay que persistir,you have to persist,你一定要坚持,nǐ yí dìng yào jiān chí,você tem que persistir
voy a persistir,I will persist,我会坚持,wǒ huì jiān chí,eu vou persistir
