spanish,english,chinese,pinyin,portuguese
presente,present,现在,xiàn zài,presente
futuro,future,未来,wèi lái,futuro
siglo,century,世纪,shì jì,século
época,epoch,纪元,jì yuán,época
periodo,period,期间,qī jiān,período
guerra,war,战争,zhàn zhēng,guerra
rey,king,国王,guó wáng,rei
reina,queen,女王,nǚ wáng,rainha
emperador,emperor,皇帝,huáng dì,imperador
emperatriz,empress,皇后,huáng hòu,imperatriz
imperio,empire,帝国,dì guó,império
revolución,revolution,革命,gé mìng,revolução
independencia,independence,独立,dú lì,independência
batalla,battle,战斗,zhàn dòu,batalha
héroe,hero,英雄,yīng xióng,herói
heroína,heroin,海洛因,hǎi luò yīn,heroína
histórico,historical,历史,lì shǐ,histórico
colonia,colony,殖民地,zhí mín dì,colônia
conquista,conquest,征服,zhēng fú,conquista
tratado,treaty,条约,tiáo yuē,tratado
vivir el presente,live in the present,活在当下,huó zài dāng xià,viver no presente
tiempo presente,present tense,现在时,xiàn zài shí,presente
pensar en el futuro,think about the future,想想未来,xiǎng xiǎng wèi lái,pense no futuro
futuro incierto,uncertain future,不确定的未来,bù què dìng de wèi lái,futuro incerto
siglo veinte,twentieth century,二十世纪,èr shí shì jì,século XX
a lo largo del siglo,throughout the century,整个世纪,zhěng gè shì jì,ao longo do século
época medieval,medieval times,中世纪时期,zhōng shì jì shí qī,tempos medievais
cambio de época,change of era,时代变迁,shí dài biàn qiān,mudança de época
periodo de guerra,war period,战争时期,zhàn zhēng shí qī,período de guerra
largo periodo,long period,长期,cháng qī,longo período
declarar la guerra,declare war,宣战,xuān zhàn,declarar guerra
posguerra,postwar,战后,zhàn hòu,pós-guerra
el rey de España,the king of Spain,西班牙国王,xī bān yá guó wáng,o rei da Espanha
coronar al rey,crown the king,加冕为王,jiā miǎn wèi wáng,coroar o rei
la reina Isabel,Queen Elizabeth,伊丽莎白女王,yī lì shā bái nǚ wáng,Rainha Isabel
reina consorte,queen consort,皇后,huáng hòu,rainha consorte
emperador romano,roman emperor,罗马皇帝,luó mǎ huáng dì,imperador romano
coronar emperador,crown emperor,皇冠皇帝,huáng guān huáng dì,coroa imperador
la emperatriz Sissi,Empress Sissi,茜茜公主,xī xī gōng zhǔ,Imperatriz Sissi
vida de emperatriz,life of empress,皇后的生活,huáng hòu de shēng huó,vida da imperatriz
caída del imperio,fall of the empire,帝国的没落,dì guó de mò luò,queda do império
imperio romano,roman empire,罗马帝国,luó mǎ dì guó,império romano
revolución francesa,french revolution,法国大革命,fǎ guó dà gé mìng,revolução francesa
revolución industrial,industrial revolution,工业革命,gōng yè gé mìng,revolução industrial
día de la independencia,independence day,独立日,dú lì rì,dia da independência
guerra de independencia,war of independence,独立战争,dú lì zhàn zhēng,guerra de independência
campo de batalla,battlefield,战场,zhàn chǎng,campo de batalha
ganar la batalla,win the battle,赢得战斗,yíng dé zhàn dòu,vença a batalha
héroe nacional,national hero,民族英雄,mín zú yīng xióng,herói nacional
morir como héroe,die as a hero,作为英雄而死,zuò wéi yīng xióng ér sǐ,morrer como um herói
heroína de guerra,war heroine,战争女英雄,zhàn zhēng nǚ yīng xióng,heroína de guerra
una heroína valiente,a brave heroine,勇敢的女英雄,yǒng gǎn de nǚ yīng xióng,uma corajosa heroína
momento histórico,historical moment,历史时刻,lì shǐ shí kè,momento histórico
centro histórico,historic center,历史中心,lì shǐ zhōng xīn,centro histórico
época colonial,colonial era,殖民时代,zhí mín shí dài,era colonial
colonia española,Spanish colony,西班牙殖民地,xī bān yá zhí mín dì,Colônia espanhola
conquista de América,conquest of America,征服美洲,zhēng fú měi zhōu,conquista da América
espíritu de conquista,spirit of conquest,征服精神,zhēng fú jīng shén,espírito de conquista
firmar un tratado,sign a treaty,签署条约,qiān shǔ tiáo yuē,assinar um tratado
tratado de paz,peace treaty,和约,hé yuē,tratado de paz
