spanish,english,chinese,pinyin,portuguese
libro,book,书,shū,livro
cuaderno,notebook,笔记本,bǐ jì běn,caderno
lápiz,pencil,铅笔,qiān bǐ,lápis
bolígrafo,pen,笔,bǐ,caneta
pluma,pen,钢笔,gāng bǐ,caneta
papel,paper,纸,zhǐ,papel
mochila,backpack,背包,bēi bāo,mochila
mesa,table,桌子,zhuō zi,mesa
silla,chair,椅子,yǐ zi,cadeira
pizarra,blackboard,黑板,hēi bǎn,quadro
ordenador,computer,电脑,diàn nǎo,computador
computadora,computer,电脑,diàn nǎo,computador
estudiante,student,学生,xué shēng,estudante
profesor,teacher,老师,lǎo shī,professor
profesora,teacher,老师,lǎo shī,professora
clase,class,班级,bān jí,aula
examen,exam,考试,kǎo shì,exame
lección,lesson,课,kè,lição
aula,classroom,教室,jiào shì,sala de aula
regla,ruler,尺子,chǐ zi,régua
el libro,the book,这本书,zhè běn shū,o livro
mi libro,my book,我的书,wǒ de shū,meu livro
el cuaderno,the notebook,笔记本,bǐ jì běn,o caderno
mi cuaderno,my notebook,我的笔记本,wǒ de bǐ jì běn,meu caderno
el lápiz,the pencil,铅笔,qiān bǐ,o lápis
mi lápiz,my pencil,我的铅笔,wǒ de qiān bǐ,meu lápis
el bolígrafo,the pen,笔,bǐ,a caneta
mi bolígrafo,my pen,我的笔,wǒ de bǐ,minha caneta
la pluma,the pen,笔,bǐ,a caneta
mi pluma,my pen,我的笔,wǒ de bǐ,minha caneta
el papel,the paper,纸,zhǐ,o papel
hoja de papel,sheet of paper,一张纸,yī zhāng zhǐ,folha de papel
la mochila,the backpack,背包,bēi bāo,a mochila
mi mochila,my backpack,我的背包,wǒ de bēi bāo,minha mochila
la mesa,the table,桌子,zhuō zi,a mesa
en la mesa,at the table,在餐桌上,zài cān zhuō shàng,na mesa
la silla,the chair,椅子,yǐ zi,a cadeira
mi silla,my chair,我的椅子,wǒ de yǐ zi,minha cadeira
la pizarra,the blackboard,黑板,hēi bǎn,o quadro negro
en la pizarra,on the blackboard,黑板上,hēi bǎn shàng,no quadro negro
el ordenador,the computer,电脑,diàn nǎo,o computador
mi ordenador,my computer,我的电脑,wǒ de diàn nǎo,meu computador
la computadora,the computer,电脑,diàn nǎo,o computador
mi computadora,my computer,我的电脑,wǒ de diàn nǎo,meu computador
el estudiante,the student,学生,xué shēng,o estudante
un estudiante,a student,一个学生,yí gè xué shēng,um estudante
el profesor,the teacher,老师,lǎo shī,o professor
mi profesor,my teacher,我的老师,wǒ de lǎo shī,meu professor
la profesora,the teacher,老师,lǎo shī,a professora
mi profesora,my teacher,我的老师,wǒ de lǎo shī,minha professora
la clase,the class,班级,bān jí,a aula
en clase,in class,在课堂上,zài kè táng shàng,na aula
el examen,the exam,考试,kǎo shì,o exame
mi examen,my exam,我的考试,wǒ de kǎo shì,meu exame
la lección,the lesson,课程,kè chéng,a lição
esta lección,this lesson,这节课,zhè jié kè,esta lição
el aula,the classroom,教室,jiào shì,a sala de aula
en el aula,in the classroom,在教室里,zài jiào shì lǐ,na sala de aula
la regla,the ruler,尺子,chǐ zi,a régua
mi regla,my ruler,我的尺子,wǒ de chǐ zi,minha régua
