spanish,english,chinese,pinyin,portuguese
formo,form,形成,xíng shì,formulário
formas,you form,形成,xíng zhuàng,formas
forma,he/she forms,形成,xíng zhuàng,forma
formamos,we form,我们形成,wǒ men xíng chéng,formamos
formáis,you form,你形成,nǐ xíng chéng,você forma
forman,they form,形成,xíng shì,formulário
formar,to form,形成,xíng shì,formulário
formación,training,培训,péi xùn,treinamento
molde,mold,模具,mú jù,molde
yo formo,I form,我形成,wǒ xíng chéng,Eu formo
lo formo,I form it,我形成它,wǒ xíng chéng tā,Eu formo isso
tú formas,you form,你形成,nǐ xíng chéng,você forma
lo formas,you form it,你形成它,nǐ xíng chéng tā,você forma
él forma,he forms,他形成,tā xíng chéng,ele forma
lo forma,he/she forms it,它形成了它,tā xíng chéng le tā,isso forma
nosotros formamos,we form,我们形成,wǒ men xíng chéng,formamos
lo formamos,we form it,我们形成它,wǒ men xíng chéng tā,nós formamos
vosotros formáis,you form,你形成,nǐ xíng chéng,você forma
lo formáis,you form it,你形成它,nǐ xíng chéng tā,você forma
ellos forman,they form,它们形成,tā men xíng chéng,eles formam
lo forman,they form it,他们形成了它,tā men xíng chéng le tā,eles formam isso
quiero formar,I want to form,我想组建,wǒ xiǎng zǔ jiàn,Quero formar
voy a formar,I'm going to form,我要组成,wǒ yào zǔ chéng,Vou formar
la formación,training,培训,péi xùn,treinamento
en formación,in training,训练中,xùn liàn zhōng,em treinamento
el molde,the mold,模具,mú jù,o molde
un molde,a mold,一个模具,yí gè mú jù,um molde
